"Time";"power_1";"power_10";"power_11";"power_2";"power_3";"power_4";"power_5";"power_6";"power_7";"power_8";"power_9"
"2019-10-01T08:06:40+02:00";null;2011.6902;null;null;null;null;null;null;null;null;null
"2019-10-01T08:06:46+02:00";null;null;null;null;null;null;null;null;null;2063.7571;null
"2019-10-01T08:06:50+02:00";null;null;null;null;null;null;2137.3154;null;null;null;null
"2019-10-01T08:06:52+02:00";null;null;null;null;null;null;null;2069.1584;null;null;null
"2019-10-01T08:06:58+02:00";null;null;null;null;2089.5181;null;null;null;null;null;null
"2019-10-01T08:06:59+02:00";4697.0371;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:07:07+02:00";null;null;2204.8594;null;null;null;null;null;null;null;null
"2019-10-01T08:07:13+02:00";null;null;null;null;null;null;null;null;null;null;2547.4143
"2019-10-01T08:07:19+02:00";null;null;null;null;null;null;null;null;2549.2561;null;null
"2019-10-01T08:07:30+02:00";null;null;null;null;null;2571.4727;null;null;null;null;null
"2019-10-01T08:07:31+02:00";null;null;null;2619.115;null;null;null;null;null;null;null
"2019-10-01T08:07:40+02:00";null;2041.0801;null;null;null;null;null;null;null;null;null
"2019-10-01T08:07:46+02:00";null;null;null;null;null;null;null;null;null;2125.6567;null
"2019-10-01T08:07:50+02:00";null;null;null;null;null;null;2165.4326;null;null;null;null
"2019-10-01T08:07:52+02:00";null;null;null;null;null;null;null;2091.3794;null;null;null
"2019-10-01T08:07:58+02:00";null;null;null;null;2057.6858;null;null;null;null;null;null
"2019-10-01T08:07:59+02:00";4743.1445;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:08:07+02:00";null;null;2138.1958;null;null;null;null;null;null;null;null
"2019-10-01T08:08:13+02:00";null;null;null;null;null;null;null;null;null;null;2496.811
"2019-10-01T08:08:19+02:00";null;null;null;null;null;null;null;null;2566.7402;null;null
"2019-10-01T08:08:30+02:00";null;null;null;null;null;2463.1543;null;null;null;null;null
"2019-10-01T08:08:31+02:00";null;null;null;2364.1169;null;null;null;null;null;null;null
"2019-10-01T08:08:40+02:00";null;2109.9431;null;null;null;null;null;null;null;null;null
"2019-10-01T08:08:46+02:00";null;null;null;null;null;null;null;null;null;2020.7063;null
"2019-10-01T08:08:50+02:00";null;null;null;null;null;null;2179.4087;null;null;null;null
"2019-10-01T08:08:52+02:00";null;null;null;null;null;null;null;2186.0491;null;null;null
"2019-10-01T08:08:58+02:00";null;null;null;null;2064.9854;null;null;null;null;null;null
"2019-10-01T08:08:59+02:00";4718.5195;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:09:07+02:00";null;null;2105.7009;null;null;null;null;null;null;null;null
"2019-10-01T08:09:13+02:00";null;null;null;null;null;null;null;null;null;null;2518.6809
"2019-10-01T08:09:19+02:00";null;null;null;null;null;null;null;null;2582.071;null;null
"2019-10-01T08:09:30+02:00";null;null;null;null;null;2646.9648;null;null;null;null;null
"2019-10-01T08:09:31+02:00";null;null;null;2457.7258;null;null;null;null;null;null;null
"2019-10-01T08:09:40+02:00";null;2076.2522;null;null;null;null;null;null;null;null;null
"2019-10-01T08:09:46+02:00";null;null;null;null;null;null;null;null;null;2020.3475;null
"2019-10-01T08:09:50+02:00";null;null;null;null;null;null;2170.3921;null;null;null;null
"2019-10-01T08:09:52+02:00";null;null;null;null;null;null;null;2190.9858;null;null;null
"2019-10-01T08:09:58+02:00";null;null;null;null;2136.0217;null;null;null;null;null;null
"2019-10-01T08:09:59+02:00";4831.7119;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:10:07+02:00";null;null;2084.9434;null;null;null;null;null;null;null;null
"2019-10-01T08:10:13+02:00";null;null;null;null;null;null;null;null;null;null;2497.6416
"2019-10-01T08:10:19+02:00";null;null;null;null;null;null;null;null;2567.062;null;null
"2019-10-01T08:10:30+02:00";null;null;null;null;null;2458.2739;null;null;null;null;null
"2019-10-01T08:10:31+02:00";null;null;null;2584.1726;null;null;null;null;null;null;null
"2019-10-01T08:10:40+02:00";null;2165.3215;null;null;null;null;null;null;null;null;null
"2019-10-01T08:10:46+02:00";null;null;null;null;null;null;null;null;null;2062.5293;null
"2019-10-01T08:10:50+02:00";null;null;null;null;null;null;2150.4063;null;null;null;null
"2019-10-01T08:10:52+02:00";null;null;null;null;null;null;null;2171.3865;null;null;null
"2019-10-01T08:10:58+02:00";null;null;null;null;2160.6667;null;null;null;null;null;null
"2019-10-01T08:10:59+02:00";4686.105;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:11:07+02:00";null;null;2122.3511;null;null;null;null;null;null;null;null
"2019-10-01T08:11:13+02:00";null;null;null;null;null;null;null;null;null;null;2508.4626
"2019-10-01T08:11:19+02:00";null;null;null;null;null;null;null;null;2540.4429;null;null
"2019-10-01T08:11:30+02:00";null;null;null;null;null;2644.3279;null;null;null;null;null
"2019-10-01T08:11:31+02:00";null;null;null;2509.4023;null;null;null;null;null;null;null
"2019-10-01T08:11:40+02:00";null;2066.9255;null;null;null;null;null;null;null;null;null
"2019-10-01T08:11:46+02:00";null;null;null;null;null;null;null;null;null;2088.4561;null
"2019-10-01T08:11:50+02:00";null;null;null;null;null;null;2146.3271;null;null;null;null
"2019-10-01T08:11:58+02:00";null;null;null;null;2054.4434;null;null;null;null;null;null
"2019-10-01T08:11:59+02:00";4655.2578;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:12:07+02:00";null;null;2095.146;null;null;null;null;null;null;null;null
"2019-10-01T08:12:13+02:00";null;null;null;null;null;null;null;null;null;null;2577.1536
"2019-10-01T08:12:19+02:00";null;null;null;null;null;null;null;null;2580.5527;null;null
"2019-10-01T08:12:30+02:00";null;null;null;null;null;2525.9248;null;null;null;null;null
"2019-10-01T08:12:31+02:00";null;null;null;2452.5686;null;null;null;null;null;null;null
"2019-10-01T08:12:40+02:00";null;2016.4465;null;null;null;null;null;null;null;null;null
"2019-10-01T08:12:46+02:00";null;null;null;null;null;null;null;null;null;2099.4783;null
"2019-10-01T08:12:50+02:00";null;null;null;null;null;null;2170.8638;null;null;null;null
"2019-10-01T08:12:58+02:00";null;null;null;null;2104.7393;null;null;null;null;null;null
"2019-10-01T08:12:59+02:00";4832.2407;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:13:07+02:00";null;null;2066.4048;null;null;null;null;null;null;null;null
"2019-10-01T08:13:13+02:00";null;null;null;null;null;null;null;null;null;null;2585.9839
"2019-10-01T08:13:19+02:00";null;null;null;null;null;null;null;null;2564.3843;null;null
"2019-10-01T08:13:30+02:00";null;null;null;null;null;2490.6113;null;null;null;null;null
"2019-10-01T08:13:31+02:00";null;null;null;2538.1538;null;null;null;null;null;null;null
"2019-10-01T08:13:40+02:00";null;2149.2354;null;null;null;null;null;null;null;null;null
"2019-10-01T08:13:46+02:00";null;null;null;null;null;null;null;null;null;2105.2168;null
"2019-10-01T08:13:50+02:00";null;null;null;null;null;null;2174.6213;null;null;null;null
"2019-10-01T08:13:58+02:00";null;null;null;null;2055.259;null;null;null;null;null;null
"2019-10-01T08:13:59+02:00";4672.4531;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:14:07+02:00";null;null;2166.5269;null;null;null;null;null;null;null;null
"2019-10-01T08:14:13+02:00";null;null;null;null;null;null;null;null;null;null;2585.0786
"2019-10-01T08:14:19+02:00";null;null;null;null;null;null;null;null;2575.616;null;null
"2019-10-01T08:14:30+02:00";null;null;null;null;null;2473.7761;null;null;null;null;null
"2019-10-01T08:14:31+02:00";null;null;null;2577.8623;null;null;null;null;null;null;null
"2019-10-01T08:14:40+02:00";null;2111.1133;null;null;null;null;null;null;null;null;null
"2019-10-01T08:14:46+02:00";null;null;null;null;null;null;null;null;null;2086.5271;null
"2019-10-01T08:14:50+02:00";null;null;null;null;null;null;2196.8311;null;null;null;null
"2019-10-01T08:14:58+02:00";null;null;null;null;2128.3967;null;null;null;null;null;null
"2019-10-01T08:14:59+02:00";4794.6689;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:15:07+02:00";null;null;2116.7124;null;null;null;null;null;null;null;null
"2019-10-01T08:15:13+02:00";null;null;null;null;null;null;null;null;null;null;2561.4854
"2019-10-01T08:15:19+02:00";null;null;null;null;null;null;null;null;2580.6475;null;null
"2019-10-01T08:15:30+02:00";null;null;null;null;null;2651.3782;null;null;null;null;null
"2019-10-01T08:15:31+02:00";null;null;null;2509.1792;null;null;null;null;null;null;null
"2019-10-01T08:15:40+02:00";null;2082.4741;null;null;null;null;null;null;null;null;null
"2019-10-01T08:15:46+02:00";null;null;null;null;null;null;null;null;null;2164.1699;null
"2019-10-01T08:15:50+02:00";null;null;null;null;null;null;2201.8271;null;null;null;null
"2019-10-01T08:15:58+02:00";null;null;null;null;2141.1489;null;null;null;null;null;null
"2019-10-01T08:15:59+02:00";4754.541;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:16:07+02:00";null;null;2150.0537;null;null;null;null;null;null;null;null
"2019-10-01T08:16:13+02:00";null;null;null;null;null;null;null;null;null;null;2537.6973
"2019-10-01T08:16:19+02:00";null;null;null;null;null;null;null;null;2516.9512;null;null
"2019-10-01T08:16:30+02:00";null;null;null;null;null;2538.4111;null;null;null;null;null
"2019-10-01T08:16:31+02:00";null;null;null;2575.2517;null;null;null;null;null;null;null
"2019-10-01T08:16:40+02:00";null;2112.2871;null;null;null;null;null;null;null;null;null
"2019-10-01T08:16:46+02:00";null;null;null;null;null;null;null;null;null;2151.4612;null
"2019-10-01T08:16:50+02:00";null;null;null;null;null;null;2192.4299;null;null;null;null
"2019-10-01T08:16:52+02:00";null;null;null;null;null;null;null;2228.7971;null;null;null
"2019-10-01T08:16:58+02:00";null;null;null;null;2098.7236;null;null;null;null;null;null
"2019-10-01T08:16:59+02:00";4762.5947;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:17:07+02:00";null;null;2130.5264;null;null;null;null;null;null;null;null
"2019-10-01T08:17:13+02:00";null;null;null;null;null;null;null;null;null;null;2435.7295
"2019-10-01T08:17:19+02:00";null;null;null;null;null;null;null;null;2616.3042;null;null
"2019-10-01T08:17:30+02:00";null;null;null;null;null;2504.9746;null;null;null;null;null
"2019-10-01T08:17:31+02:00";null;null;null;2505.5195;null;null;null;null;null;null;null
"2019-10-01T08:17:40+02:00";null;2177.5325;null;null;null;null;null;null;null;null;null
"2019-10-01T08:17:46+02:00";null;null;null;null;null;null;null;null;null;2072.1372;null
"2019-10-01T08:17:50+02:00";null;null;null;null;null;null;2160.1538;null;null;null;null
"2019-10-01T08:17:52+02:00";null;null;null;null;null;null;null;2217.6714;null;null;null
"2019-10-01T08:17:58+02:00";null;null;null;null;2024.2437;null;null;null;null;null;null
"2019-10-01T08:17:59+02:00";4647.0244;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:18:07+02:00";null;null;2066.9668;null;null;null;null;null;null;null;null
"2019-10-01T08:18:13+02:00";null;null;null;null;null;null;null;null;null;null;2412.2561
"2019-10-01T08:18:19+02:00";null;null;null;null;null;null;null;null;2550.7854;null;null
"2019-10-01T08:18:30+02:00";null;null;null;null;null;2427.782;null;null;null;null;null
"2019-10-01T08:18:31+02:00";null;null;null;2589.7581;null;null;null;null;null;null;null
"2019-10-01T08:18:40+02:00";null;2017.2822;null;null;null;null;null;null;null;null;null
"2019-10-01T08:18:46+02:00";null;null;null;null;null;null;null;null;null;2094.0659;null
"2019-10-01T08:18:50+02:00";null;null;null;null;null;null;2180.8711;null;null;null;null
"2019-10-01T08:18:52+02:00";null;null;null;null;null;null;null;2124.5417;null;null;null
"2019-10-01T08:18:58+02:00";null;null;null;null;2099.3303;null;null;null;null;null;null
"2019-10-01T08:18:59+02:00";4779.4819;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:19:07+02:00";null;null;2098.7681;null;null;null;null;null;null;null;null
"2019-10-01T08:19:13+02:00";null;null;null;null;null;null;null;null;null;null;2610.1316
"2019-10-01T08:19:19+02:00";null;null;null;null;null;null;null;null;2536.9604;null;null
"2019-10-01T08:19:30+02:00";null;null;null;null;null;2514.4717;null;null;null;null;null
"2019-10-01T08:19:31+02:00";null;null;null;2520.6262;null;null;null;null;null;null;null
"2019-10-01T08:19:40+02:00";null;1980.7435;null;null;null;null;null;null;null;null;null
"2019-10-01T08:19:46+02:00";null;null;null;null;null;null;null;null;null;2064.292;null
"2019-10-01T08:19:50+02:00";null;null;null;null;null;null;2093.1858;null;null;null;null
"2019-10-01T08:19:52+02:00";null;null;null;null;null;null;null;2152.5657;null;null;null
"2019-10-01T08:19:58+02:00";null;null;null;null;2071.2854;null;null;null;null;null;null
"2019-10-01T08:19:59+02:00";4767.3657;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:20:07+02:00";null;null;2156.1348;null;null;null;null;null;null;null;null
"2019-10-01T08:20:13+02:00";null;null;null;null;null;null;null;null;null;null;2554.0623
"2019-10-01T08:20:19+02:00";null;null;null;null;null;null;null;null;2476.1431;null;null
"2019-10-01T08:20:30+02:00";null;null;null;null;null;2474.0759;null;null;null;null;null
"2019-10-01T08:20:31+02:00";null;null;null;2547.1626;null;null;null;null;null;null;null
"2019-10-01T08:20:40+02:00";null;2126.0874;null;null;null;null;null;null;null;null;null
"2019-10-01T08:20:46+02:00";null;null;null;null;null;null;null;null;null;2080.1665;null
"2019-10-01T08:20:50+02:00";null;null;null;null;null;null;2203.0981;null;null;null;null
"2019-10-01T08:20:52+02:00";null;null;null;null;null;null;null;2199.3621;null;null;null
"2019-10-01T08:20:58+02:00";null;null;null;null;2166.9084;null;null;null;null;null;null
"2019-10-01T08:20:59+02:00";4770.978;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:21:07+02:00";null;null;2136.8833;null;null;null;null;null;null;null;null
