"Time";"temperature_p02r08c01srv01_inlet";"temperature_p02r08c01srv02_inlet";"temperature_p02r08c01srv03_inlet";"temperature_p02r08c02srv01_inlet";"temperature_p02r08c02srv02_inlet";"temperature_p02r08c02srv03_inlet";"temperature_p02r08c03srv01_inlet";"temperature_p02r08c03srv02_inlet";"temperature_p02r08c03srv03_inlet";"temperature_p02r08c04srv01_inlet";"temperature_p02r08c04srv02_inlet";"temperature_p02r08c04srv03_inlet";"temperature_p02r08c05srv01_inlet";"temperature_p02r08c05srv02_inlet";"temperature_p02r08c05srv03_inlet";"temperature_p02r08c06srv01_inlet";"temperature_p02r08c06srv02_inlet";"temperature_p02r08c06srv03_inlet";"temperature_p02r08c07srv01_inlet";"temperature_p02r08c07srv02_inlet";"temperature_p02r08c07srv03_inlet";"temperature_p02r08c08srv01_inlet";"temperature_p02r08c08srv02_inlet";"temperature_p02r08c08srv03_inlet";"temperature_p02r08c09srv01_inlet";"temperature_p02r08c09srv02_inlet";"temperature_p02r08c09srv03_inlet";"temperature_p02r08c10srv01_inlet";"temperature_p02r08c10srv02_inlet";"temperature_p02r08c10srv03_inlet";"temperature_p02r08srv17_inlet";"temperature_p02r08srv18_inlet";"temperature_p02r08srv19_inlet";"temperature_p02r08srv20_inlet"
"2019-10-01T08:03:11+02:00";21;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:03:11+02:00";null;null;null;null;null;null;null;null;null;null;null;null;17;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:03:12+02:00";null;21;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:03:12+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;19;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:03:15+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;25;null;null;null;null;null;null
"2019-10-01T08:03:16+02:00";null;null;null;null;null;null;null;null;17;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:03:16+02:00";null;null;null;null;null;null;null;null;null;null;17;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:03:17+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;18;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:03:19+02:00";null;null;null;null;null;null;null;17;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:03:20+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;24;null;null;null;null;null
"2019-10-01T08:03:20+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;23;null;null;null;null;null;null;null
"2019-10-01T08:03:21+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;21;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:03:22+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;17;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:03:22+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;17;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:03:23+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;21;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:03:24+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;20;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:03:24+02:00";null;null;null;null;null;null;null;null;null;null;null;18;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:03:26+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;21;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:03:26+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;24;null;null;null;null
"2019-10-01T08:03:26+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;23;null;null;null;null;null;null;null;null
"2019-10-01T08:03:28+02:00";null;null;20;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:03:30+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;25;null;null;null;null;null;null;null;null;null
"2019-10-01T08:03:31+02:00";null;null;null;null;null;null;17;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:03:37+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;23;null;null;null
"2019-10-01T08:03:39+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;21;null;null
"2019-10-01T08:03:39+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;21;null
"2019-10-01T08:03:39+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;20
"2019-10-01T08:04:36+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;23;null;null;null
"2019-10-01T08:04:37+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;21;null;null
"2019-10-01T08:04:39+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;21;null
"2019-10-01T08:04:39+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;20
"2019-10-01T08:05:06+02:00";null;null;null;null;null;19;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:06+02:00";null;null;null;18;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:07+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;19;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:08+02:00";null;null;null;null;19;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:09+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;20;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:10+02:00";null;null;null;null;null;null;null;null;null;17;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:11+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;21;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:11+02:00";21;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:11+02:00";null;null;null;null;null;null;null;null;null;null;null;null;17;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:12+02:00";null;21;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:12+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;19;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:15+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;24;null;null;null;null;null;null
"2019-10-01T08:05:16+02:00";null;null;null;null;null;null;null;null;17;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:16+02:00";null;null;null;null;null;null;null;null;null;null;17;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:17+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;18;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:19+02:00";null;null;null;null;null;null;null;17;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:20+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;24;null;null;null;null;null
"2019-10-01T08:05:20+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;23;null;null;null;null;null;null;null
"2019-10-01T08:05:21+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;21;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:22+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;17;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:22+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;17;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:23+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;21;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:24+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;20;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:24+02:00";null;null;null;null;null;null;null;null;null;null;null;18;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:26+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;21;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:26+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;24;null;null;null;null
"2019-10-01T08:05:26+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;23;null;null;null;null;null;null;null;null
"2019-10-01T08:05:28+02:00";null;null;20;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:30+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;25;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:31+02:00";null;null;null;null;null;null;17;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:05:36+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;23;null;null;null
"2019-10-01T08:05:37+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;21;null;null
