time,Room setpoint,Room Temp,return,return.1,discharge
02-Oct-2019 09:00:00,23.0,23.0,25.2,24.6,16.6
02-Oct-2019 09:01:00,23.0,22.9,25.2,24.6,16.6
02-Oct-2019 09:02:00,23.0,22.9,25.2,24.6,16.6
02-Oct-2019 09:03:00,23.0,22.9,25.2,24.6,16.6
02-Oct-2019 09:04:00,23.0,23.0,25.2,24.6,16.6
02-Oct-2019 09:05:00,23.0,23.0,25.2,24.6,16.6
02-Oct-2019 09:06:00,23.0,23.0,25.2,24.6,16.6
02-Oct-2019 09:07:00,23.0,23.0,25.2,24.6,16.6
02-Oct-2019 09:08:00,23.0,23.0,25.2,24.6,16.6
02-Oct-2019 09:09:00,23.0,23.0,25.1,24.6,16.6
02-Oct-2019 09:10:00,23.0,23.0,25.2,24.6,16.6
02-Oct-2019 09:11:00,23.0,23.0,25.2,24.5,16.6
02-Oct-2019 09:12:00,23.0,23.0,25.1,24.5,16.6
02-Oct-2019 09:13:00,23.0,23.0,25.2,24.5,16.6
02-Oct-2019 09:14:00,23.0,23.0,25.1,24.5,16.6
02-Oct-2019 09:15:00,23.0,22.9,25.0,24.6,16.6
02-Oct-2019 09:16:00,23.0,22.9,25.1,24.6,16.6
02-Oct-2019 09:17:00,23.0,23.0,25.1,24.6,16.6
02-Oct-2019 09:18:00,23.0,23.0,25.1,24.5,16.6
02-Oct-2019 09:19:00,23.0,23.0,25.2,24.6,16.6
02-Oct-2019 09:20:00,23.0,23.0,25.2,24.5,16.6
02-Oct-2019 09:21:00,23.0,23.0,25.2,24.6,16.7
02-Oct-2019 09:22:00,23.0,23.0,25.2,24.5,16.7
02-Oct-2019 09:23:00,23.0,23.0,25.2,24.6,16.7
02-Oct-2019 09:24:00,23.0,23.0,25.1,24.6,16.7
02-Oct-2019 09:25:00,23.0,22.9,25.1,24.6,16.7
02-Oct-2019 09:26:00,23.0,23.0,25.1,24.6,16.7
02-Oct-2019 09:27:00,23.0,23.0,25.2,24.6,16.6
02-Oct-2019 09:28:00,23.0,22.9,25.1,24.6,16.6
02-Oct-2019 09:29:00,23.0,23.0,25.2,24.6,16.6
02-Oct-2019 09:30:00,23.0,23.0,25.2,24.6,16.6
02-Oct-2019 09:31:00,23.0,23.0,25.1,24.7,16.6
02-Oct-2019 09:32:00,23.0,22.9,25.1,24.6,16.6
02-Oct-2019 09:33:00,23.0,23.0,25.1,24.6,16.6
02-Oct-2019 09:34:00,23.0,23.0,25.1,24.6,16.6
02-Oct-2019 09:35:00,23.0,23.0,25.1,24.6,16.6
02-Oct-2019 09:36:00,23.0,23.0,25.1,24.7,16.8
02-Oct-2019 09:37:00,23.0,23.0,25.2,24.6,16.6
02-Oct-2019 09:38:00,23.0,23.0,25.2,24.6,16.5
02-Oct-2019 09:39:00,23.0,22.9,25.2,24.5,16.1
02-Oct-2019 09:40:00,23.0,22.9,25.1,24.5,15.9
02-Oct-2019 09:41:00,23.0,22.9,25.6,24.9,15.6
02-Oct-2019 09:42:00,23.0,23.0,26.3,25.7,15.6
02-Oct-2019 09:43:00,23.0,23.1,27.1,26.3,15.6
02-Oct-2019 09:44:00,23.0,23.1,27.6,26.8,15.6
02-Oct-2019 09:45:00,23.0,23.1,28.0,27.2,15.8
02-Oct-2019 09:46:00,23.0,23.0,28.3,27.5,16.0
02-Oct-2019 09:47:00,23.0,23.0,28.6,27.8,16.2
02-Oct-2019 09:48:00,23.0,23.0,28.9,28.0,16.3
02-Oct-2019 09:49:00,23.0,23.0,29.0,28.1,16.4
02-Oct-2019 09:50:00,23.0,23.0,29.3,28.3,16.5
02-Oct-2019 09:51:00,23.0,23.0,29.4,28.5,16.5
02-Oct-2019 09:52:00,23.0,23.0,29.5,28.6,16.5
02-Oct-2019 09:53:00,23.0,23.0,29.7,28.7,16.5
02-Oct-2019 09:54:00,23.0,23.0,29.8,28.8,16.5
02-Oct-2019 09:55:00,23.0,23.0,29.9,28.9,16.5
02-Oct-2019 09:56:00,23.0,23.0,29.9,29.0,16.4
02-Oct-2019 09:57:00,23.0,22.9,30.0,29.0,16.4
02-Oct-2019 09:58:00,23.0,23.0,30.1,29.1,16.3
02-Oct-2019 09:59:00,23.0,22.9,30.1,29.1,16.3
02-Oct-2019 10:00:00,23.0,22.9,30.1,29.2,16.3
02-Oct-2019 10:01:00,23.0,22.9,30.2,29.2,16.2
02-Oct-2019 10:02:00,23.0,22.9,30.2,29.3,16.2
02-Oct-2019 10:03:00,23.0,22.9,30.3,29.3,16.2
02-Oct-2019 10:04:00,23.0,23.0,30.3,29.4,16.2
02-Oct-2019 10:05:00,23.0,23.0,30.4,29.4,16.2
02-Oct-2019 10:06:00,23.0,23.0,30.4,29.4,16.2
02-Oct-2019 10:07:00,23.0,23.0,30.4,29.4,16.2
02-Oct-2019 10:08:00,23.0,23.0,30.4,29.5,16.2
02-Oct-2019 10:09:00,23.0,22.9,30.5,29.5,16.2
02-Oct-2019 10:10:00,23.0,23.0,30.5,29.5,16.2
02-Oct-2019 10:11:00,23.0,23.0,30.5,29.5,16.2
02-Oct-2019 10:12:00,23.0,23.0,30.6,29.6,16.2
02-Oct-2019 10:13:00,23.0,23.0,30.6,29.6,16.2
02-Oct-2019 10:14:00,23.0,23.0,30.6,29.6,16.2
02-Oct-2019 10:15:00,23.0,23.0,30.6,29.6,16.2
02-Oct-2019 10:16:00,23.0,23.0,30.6,29.7,16.2
02-Oct-2019 10:17:00,23.0,23.0,30.6,29.7,16.2
02-Oct-2019 10:18:00,23.0,23.0,30.7,29.7,16.3
02-Oct-2019 10:19:00,23.0,23.0,30.7,29.7,16.2
02-Oct-2019 10:20:00,23.0,23.0,30.7,29.7,16.3
02-Oct-2019 10:21:00,23.0,23.0,30.7,29.8,16.3
02-Oct-2019 10:22:00,23.0,23.0,30.7,29.8,16.3
02-Oct-2019 10:23:00,23.0,23.0,30.6,29.8,16.3
02-Oct-2019 10:24:00,23.0,23.0,30.7,29.9,16.3
02-Oct-2019 10:25:00,23.0,23.0,30.6,29.8,16.3
02-Oct-2019 10:26:00,23.0,23.0,30.7,29.8,16.3
02-Oct-2019 10:27:00,23.0,23.0,30.8,29.9,16.4
02-Oct-2019 10:28:00,23.0,23.0,30.8,29.9,16.4
02-Oct-2019 10:29:00,23.0,23.0,30.8,29.9,16.4
02-Oct-2019 10:30:00,23.0,22.9,30.8,29.9,16.3
02-Oct-2019 10:31:00,23.0,22.9,30.8,29.9,16.3
02-Oct-2019 10:32:00,23.0,23.0,30.9,29.9,16.3
02-Oct-2019 10:33:00,23.0,23.0,30.8,29.9,16.3
02-Oct-2019 10:34:00,23.0,22.9,30.8,29.9,16.3
02-Oct-2019 10:35:00,23.0,22.9,30.8,29.9,16.3
02-Oct-2019 10:36:00,23.0,22.9,30.8,29.9,16.3
02-Oct-2019 10:37:00,23.0,22.9,30.8,30.0,16.3
02-Oct-2019 10:38:00,23.0,22.9,30.9,30.0,16.3
02-Oct-2019 10:39:00,23.0,22.9,30.8,30.0,16.3
02-Oct-2019 10:40:00,23.0,22.9,30.8,30.0,16.3
02-Oct-2019 10:41:00,23.0,22.9,30.9,30.0,16.3
02-Oct-2019 10:42:00,23.0,22.9,30.9,30.0,16.3
02-Oct-2019 10:43:00,23.0,22.9,30.8,30.0,16.3
02-Oct-2019 10:44:00,23.0,22.9,30.9,30.0,16.3
02-Oct-2019 10:45:00,23.0,22.9,30.9,30.1,16.3
02-Oct-2019 10:46:00,23.0,22.9,31.0,30.2,16.3
02-Oct-2019 10:47:00,23.0,23.0,31.4,30.6,16.3
02-Oct-2019 10:48:00,23.0,23.0,31.7,30.9,16.3
02-Oct-2019 10:49:00,23.0,23.0,32.0,31.2,16.3
02-Oct-2019 10:50:00,23.0,23.0,32.2,31.4,16.3
02-Oct-2019 10:51:00,23.0,23.0,32.5,31.6,16.3
02-Oct-2019 10:52:00,23.0,23.0,32.5,31.7,16.3
02-Oct-2019 10:53:00,23.0,22.9,32.6,31.8,16.4
02-Oct-2019 10:54:00,23.0,23.0,32.9,32.0,16.4
02-Oct-2019 10:55:00,23.0,23.0,32.8,32.1,16.4
02-Oct-2019 10:56:00,23.0,23.0,32.9,32.2,16.4
02-Oct-2019 10:57:00,23.0,22.9,33.0,32.2,16.5
02-Oct-2019 10:58:00,23.0,22.9,33.0,32.3,16.5
02-Oct-2019 10:59:00,23.0,22.9,33.2,32.4,16.5
02-Oct-2019 11:00:00,23.0,23.0,33.3,32.4,16.4
02-Oct-2019 11:01:00,23.0,22.9,33.2,32.5,16.4
02-Oct-2019 11:02:00,23.0,23.0,33.4,32.5,16.4
02-Oct-2019 11:03:00,23.0,23.0,33.4,32.5,16.4
02-Oct-2019 11:04:00,23.0,23.0,33.4,32.5,16.4
02-Oct-2019 11:05:00,23.0,22.9,33.4,32.6,16.4
