time,Room setpoint,Room Temp,return,return.1,discharge
02-Oct-2019 10:19:00,23.0,23.0,29.7,29.6,16.7
02-Oct-2019 10:20:00,23.0,22.9,29.7,29.7,16.8
02-Oct-2019 10:21:00,23.0,22.9,29.7,29.7,16.7
02-Oct-2019 10:22:00,23.0,23.0,29.7,29.7,16.7
02-Oct-2019 10:23:00,23.0,23.0,29.8,29.7,16.7
02-Oct-2019 10:24:00,23.0,23.0,29.8,29.7,16.8
02-Oct-2019 10:25:00,23.0,23.0,29.8,29.7,16.8
02-Oct-2019 10:26:00,23.0,23.0,29.8,29.7,16.8
02-Oct-2019 10:27:00,23.0,22.9,29.8,29.8,16.8
02-Oct-2019 10:28:00,23.0,22.9,29.9,29.7,16.8
02-Oct-2019 10:29:00,23.0,22.9,29.9,29.8,16.8
02-Oct-2019 10:30:00,23.0,22.9,29.9,29.9,16.7
02-Oct-2019 10:31:00,23.0,23.0,29.9,29.9,16.8
02-Oct-2019 10:32:00,23.0,23.0,29.9,29.8,16.8
02-Oct-2019 10:33:00,23.0,23.0,29.9,29.8,16.8
02-Oct-2019 10:34:00,23.0,22.9,29.9,29.8,16.8
02-Oct-2019 10:35:00,23.0,23.0,29.9,29.8,16.8
02-Oct-2019 10:36:00,23.0,23.0,29.9,29.9,16.8
02-Oct-2019 10:37:00,23.0,23.0,29.9,29.8,16.8
02-Oct-2019 10:38:00,23.0,22.9,29.9,29.9,16.8
02-Oct-2019 10:39:00,23.0,23.0,29.9,29.9,16.8
02-Oct-2019 10:40:00,23.0,23.0,29.9,29.8,16.9
02-Oct-2019 10:41:00,23.0,22.9,29.9,29.8,16.9
02-Oct-2019 10:42:00,23.0,23.0,30.0,29.9,16.9
02-Oct-2019 10:43:00,23.0,22.9,30.0,29.9,16.9
02-Oct-2019 10:44:00,23.0,22.9,30.0,29.9,16.9
02-Oct-2019 10:45:00,23.0,23.0,30.0,29.9,16.9
02-Oct-2019 10:46:00,23.0,23.0,30.3,30.2,16.9
02-Oct-2019 10:47:00,23.0,23.0,30.7,30.6,16.9
02-Oct-2019 10:48:00,23.0,23.0,31.0,31.0,17.0
02-Oct-2019 10:49:00,23.0,23.0,31.2,31.2,17.0
02-Oct-2019 10:50:00,23.0,23.0,31.4,31.4,17.0
02-Oct-2019 10:51:00,23.0,23.0,31.6,31.5,17.0
02-Oct-2019 10:52:00,23.0,22.9,31.7,31.7,17.0
02-Oct-2019 10:53:00,23.0,22.9,32.0,32.0,17.0
02-Oct-2019 10:54:00,23.0,23.0,32.0,32.1,17.0
02-Oct-2019 10:55:00,23.0,23.0,32.1,32.2,17.0
02-Oct-2019 10:56:00,23.0,23.0,32.1,32.1,17.1
02-Oct-2019 10:57:00,23.0,23.0,32.2,32.1,17.2
02-Oct-2019 10:58:00,23.0,23.0,32.3,32.2,17.2
02-Oct-2019 10:59:00,23.0,23.0,32.3,32.2,17.2
02-Oct-2019 11:00:00,23.0,23.0,32.3,32.3,17.2
02-Oct-2019 11:01:00,23.0,23.0,32.4,32.3,17.2
02-Oct-2019 11:02:00,23.0,23.0,32.4,32.4,17.1
02-Oct-2019 11:03:00,23.0,23.0,32.4,32.3,17.1
02-Oct-2019 11:04:00,23.0,23.0,32.4,32.4,17.2
02-Oct-2019 11:05:00,23.0,22.9,32.4,32.4,17.2
02-Oct-2019 11:06:00,23.0,23.0,32.5,32.5,17.2
02-Oct-2019 11:07:00,23.0,22.9,32.5,32.5,17.1
02-Oct-2019 11:08:00,23.0,23.0,32.5,32.6,17.1
02-Oct-2019 11:09:00,23.0,23.0,32.6,32.6,17.1
02-Oct-2019 11:10:00,23.0,23.0,32.6,32.5,17.1
02-Oct-2019 11:11:00,23.0,22.9,32.6,32.6,17.2
02-Oct-2019 11:12:00,23.0,23.0,32.7,32.6,17.2
02-Oct-2019 11:13:00,23.0,23.0,32.7,32.5,17.1
02-Oct-2019 11:14:00,23.0,23.0,32.7,32.6,17.1
02-Oct-2019 11:15:00,23.0,23.0,32.7,32.5,17.1
02-Oct-2019 11:16:00,23.0,22.9,32.7,32.5,17.1
02-Oct-2019 11:17:00,23.0,23.0,32.7,32.7,17.1
02-Oct-2019 11:18:00,23.0,23.0,32.7,32.7,17.2
02-Oct-2019 11:19:00,23.0,22.9,32.7,32.6,17.2
02-Oct-2019 11:20:00,23.0,22.9,32.7,32.7,17.2
02-Oct-2019 11:21:00,23.0,22.9,32.8,32.9,17.1
02-Oct-2019 11:22:00,23.0,23.0,32.9,32.8,17.1
02-Oct-2019 11:23:00,23.0,23.0,32.8,32.9,17.1
