time,power_1,power_10,power_11,power_2,power_3,power_4,power_5,power_6,power_7,power_8,power_9
02-Oct-2019 09:00:00,4626.8193,2086.6436999999996,2056.88157,2567.269009090909,2138.03823,2567.06114,2115.64004,2087.82106,2452.19634,2037.34066,2441.27936
02-Oct-2019 09:01:00,4630.1113,2121.5508,2076.59277,2567.269009090909,2121.31263,2568.5984200000003,2096.14765,2110.35242,2515.43537,2031.2632199999998,2531.3225
02-Oct-2019 09:02:00,4712.3081,2125.6146,2144.18739,2567.269009090909,2107.91947,2559.46464,2136.63245,2246.14682,2568.42716,2087.34242,2514.50086
02-Oct-2019 09:03:00,4652.4214,2106.46775,2100.68613,2567.269009090909,2126.6865399999997,2556.74536,2141.75243,2167.29486,2641.71881,2134.1800399999997,2642.4717
02-Oct-2019 09:04:00,4670.7856,2141.788681818182,2096.09665,2567.269009090909,2067.9142818181817,2525.25466,2087.425827272727,2105.943736363636,2523.9632500000002,2106.5535363636363,2542.2796799999996
02-Oct-2019 09:05:00,4726.1611,2127.8621545454544,2080.251736363636,2567.269009090909,2113.365727272727,2436.6192636363635,2136.544036363636,2182.8157818181817,2550.627981818182,2063.357590909091,2507.8240818181816
02-Oct-2019 09:06:00,4651.4932,2082.911990909091,2097.5730454545455,2546.1827363636366,2063.2616545454543,2445.792672727273,2198.2846090909093,2205.4516,2665.9198818181817,2091.7699545454543,2535.2539636363636
02-Oct-2019 09:07:00,4468.6509,2081.4198818181817,2019.9725272727273,2458.8249545454546,2136.9694545454545,2467.797772727273,2221.926118181818,2206.8629181818183,2608.5757999999996,2137.5568,2541.390018181818
02-Oct-2019 09:08:00,4707.8135,2120.1025363636363,2138.6382999999996,2413.7428818181816,2098.5737454545456,2481.6813,2097.1254272727274,2084.7092454545455,2468.0102454545454,2100.1037454545453,2478.1572363636365
02-Oct-2019 09:09:00,4639.7847,2052.507418181818,2112.7002545454543,2485.077009090909,2096.073209090909,2482.8709363636367,2145.4727181818184,2104.2443909090907,2519.3880363636363,2057.360109090909,2489.6556272727275
02-Oct-2019 09:10:00,4712.3916,2032.7695090909092,2193.7631181818183,2524.5487,2028.3100454545454,2522.9577272727274,2174.4032,2219.4834454545457,2631.9519,2134.9259454545454,2544.5186636363637
02-Oct-2019 09:11:00,4673.4341,2167.4232181818184,2040.0246727272727,2496.740809090909,2090.6536363636365,2526.970718181818,2166.670990909091,2230.4397272727274,2680.1629272727273,2117.120609090909,2549.201309090909
02-Oct-2019 09:12:00,4720.7217,2150.2869,2040.3656,2498.4141363636363,2072.9350454545456,2502.0882,2142.0506545454546,2075.926281818182,2452.2685636363635,2092.3784090909094,2485.0728545454544
02-Oct-2019 09:13:00,4777.4697,2032.1229181818182,2096.7097272727274,2525.522472727273,2080.2772545454545,2514.1844818181817,2108.8096727272728,2141.4050181818184,2533.928854545454,2073.2528454545454,2645.0495454545453
02-Oct-2019 09:14:00,4742.624,2080.570118181818,2128.6995,2512.5715090909093,2101.0116272727273,2650.1184636363637,2192.578572727273,2181.5017,2554.2707545454546,2092.1398363636363,2556.0275545454547
02-Oct-2019 09:15:00,4571.0264,2131.133490909091,2145.6366909090907,2531.586209090909,2091.705090909091,2534.325709090909,2165.3580727272724,2230.8051545454546,2546.684409090909,2048.1332,2543.0934272727272
02-Oct-2019 09:16:00,4640.9155,2081.5122363636365,2171.219381818182,2546.8715,2071.426554545455,2487.336672727273,2118.0884363636364,2156.523954545454,2491.1677363636363,2112.334090909091,2460.9981272727273
02-Oct-2019 09:17:00,4833.9595,2051.8934090909092,2161.827890909091,2575.7297,2110.086072727273,2562.7560545454544,2107.3782545454546,2143.155072727273,2626.416409090909,2168.8735636363635,2611.2727454545457
02-Oct-2019 09:18:00,4667.7817,2115.6020363636367,2099.277109090909,2562.528809090909,2055.2493090909093,2578.3991545454546,2091.053,2191.9323363636363,2551.739854545455,2142.503181818182,2542.5583818181817
02-Oct-2019 09:19:00,4585.5635,2130.5367636363635,2119.0619181818183,2556.6279545454545,2111.9812454545454,2551.7633454545453,2103.8889454545456,2129.3389909090906,2493.840372727273,2119.2269,2418.9833454545455
02-Oct-2019 09:20:00,4778.3696,2085.254481818182,2140.877918181818,2548.6479272727274,2125.2183454545457,2528.172409090909,2091.9446636363637,2093.289481818182,2472.0182727272727,2111.3236818181817,2564.2621363636367
02-Oct-2019 09:21:00,4672.9888,2064.8592545454544,2127.674027272727,2560.907290909091,2105.8239636363633,2533.9977272727274,2140.030018181818,2120.2907727272727,2552.0290636363634,2087.0466363636365,2661.4443181818183
02-Oct-2019 09:22:00,4558.9746,2040.5591181818183,2175.776309090909,2592.5340181818183,2085.5915090909093,2489.0869363636366,2083.385981818182,2189.069672727273,2527.9981,2028.8901636363637,2550.389054545454
02-Oct-2019 09:23:00,4651.8755,2030.9680363636364,2091.6078,2588.1918454545453,2100.337345454546,2528.675690909091,2091.151518181818,2159.8726454545454,2488.5954545454542,2042.093690909091,2540.5365181818183
02-Oct-2019 09:24:00,4790.8623,2086.1162545454545,2174.424709090909,2543.284427272727,2177.8502636363637,2556.5647454545456,2131.947990909091,2059.5838454545456,2455.5581818181818,2111.651590909091,2613.7594363636363
02-Oct-2019 09:25:00,4655.9897,2118.9571181818183,2065.6602454545455,2502.024327272727,2064.3611181818183,2490.3181,2157.8856363636364,2139.732,2485.383118181818,2126.4224545454545,2571.9056818181816
02-Oct-2019 09:26:00,4704.189,2096.6224454545454,2079.5791363636363,2517.7389454545455,2157.6027272727274,2425.9254181818183,2231.8617,2191.3338727272726,2557.0643090909093,2100.7902727272726,2398.449090909091
02-Oct-2019 09:27:00,4617.8325,2099.2958272727274,2158.057218181818,2535.0589545454545,2085.981118181818,2485.158990909091,2140.777390909091,2162.0963363636365,2542.929890909091,2048.0374727272724,2517.4408545454544
02-Oct-2019 09:28:00,4710.3501,2100.844418181818,2174.5586272727273,2535.349781818182,2108.19693,2517.2479727272726,2148.13772,2141.4526,2475.5703545454544,2036.108189010989,2638.5357545454544
02-Oct-2019 09:29:00,4847.498,2008.99024,2125.81965,2571.7744000000002,2161.38791,2514.25038,2197.20672,2174.00006,2489.91898,2041.3056615384614,2523.02698
