"Time";"temperature_0";"temperature_1";"temperature_2";"temperature_3";"temperature_4"
"2019-10-02T09:01:31+02:00";null;26.438;null;null;null
"2019-10-02T09:01:31+02:00";null;null;null;25.625;null
"2019-10-02T09:01:31+02:00";null;null;null;null;24.563
"2019-10-02T09:01:36+02:00";null;null;25.375;null;null
"2019-10-02T09:01:36+02:00";26;null;null;null;null
"2019-10-02T09:01:36+02:00";null;26.438;null;null;null
"2019-10-02T09:01:36+02:00";null;null;null;25.625;null
"2019-10-02T09:01:36+02:00";null;null;null;null;24.563
"2019-10-02T09:01:41+02:00";null;26.375;null;null;null
"2019-10-02T09:01:42+02:00";null;null;null;25.625;null
"2019-10-02T09:01:42+02:00";null;null;null;null;24.563
"2019-10-02T09:01:42+02:00";null;null;25.375;null;null
"2019-10-02T09:01:42+02:00";26;null;null;null;null
"2019-10-02T09:01:46+02:00";null;null;null;25.625;null
"2019-10-02T09:01:46+02:00";null;null;null;null;24.563
"2019-10-02T09:01:46+02:00";null;null;25.375;null;null
"2019-10-02T09:01:46+02:00";26;null;null;null;null
"2019-10-02T09:01:46+02:00";null;26.375;null;null;null
"2019-10-02T09:01:51+02:00";null;null;null;null;24.625
"2019-10-02T09:01:51+02:00";null;null;25.375;null;null
"2019-10-02T09:01:51+02:00";null;26.438;null;null;null
"2019-10-02T09:01:51+02:00";null;null;null;25.563;null
"2019-10-02T09:01:51+02:00";26;null;null;null;null
"2019-10-02T09:01:56+02:00";null;null;null;null;24.625
"2019-10-02T09:01:56+02:00";null;null;25.375;null;null
"2019-10-02T09:01:56+02:00";null;26.438;null;null;null
"2019-10-02T09:01:56+02:00";null;null;null;25.563;null
"2019-10-02T09:01:56+02:00";26;null;null;null;null
"2019-10-02T09:02:01+02:00";null;null;null;null;24.625
"2019-10-02T09:02:01+02:00";null;null;25.313;null;null
"2019-10-02T09:02:01+02:00";null;26.438;null;null;null
"2019-10-02T09:02:01+02:00";26;null;null;null;null
"2019-10-02T09:02:01+02:00";null;null;null;25.563;null
"2019-10-02T09:02:06+02:00";null;null;null;null;24.625
"2019-10-02T09:02:06+02:00";null;null;25.313;null;null
"2019-10-02T09:02:06+02:00";null;26.375;null;null;null
"2019-10-02T09:02:06+02:00";26;null;null;null;null
"2019-10-02T09:02:07+02:00";null;null;null;25.625;null
"2019-10-02T09:02:11+02:00";null;null;null;null;24.625
"2019-10-02T09:02:11+02:00";null;null;null;25.625;null
"2019-10-02T09:02:11+02:00";null;26.375;null;null;null
"2019-10-02T09:02:11+02:00";null;null;25.313;null;null
"2019-10-02T09:02:11+02:00";26;null;null;null;null
"2019-10-02T09:02:17+02:00";null;null;null;null;24.625
"2019-10-02T09:02:17+02:00";null;26.438;null;null;null
"2019-10-02T09:02:17+02:00";null;null;25.375;null;null
"2019-10-02T09:02:17+02:00";26;null;null;null;null
"2019-10-02T09:02:17+02:00";null;null;null;25.5;null
"2019-10-02T09:02:21+02:00";null;null;25.375;null;null
"2019-10-02T09:02:21+02:00";26;null;null;null;null
"2019-10-02T09:02:21+02:00";null;26.438;null;null;null
"2019-10-02T09:02:21+02:00";null;null;null;25.5;null
"2019-10-02T09:02:21+02:00";null;null;null;null;24.625
"2019-10-02T09:02:26+02:00";null;26.438;null;null;null
"2019-10-02T09:02:26+02:00";null;null;null;25.563;null
"2019-10-02T09:02:26+02:00";null;null;null;null;24.625
"2019-10-02T09:02:26+02:00";null;null;25.313;null;null
"2019-10-02T09:02:26+02:00";26;null;null;null;null
"2019-10-02T09:02:31+02:00";null;null;null;25.625;null
"2019-10-02T09:02:31+02:00";null;null;null;null;24.625
"2019-10-02T09:02:31+02:00";null;26.438;null;null;null
"2019-10-02T09:02:31+02:00";null;null;25.313;null;null
"2019-10-02T09:02:31+02:00";26.063;null;null;null;null
"2019-10-02T09:02:36+02:00";null;null;null;25.625;null
"2019-10-02T09:02:36+02:00";null;null;null;null;24.625
"2019-10-02T09:02:36+02:00";null;26.438;null;null;null
"2019-10-02T09:02:36+02:00";null;null;25.313;null;null
"2019-10-02T09:02:36+02:00";26.063;null;null;null;null
"2019-10-02T09:02:41+02:00";null;null;25.313;null;null
"2019-10-02T09:02:41+02:00";26.063;null;null;null;null
"2019-10-02T09:02:42+02:00";null;null;null;25.688;null
"2019-10-02T09:02:42+02:00";null;null;null;null;24.688
"2019-10-02T09:02:42+02:00";null;26.375;null;null;null
"2019-10-02T09:02:46+02:00";null;null;null;null;24.688
"2019-10-02T09:02:46+02:00";null;26.375;null;null;null
"2019-10-02T09:02:46+02:00";null;null;25.313;null;null
"2019-10-02T09:02:46+02:00";26.063;null;null;null;null
"2019-10-02T09:02:46+02:00";null;null;null;25.688;null
"2019-10-02T09:02:51+02:00";null;26.438;null;null;null
"2019-10-02T09:02:51+02:00";null;null;25.375;null;null
"2019-10-02T09:02:51+02:00";null;null;null;25.563;null
"2019-10-02T09:02:51+02:00";null;null;null;null;24.625
"2019-10-02T09:02:51+02:00";26.063;null;null;null;null
"2019-10-02T09:02:56+02:00";null;26.438;null;null;null
"2019-10-02T09:02:56+02:00";null;null;25.375;null;null
"2019-10-02T09:02:56+02:00";null;null;null;25.625;null
"2019-10-02T09:02:56+02:00";26.063;null;null;null;null
"2019-10-02T09:02:56+02:00";null;null;null;null;24.688
"2019-10-02T09:03:01+02:00";null;26.438;null;null;null
"2019-10-02T09:03:01+02:00";null;null;25.375;null;null
"2019-10-02T09:03:01+02:00";26.063;null;null;null;null
"2019-10-02T09:03:01+02:00";null;null;null;null;24.688
"2019-10-02T09:03:01+02:00";null;null;null;25.688;null
"2019-10-02T09:03:06+02:00";26.063;null;null;null;null
"2019-10-02T09:03:06+02:00";null;26.438;null;null;null
"2019-10-02T09:03:06+02:00";null;null;25.375;null;null
"2019-10-02T09:03:07+02:00";null;null;null;null;24.688
"2019-10-02T09:03:07+02:00";null;null;null;25.75;null
"2019-10-02T09:03:11+02:00";null;null;null;25.75;null
"2019-10-02T09:03:11+02:00";26.063;null;null;null;null
"2019-10-02T09:03:11+02:00";null;26.438;null;null;null
"2019-10-02T09:03:11+02:00";null;null;25.375;null;null
"2019-10-02T09:03:11+02:00";null;null;null;null;24.688
"2019-10-02T09:03:16+02:00";null;null;null;null;24.688
"2019-10-02T09:03:17+02:00";null;26.5;null;null;null
"2019-10-02T09:03:17+02:00";26.063;null;null;null;null
"2019-10-02T09:03:17+02:00";null;null;null;25.75;null
"2019-10-02T09:03:17+02:00";null;null;25.375;null;null
"2019-10-02T09:03:21+02:00";null;null;null;null;24.688
"2019-10-02T09:03:21+02:00";26.063;null;null;null;null
"2019-10-02T09:03:21+02:00";null;null;null;25.75;null
