"Time";"pressure"
"2019-10-01T08:09:42+02:00";-0.5758
"2019-10-01T08:09:47+02:00";-0.5758
"2019-10-01T08:09:52+02:00";-0.5758
"2019-10-01T08:09:57+02:00";-0.6909
"2019-10-01T08:10:02+02:00";-0.6909
"2019-10-01T08:10:07+02:00";-0.6909
"2019-10-01T08:10:12+02:00";-0.6909
"2019-10-01T08:10:17+02:00";-0.6909
"2019-10-01T08:10:22+02:00";-0.5758
"2019-10-01T08:10:27+02:00";-0.5182
"2019-10-01T08:10:32+02:00";-0.5758
"2019-10-01T08:10:37+02:00";-0.5758
"2019-10-01T08:10:42+02:00";-0.5758
"2019-10-01T08:10:47+02:00";-0.5758
"2019-10-01T08:10:52+02:00";-0.6909
"2019-10-01T08:10:57+02:00";-0.5758
"2019-10-01T08:11:02+02:00";-0.5758
"2019-10-01T08:11:07+02:00";-0.5758
"2019-10-01T08:11:12+02:00";-0.6333
"2019-10-01T08:11:17+02:00";-0.6333
"2019-10-01T08:11:22+02:00";-0.6333
"2019-10-01T08:11:27+02:00";-0.5182
"2019-10-01T08:11:32+02:00";-0.5182
"2019-10-01T08:11:37+02:00";-0.6333
"2019-10-01T08:11:42+02:00";-0.6333
"2019-10-01T08:11:47+02:00";-0.5758
"2019-10-01T08:11:52+02:00";-0.6333
"2019-10-01T08:11:57+02:00";-0.6333
"2019-10-01T08:12:02+02:00";-0.5182
"2019-10-01T08:12:07+02:00";-0.5182
"2019-10-01T08:12:12+02:00";-0.6333
"2019-10-01T08:12:17+02:00";-0.6333
"2019-10-01T08:12:22+02:00";-0.5758
"2019-10-01T08:12:27+02:00";-0.6333
"2019-10-01T08:12:32+02:00";-0.5758
"2019-10-01T08:12:37+02:00";-0.5758
"2019-10-01T08:12:42+02:00";-0.5758
"2019-10-01T08:12:47+02:00";-0.5758
"2019-10-01T08:12:52+02:00";-0.6333
"2019-10-01T08:12:57+02:00";-0.5758
"2019-10-01T08:13:02+02:00";-0.5758
"2019-10-01T08:13:07+02:00";-0.5758
"2019-10-01T08:13:12+02:00";-0.6333
"2019-10-01T08:13:17+02:00";-0.6333
"2019-10-01T08:13:22+02:00";-0.5758
"2019-10-01T08:13:27+02:00";-0.5758
"2019-10-01T08:13:32+02:00";-0.5758
"2019-10-01T08:13:37+02:00";-0.5758
"2019-10-01T08:13:42+02:00";-0.5758
"2019-10-01T08:13:47+02:00";-0.5758
"2019-10-01T08:13:52+02:00";-0.5182
"2019-10-01T08:13:57+02:00";-0.5182
"2019-10-01T08:14:02+02:00";-0.6909
"2019-10-01T08:14:07+02:00";-0.6909
"2019-10-01T08:14:12+02:00";-0.5758
"2019-10-01T08:14:17+02:00";-0.5758
"2019-10-01T08:14:22+02:00";-0.6333
"2019-10-01T08:14:27+02:00";-0.6333
"2019-10-01T08:14:32+02:00";-0.6333
"2019-10-01T08:14:37+02:00";-0.5182
"2019-10-01T08:14:42+02:00";-0.5182
"2019-10-01T08:14:47+02:00";-0.6333
"2019-10-01T08:14:52+02:00";-0.5758
"2019-10-01T08:14:57+02:00";-0.6909
"2019-10-01T08:15:02+02:00";-0.5182
"2019-10-01T08:15:07+02:00";-0.5182
"2019-10-01T08:15:12+02:00";-0.5758
"2019-10-01T08:15:17+02:00";-0.5758
"2019-10-01T08:15:22+02:00";-0.5758
"2019-10-01T08:15:27+02:00";-0.5758
"2019-10-01T08:15:32+02:00";-0.5758
"2019-10-01T08:15:37+02:00";-0.5182
"2019-10-01T08:15:42+02:00";-0.5182
"2019-10-01T08:15:47+02:00";-0.6333
"2019-10-01T08:15:52+02:00";-0.6909
"2019-10-01T08:15:57+02:00";-0.6333
"2019-10-01T08:16:02+02:00";-0.6333
"2019-10-01T08:16:07+02:00";-0.6333
"2019-10-01T08:16:12+02:00";-0.5758
"2019-10-01T08:16:17+02:00";-0.5758
"2019-10-01T08:16:22+02:00";-0.6333
"2019-10-01T08:16:27+02:00";-0.6333
"2019-10-01T08:16:32+02:00";-0.6909
"2019-10-01T08:16:37+02:00";-0.6909
"2019-10-01T08:16:42+02:00";-0.6909
"2019-10-01T08:16:47+02:00";-0.6333
"2019-10-01T08:16:52+02:00";-0.6333
"2019-10-01T08:16:57+02:00";-0.6333
"2019-10-01T08:17:02+02:00";-0.5182
"2019-10-01T08:17:07+02:00";-0.5182
"2019-10-01T08:17:12+02:00";-0.6333
"2019-10-01T08:17:17+02:00";-0.6333
"2019-10-01T08:17:22+02:00";-0.5758
"2019-10-01T08:17:27+02:00";-0.5758
"2019-10-01T08:17:32+02:00";-0.6333
"2019-10-01T08:17:37+02:00";-0.5182
"2019-10-01T08:17:42+02:00";-0.5182
"2019-10-01T08:17:47+02:00";-0.5182
"2019-10-01T08:17:52+02:00";-0.4606
"2019-10-01T08:17:57+02:00";-0.5758
"2019-10-01T08:18:02+02:00";-0.5758
"2019-10-01T08:18:07+02:00";-0.6333
"2019-10-01T08:18:12+02:00";-0.6333
"2019-10-01T08:18:17+02:00";-0.6333
"2019-10-01T08:18:22+02:00";-0.5758
"2019-10-01T08:18:27+02:00";-0.5758
"2019-10-01T08:18:32+02:00";-0.5182
"2019-10-01T08:18:37+02:00";-0.5182
"2019-10-01T08:18:42+02:00";-0.5182
"2019-10-01T08:18:47+02:00";-0.6333
"2019-10-01T08:18:52+02:00";-0.6333
"2019-10-01T08:18:57+02:00";-0.6333
"2019-10-01T08:19:02+02:00";-0.5182
"2019-10-01T08:19:07+02:00";-0.5182
"2019-10-01T08:19:12+02:00";-0.5182
"2019-10-01T08:19:17+02:00";-0.5182
"2019-10-01T08:19:22+02:00";-0.6333
"2019-10-01T08:19:27+02:00";-0.5758
"2019-10-01T08:19:32+02:00";-0.5758
"2019-10-01T08:19:37+02:00";-0.5758
"2019-10-01T08:19:42+02:00";-0.5758
"2019-10-01T08:19:47+02:00";-0.6909
"2019-10-01T08:19:52+02:00";-0.6333
"2019-10-01T08:19:57+02:00";-0.6909
"2019-10-01T08:20:02+02:00";-0.6909
"2019-10-01T08:20:07+02:00";-0.5758
"2019-10-01T08:20:12+02:00";-0.5758
"2019-10-01T08:20:17+02:00";-0.5758
"2019-10-01T08:20:22+02:00";-0.6333
"2019-10-01T08:20:27+02:00";-0.5758
"2019-10-01T08:20:32+02:00";-0.6909
"2019-10-01T08:20:37+02:00";-0.6909
"2019-10-01T08:20:42+02:00";-0.6909
"2019-10-01T08:20:47+02:00";-0.5182
"2019-10-01T08:20:52+02:00";-0.5182
"2019-10-01T08:20:57+02:00";-0.5758
"2019-10-01T08:21:02+02:00";-0.5758
"2019-10-01T08:21:07+02:00";-0.5758
