time,temperature_p02r01c01srv01_outlet,temperature_p02r01c01srv02_outlet,temperature_p02r01c01srv03_outlet,temperature_p02r01c02srv01_outlet,temperature_p02r01c02srv02_outlet,temperature_p02r01c02srv03_outlet,temperature_p02r01c03srv01_outlet,temperature_p02r01c03srv02_outlet,temperature_p02r01c03srv03_outlet,temperature_p02r01c04srv01_outlet,temperature_p02r01c04srv02_outlet,temperature_p02r01c04srv03_outlet,temperature_p02r01c05srv01_outlet,temperature_p02r01c05srv02_outlet,temperature_p02r01c05srv03_outlet,temperature_p02r01c06srv01_outlet,temperature_p02r01c06srv02_outlet,temperature_p02r01c06srv03_outlet,temperature_p02r01c07srv01_outlet,temperature_p02r01c07srv02_outlet,temperature_p02r01c07srv03_outlet,temperature_p02r01c08srv01_outlet,temperature_p02r01c08srv02_outlet,temperature_p02r01c08srv03_outlet,temperature_p02r01c09srv01_outlet,temperature_p02r01c09srv02_outlet,temperature_p02r01c09srv03_outlet,temperature_p02r01c10srv01_outlet,temperature_p02r01c10srv02_outlet,temperature_p02r01c10srv03_outlet
01-Oct-2019 08:00:00,31.0,31.0,30.0,30.0,29.0,30.0,29.0,28.0,29.0,30.0,27.0,29.0,29.0,28.0,28.0,29.0,30.0,30.0,30.0,31.0,31.0,31.0,30.0,31.0,32.0,31.0,31.0,32.0,34.0,32.0
01-Oct-2019 08:01:00,31.0,31.0,30.0,30.0,29.0,30.0,29.0,28.0,29.0,30.0,27.0,29.0,29.0,28.0,28.0,29.0,30.0,30.0,30.0,31.0,31.0,31.0,30.0,31.0,32.0,31.0,31.0,32.0,34.0,32.0
01-Oct-2019 08:02:00,31.0,31.0,30.0,30.0,29.0,30.0,29.0,28.0,29.0,30.0,27.0,29.0,29.0,28.0,28.0,29.0,30.0,30.0,30.0,31.0,31.0,31.0,30.0,31.0,32.0,31.0,31.0,32.0,34.0,32.0
01-Oct-2019 08:03:00,31.0,31.0,30.0,30.0,29.033333333333335,30.0,29.0,28.0,29.0,30.0,27.0,29.0,29.0,28.0,28.0,29.0,30.0,30.0,30.0,31.0,31.0,31.0,30.0,31.0,32.0,31.0,31.0,32.0,34.0,32.0
01-Oct-2019 08:04:00,31.0,31.0,30.0,30.0,29.166666666666668,30.0,29.0,28.0,29.0,30.0,27.0,29.0,29.0,28.0,28.0,29.0,30.0,30.0,30.0,31.0,31.0,31.0,30.0,31.0,32.0,31.0,31.0,32.0,34.0,32.0
01-Oct-2019 08:05:00,31.0,31.0,30.0,30.0,30.0,30.0,29.0,28.0,29.0,30.0,27.0,29.0,29.0,28.0,27.633333333333333,29.0,30.0,30.0,29.466666666666665,30.333333333333332,30.166666666666668,31.0,30.0,31.0,32.0,31.0,31.0,32.0,34.0,32.0
01-Oct-2019 08:06:00,31.0,31.0,30.0,30.0,30.0,30.0,29.0,28.0,29.0,30.0,27.0,29.0,29.0,28.0,27.5,29.0,30.0,30.0,29.333333333333332,30.2,30.033333333333335,31.0,30.066666666666666,31.0,32.0,31.0,31.0,32.0,34.0,32.0
01-Oct-2019 08:07:00,31.0,31.0,30.0,30.0,30.0,30.0,29.0,28.0,29.0,30.0,27.0,29.0,29.0,28.0,27.0,29.0,30.0,30.0,29.0,30.0,30.0,31.0,30.933333333333334,31.0,32.0,31.0,31.433333333333334,32.0,34.0,32.0
01-Oct-2019 08:08:00,31.0,31.0,30.0,30.0,30.0,30.0,29.0,28.0,29.0,30.0,27.0,29.0,29.0,28.0,27.0,29.0,30.0,30.0,29.0,30.0,30.0,31.0,31.0,31.0,32.0,31.0,31.566666666666666,32.0,34.0,32.0
01-Oct-2019 08:09:00,31.0,31.0,30.0,30.0,30.0,30.0,29.0,28.0,28.233333333333334,30.0,27.0,28.666666666666668,29.0,28.0,27.0,29.0,30.0,30.0,29.533333333333335,30.0,30.0,31.0,31.0,31.0,32.0,31.0,32.0,32.0,34.0,32.0
