time,temperature_p02r05c01srv01_outlet,temperature_p02r05c01srv02_outlet,temperature_p02r05c01srv03_outlet,temperature_p02r05c02srv01_outlet,temperature_p02r05c02srv02_outlet,temperature_p02r05c02srv03_outlet,temperature_p02r05c03srv01_outlet,temperature_p02r05c03srv02_outlet,temperature_p02r05c03srv03_outlet,temperature_p02r05c04srv01_outlet,temperature_p02r05c04srv02_outlet,temperature_p02r05c04srv03_outlet,temperature_p02r05c05srv01_outlet,temperature_p02r05c05srv02_outlet,temperature_p02r05c05srv03_outlet,temperature_p02r05c06srv01_outlet,temperature_p02r05c06srv02_outlet,temperature_p02r05c06srv03_outlet,temperature_p02r05c07srv01_outlet,temperature_p02r05c07srv02_outlet,temperature_p02r05c07srv03_outlet,temperature_p02r05c08srv01_outlet,temperature_p02r05c08srv02_outlet,temperature_p02r05c08srv03_outlet,temperature_p02r05c09srv01_outlet,temperature_p02r05c09srv02_outlet,temperature_p02r05c09srv03_outlet,temperature_p02r05c10srv01_outlet,temperature_p02r05c10srv02_outlet,temperature_p02r05c10srv03_outlet
01-Oct-2019 08:00:00,27.0,27.0,27.0,25.0,25.0,26.0,25.0,25.0,26.0,25.0,25.0,25.0,25.0,25.0,26.0,25.0,25.0,26.0,29.0,25.0,25.0,30.0,26.0,27.0,31.0,31.0,30.0,31.0,31.0,31.0
01-Oct-2019 08:01:00,27.0,27.0,27.0,25.0,25.0,26.0,25.0,25.0,26.0,25.0,25.0,25.0,25.0,25.0,26.0,25.0,25.0,26.0,29.0,25.0,25.0,30.0,26.0,27.0,31.0,31.0,30.0,31.0,31.0,31.0
01-Oct-2019 08:02:00,27.0,27.0,27.0,25.0,25.0,26.0,25.0,25.0,26.0,25.0,25.0,25.0,25.0,25.0,26.0,25.0,25.0,26.0,29.0,25.0,25.0,30.0,26.0,27.0,31.0,31.0,30.0,31.0,31.0,31.0
01-Oct-2019 08:03:00,27.0,27.0,27.0,25.0,25.4,26.0,25.0,25.0,26.0,25.0,25.0,25.0,25.0,25.266666666666666,26.0,25.0,25.0,26.0,29.0,25.0,25.466666666666665,30.0,26.0,27.0,31.0,31.0,30.0,31.0,31.0,31.0
01-Oct-2019 08:04:00,27.0,27.0,27.0,25.0,25.766666666666666,26.0,25.0,25.0,26.0,25.0,25.0,25.0,25.0,25.633333333333333,26.0,25.0,25.0,26.0,29.0,25.0,25.833333333333332,30.0,26.0,27.0,31.0,31.0,30.0,31.0,31.0,31.0
01-Oct-2019 08:05:00,27.0,27.0,26.833333333333332,25.0,26.0,26.0,25.0,25.0,26.0,25.0,25.0,25.0,25.0,26.0,26.0,25.0,25.0,26.0,29.0,25.0,26.0,30.0,26.0,27.0,31.0,31.0,30.0,31.0,31.0,31.0
01-Oct-2019 08:06:00,27.0,27.0,26.466666666666665,25.0,26.0,26.0,25.0,25.0,26.0,25.0,25.0,25.0,25.0,26.0,26.0,25.0,25.0,26.0,29.0,25.0,26.0,30.0,26.166666666666668,27.0,31.0,30.966666666666665,30.0,31.0,31.0,31.0
01-Oct-2019 08:07:00,27.0,27.0,26.166666666666668,25.0,26.0,26.0,25.0,25.0,26.0,25.0,25.0,25.0,25.533333333333335,25.733333333333334,26.0,25.0,25.0,26.0,29.0,25.0,26.0,30.0,26.8,27.0,31.0,30.333333333333332,30.0,31.0,31.0,31.0
01-Oct-2019 08:08:00,27.0,27.0,26.533333333333335,25.1,26.0,26.0,25.0,25.0,26.0,25.0,25.0,25.0,25.9,25.366666666666667,26.0,25.0,25.0,26.0,29.0,25.0,26.0,30.0,27.0,27.0,31.0,30.0,30.0,31.0,31.0,31.0
01-Oct-2019 08:09:00,27.0,27.0,27.0,25.733333333333334,26.0,26.0,25.0,25.0,26.0,25.0,25.0,25.0,25.466666666666665,25.0,26.0,25.0,25.0,26.0,29.0,25.0,26.0,30.0,27.0,27.0,31.0,30.0,30.0,31.0,31.0,31.0
01-Oct-2019 08:10:00,27.0,27.0,27.0,26.0,26.0,26.0,25.0,25.0,26.0,25.0,25.0,25.0,25.1,25.0,26.0,25.0,25.0,26.0,29.0,25.0,26.0,30.0,27.0,27.0,31.0,30.0,30.0,31.0,31.0,31.0
01-Oct-2019 08:11:00,27.0,27.0,27.0,26.0,26.0,26.0,25.0,25.0,26.0,25.0,25.0,25.0,25.0,25.0,26.0,25.0,25.0,26.0,29.0,25.0,26.0,30.0,27.0,27.0,31.0,30.0,30.0,31.0,31.0,31.0
01-Oct-2019 08:12:00,27.0,27.0,27.0,26.0,26.0,26.0,25.0,25.0,26.0,25.0,25.0,25.0,25.0,25.0,26.0,25.0,25.0,26.0,29.0,25.0,26.0,30.0,26.8,27.0,31.0,30.0,30.0,31.0,31.0,31.0
01-Oct-2019 08:13:00,27.0,27.0,27.0,26.0,26.0,26.0,25.0,25.0,26.0,25.0,25.0,25.0,25.0,25.0,26.0,25.0,25.0,26.0,29.0,25.0,26.0,30.0,26.166666666666668,27.0,31.0,30.0,30.0,31.0,31.0,31.0
01-Oct-2019 08:14:00,27.0,27.0,27.0,26.0,26.0,26.0,25.0,25.0,26.0,25.0,25.0,25.0,25.0,25.0,26.0,25.0,25.0,26.0,29.0,25.0,26.0,30.0,26.0,27.0,31.0,30.0,30.0,31.0,31.0,31.0
01-Oct-2019 08:15:00,27.0,27.0,27.0,26.0,26.0,26.0,25.0,25.0,26.0,25.0,25.0,25.0,25.0,25.0,26.0,25.0,25.0,26.0,29.0,25.0,26.0,30.0,26.0,27.0,31.0,30.0,30.0,31.0,31.0,31.0
01-Oct-2019 08:16:00,27.0,27.0,27.0,26.0,26.0,26.0,25.0,25.0,26.0,25.0,25.0,25.0,25.0,25.0,26.0,25.0,25.0,26.0,29.0,25.0,26.0,30.0,26.0,27.0,31.0,30.0,30.0,31.0,31.0,31.0
01-Oct-2019 08:17:00,27.0,27.0,27.0,26.0,25.6,26.0,25.0,25.0,26.0,25.0,25.0,25.0,25.0,25.0,26.0,25.0,25.0,26.0,29.0,25.0,26.0,30.0,26.0,27.0,31.0,30.0,30.0,31.0,31.0,31.0
01-Oct-2019 08:18:00,27.0,27.0,27.0,26.0,25.233333333333334,26.0,25.0,25.0,26.0,25.0,25.0,25.0,25.0,25.0,26.0,25.0,25.0,26.0,29.0,25.0,26.0,30.0,26.0,27.0,31.0,30.0,30.0,31.0,31.0,31.0
01-Oct-2019 08:19:00,27.0,27.0,27.0,26.0,25.0,26.0,25.0,25.0,26.0,25.0,25.0,25.0,25.0,25.0,26.0,25.033333333333335,25.0,26.0,29.0,25.0,26.0,30.0,26.0,27.0,31.0,30.0,30.0,31.0,31.0,31.0
01-Oct-2019 08:20:00,27.0,27.0,27.0,26.0,25.0,26.0,25.0,25.0,26.0,25.0,25.0,25.0,25.0,25.0,26.0,25.4,25.0,26.0,29.0,25.0,26.0,30.0,26.166666666666668,27.0,31.0,30.0,30.0,31.0,31.0,31.0
01-Oct-2019 08:21:00,27.0,27.0,27.0,26.0,25.0,26.0,25.0,25.0,26.0,25.0,25.0,25.0,25.5,25.0,26.0,26.0,25.0,26.0,29.0,25.0,26.0,30.0,26.8,27.0,31.0,30.0,30.0,31.0,31.0,31.0
