"Time";"power_1";"power_10";"power_11";"power_2";"power_3";"power_4";"power_5";"power_6";"power_7";"power_8";"power_9"
"2019-10-02T09:06:59+02:00";4651.4932;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:07:07+02:00";null;null;2099.4648;null;null;null;null;null;null;null;null
"2019-10-02T09:07:13+02:00";null;null;null;null;null;null;null;null;null;null;2541.3838
"2019-10-02T09:07:19+02:00";null;null;null;null;null;null;null;null;2696.5078;null;null
"2019-10-02T09:07:30+02:00";null;null;null;null;null;2475.8906;null;null;null;null;null
"2019-10-02T09:07:31+02:00";null;null;null;2491.5291;null;null;null;null;null;null;null
"2019-10-02T09:07:40+02:00";null;2044.1257;null;null;null;null;null;null;null;null;null
"2019-10-02T09:07:46+02:00";null;null;null;null;null;null;null;null;null;2128.4224;null
"2019-10-02T09:07:50+02:00";null;null;null;null;null;null;2273.8457;null;null;null;null
"2019-10-02T09:07:52+02:00";null;null;null;null;null;null;null;2233.8259;null;null;null
"2019-10-02T09:07:58+02:00";null;null;null;null;2140.8582;null;null;null;null;null;null
"2019-10-02T09:07:59+02:00";4468.6509;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:08:07+02:00";null;null;2012.0233;null;null;null;null;null;null;null;null
"2019-10-02T09:08:13+02:00";null;null;null;null;null;null;null;null;null;null;2541.3914
"2019-10-02T09:08:19+02:00";null;null;null;null;null;null;null;null;2575.6013;null;null
"2019-10-02T09:08:30+02:00";null;null;null;null;null;2463.1733;null;null;null;null;null
"2019-10-02T09:08:31+02:00";null;null;null;2431.5715;null;null;null;null;null;null;null
"2019-10-02T09:08:40+02:00";null;2126.1729;null;null;null;null;null;null;null;null;null
"2019-10-02T09:08:46+02:00";null;null;null;null;null;null;null;null;null;2153.542;null
"2019-10-02T09:08:50+02:00";null;null;null;null;null;null;2083.4739;null;null;null;null
"2019-10-02T09:08:52+02:00";null;null;null;null;null;null;null;2085.5295;null;null;null
"2019-10-02T09:08:58+02:00";null;null;null;null;2098.082;null;null;null;null;null;null
"2019-10-02T09:08:59+02:00";4707.8135;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:09:07+02:00";null;null;2151.2998;null;null;null;null;null;null;null;null
"2019-10-02T09:09:13+02:00";null;null;null;null;null;null;null;null;null;null;2464.1052
