crac,sim_T_in,sim_T_in_err,exp_T_in,exp_T_in_err,sim_T_out,sim_T_out_err,exp_T_out,exp_T_out_err
1,29,1.18,29.7,1.22,21.5,1.28,22,1.38
2,29.5,1.48,28.9,1.29,19.9,1.1,20.2,1.19
3,32.3,1.78,30.6,1.34,18.9,0.405,19,0.372
4,32.6,1.98,32.4,1.72,18.9,0.397,19,0.367
