t,sim,exp
1,36,29.3
2,35.7,29.3
3,41.7,29.6
4,43.4,29.9
5,43.8,30.4
6,43.2,31
7,43.1,31.7
8,42.6,32.3
9,43.4,32.9
10,42.7,33.5
11,42.3,33.9
12,42.5,34.3
13,43.8,34.7
14,43,35
15,42.8,35.2
16,43.1,35.4
17,42.6,35.6
18,42.5,35.8
19,42.6,35.9
20,42.2,36
21,41.9,36.2
22,41.4,36.3
23,41.3,36.4
24,40.9,36.6
25,39.3,36.7
26,39.5,36.7
27,39.4,36.8
28,39.5,36.9
29,39.5,37
30,39.3,37.1
31,39.5,37.1
32,39.5,37.2
33,39.4,37.2
34,39.6,37.3
35,39.4,37.3
36,39.6,37.4
37,39.1,37.4
38,39.1,37.5
39,39,37.5
40,38.8,37.5
41,38.7,37.5
42,38.5,37.6
43,38.4,37.5
44,38.4,37.5
45,38.4,37.6
46,38.6,37.5
47,38.7,37.5
48,39,37.4
49,39.2,37.3
50,39.3,37.2
51,39.3,37.2
52,39.3,37.2
53,39.3,37.2
54,39.4,37.2
55,39.5,37.3
56,39.5,37.3
57,39.6,37.4
58,39.5,37.4
59,39.5,37.4
60,39.5,37.5
61,39.5,37.5
62,39.6,37.5
63,39.6,37.6
64,39.6,37.6
65,39.6,37.6
66,39.6,37.5
67,39.6,37.5
68,39.6,37.6
69,39.6,37.6
70,39.6,37.5
71,39.6,37.5
72,39.6,37.6
73,39.6,37.6
74,39.6,37.6
75,39.6,37.6
76,39.6,37.7
77,39.6,37.7
78,39.6,37.8
79,39.6,37.8
80,39.6,37.8
81,39.6,37.8
82,39.6,37.7
83,39.6,37.6
84,39.6,37.5
85,39.6,37.4
86,39.6,37.4
87,39.6,37.3
88,39.6,37.3
89,39.6,37.3
90,39.6,37.3
91,39.6,37.3
92,39.6,37.3
93,39.6,37.3
94,39.6,37.3
95,39.6,37.3
96,39.6,37.4
97,39.6,37.3
98,39.6,37.3
99,39.6,37.3
100,39.6,37.3
101,39.6,37.3
102,39.6,37.3
103,39.6,37.3
104,39.6,37.4
105,39.6,37.4
106,39.6,37.3
107,39.7,37.3
108,39.7,37.3
109,39.7,37.3
110,39.7,37.3
111,39.7,37.2
112,39.7,37.2
113,39.6,37.2
114,39.6,37.2
115,39.6,37.2
116,39.5,37.2
117,39.5,37.2
118,39.5,37.2
119,39.5,37.1
120,39.5,37.1
121,39.5,37.1
122,39.6,37.1
123,39.7,37.2
124,39.7,37.2
125,39.7,37.2
126,39.7,37.2
127,39.7,37.2
128,39.6,37.3
129,39.6,37.3
130,39.6,37.3
131,39.6,37.3
132,39.6,37.3
133,39.7,37.2
134,39.7,37.3
135,39.7,37.3
136,39.7,37.2
137,39.7,37.2
138,39.7,37.2
139,39.6,37.2
140,39.6,37.2
141,39.6,37.2
142,39.6,37.2
143,39.5,37.3
144,39.5,37.2
145,39.5,37.2
146,39.5,37.3
147,39.6,37.3
148,39.6,37.3
149,39.6,37.3
150,39.7,37.3
151,39.7,37.3
152,39.8,37.3
153,39.8,37.3
154,39.7,37.3
155,39.7,37.4
156,39.7,37.4
157,39.7,37.4
158,39.7,37.3
159,39.6,37.2
160,39.6,37.2
161,39.6,37.2
162,39.5,37.2
163,39.5,37.2
164,39.5,37.2
165,39.5,37.2
166,39.6,37.2
167,39.6,37.2
168,39.7,37.2
169,39.7,37.2
170,39.8,37.2
171,39.8,37.2
172,39.7,37.2
173,39.7,37.2
174,39.7,37.2
175,39.7,37.2
176,39.6,37.2
177,39.6,37.2
178,39.6,37.2
179,39.5,37.2
180,39.5,37.2
181,39.5,37.2
182,39.5,37.2
183,39.5,37.2
184,39.6,37.2
185,39.6,37.1
186,39.7,37.1
187,39.7,37.2
188,39.8,37.2
189,39.8,37.2
190,39.7,37.2
191,39.7,37.3
192,39.7,37.3
193,39.7,37.3
194,39.6,37.2
195,39.6,37.3
196,39.6,37.3
197,39.6,37.3
198,39.5,37.3
199,39.5,37.3
200,39.5,37.3
201,39.5,37.3
202,39.6,37.3
203,39.6,37.3
204,39.7,37.3
205,39.7,37.3
206,39.7,37.3
207,39.8,37.3
208,39.7,37.4
209,39.8,37.4
210,39.8,37.5
211,39.8,37.4
212,39.7,37.4
213,39.8,37.4
214,39.7,37.4
215,39.7,37.4
216,39.6,37.4
217,39.6,37.4
218,39.6,37.4
219,39.5,37.4
220,39.6,37.3
221,39.5,37.3
222,39.5,37.2
223,39.6,37.3
224,39.6,37.3
225,39.7,37.3
226,39.7,37.3
227,39.8,37.3
228,39.8,37.4
229,39.7,37.4
230,39.7,37.4
231,39.7,37.4
232,39.7,37.4
233,39.6,37.4
234,39.6,37.4
235,39.6,37.4
236,39.6,37.4
237,39.6,37.3
238,39.5,37.4
239,39.5,37.4
240,39.5,37.5
241,39.5,37.5
242,39.5,37.5
243,39.5,37.5
244,39.6,37.4
245,39.7,37.4
246,39.7,37.4
247,39.7,37.4
248,39.8,37.4
249,39.8,37.4
250,39.8,37.2
251,39.8,37.2
252,39.8,37.1
253,39.8,37.1
254,39.7,37.1
255,39.7,37.3
256,39.6,37.3
257,39.6,37.4
258,39.5,37.3
259,39.5,37.3
260,39.5,37.3
261,39.5,37.3
262,39.4,37.4
263,39.4,37.4
264,39.4,37.4
265,39.5,37.4
266,39.5,37.4
267,39.5,37.5
268,39.6,37.4
269,39.7,37.4
270,39.7,37.4
271,39.7,37.4
272,39.7,37.4
273,39.7,37.3
274,39.7,37.3
275,39.7,37.3
276,39.6,37.3
