t,pow,rpm
1,4.11,7.24e+03
2,4.12,7.24e+03
3,4.11,7.25e+03
4,4.12,7.25e+03
5,4.11,7.25e+03
6,4.12,7.27e+03
7,4.12,7.28e+03
8,4.13,7.29e+03
9,4.12,7.3e+03
10,4.12,7.3e+03
11,4.13,7.3e+03
12,4.13,7.3e+03
13,4.13,7.3e+03
14,4.14,7.3e+03
15,4.14,7.3e+03
16,4.13,7.31e+03
17,4.13,7.31e+03
18,4.14,7.32e+03
19,4.14,7.31e+03
20,4.14,7.31e+03
21,4.15,7.31e+03
22,4.14,7.32e+03
23,4.14,7.32e+03
24,4.13,7.32e+03
25,4.13,7.32e+03
26,4.13,7.32e+03
27,4.14,7.31e+03
28,4.14,7.32e+03
29,4.13,7.32e+03
30,4.13,7.31e+03
31,4.14,7.32e+03
32,4.13,7.32e+03
33,4.14,7.32e+03
34,4.14,7.32e+03
35,4.14,7.32e+03
36,4.14,7.32e+03
37,4.14,7.32e+03
38,4.14,7.33e+03
39,4.13,7.32e+03
40,4.14,7.32e+03
41,4.14,7.33e+03
42,4.13,7.32e+03
43,4.13,7.32e+03
44,4.14,7.32e+03
45,4.13,7.32e+03
46,4.14,7.32e+03
47,4.13,7.31e+03
48,4.14,7.31e+03
49,4.13,7.31e+03
50,4.14,7.31e+03
51,4.14,7.31e+03
52,4.13,7.31e+03
53,4.14,7.31e+03
54,4.13,7.32e+03
55,4.14,7.32e+03
56,4.13,7.32e+03
57,4.14,7.33e+03
58,4.13,7.33e+03
59,4.13,7.34e+03
60,4.14,7.34e+03
61,4.14,7.34e+03
62,4.14,7.33e+03
63,4.14,7.33e+03
64,4.14,7.33e+03
65,4.14,7.33e+03
66,4.15,7.32e+03
67,4.14,7.32e+03
68,4.13,7.31e+03
69,4.14,7.31e+03
70,4.13,7.32e+03
71,4.14,7.32e+03
72,4.13,7.32e+03
73,4.14,7.33e+03
74,4.15,7.33e+03
75,4.14,7.33e+03
76,4.14,7.33e+03
77,4.14,7.33e+03
78,4.14,7.34e+03
79,4.14,7.34e+03
80,4.14,7.34e+03
81,4.14,7.34e+03
82,4.14,7.34e+03
83,4.14,7.34e+03
84,4.13,7.34e+03
85,4.14,7.34e+03
86,4.14,7.33e+03
87,4.14,7.32e+03
88,4.13,7.32e+03
89,4.14,7.32e+03
90,4.14,7.32e+03
91,4.14,7.32e+03
92,4.13,7.32e+03
93,4.14,7.32e+03
94,4.14,7.32e+03
95,4.14,7.33e+03
96,4.13,7.34e+03
97,4.14,7.34e+03
98,4.14,7.33e+03
99,4.13,7.33e+03
100,4.14,7.33e+03
101,4.13,7.33e+03
102,4.14,7.34e+03
103,4.14,7.34e+03
104,4.14,7.34e+03
105,4.14,7.34e+03
106,4.14,7.34e+03
107,4.14,7.35e+03
108,4.13,7.34e+03
109,4.14,7.34e+03
110,4.14,7.34e+03
111,4.13,7.34e+03
112,4.13,7.33e+03
113,4.14,7.33e+03
114,4.13,7.33e+03
