t,sim,exp
334,34.7,32.2
335,34.7,32.3
336,34.6,32.2
337,34.8,32.2
338,34.7,32.2
339,34.5,32.2
340,34.7,32.3
341,34.5,32.3
342,34.6,32.3
343,34.5,32.3
344,34.6,32.2
345,34.6,32.2
346,34.5,32.2
347,34.6,32.3
348,34.7,32.2
349,34.8,32.2
350,34.8,32.2
351,34.7,32.3
352,34.7,32.3
353,34.7,32.3
354,34.7,32.3
355,34.6,32.2
356,34.6,32.2
357,34.6,32.2
358,34.7,32.2
359,34.7,32.2
360,34.7,32.2
361,34.6,32.3
362,34.1,32.2
363,34.2,32.2
364,34.2,32.1
365,34.3,32.1
366,34.1,32.1
367,34.3,32.1
368,34.1,32.1
369,34.3,32
370,34.2,32
371,34.2,32.1
372,34.2,31.9
373,34.2,32
374,34.2,31.9
375,34.2,31.9
376,34.2,32
377,34.1,32
378,34.2,31.9
379,34.1,31.9
380,34.2,32
381,34.4,31.9
382,34.2,31.9
383,34.3,31.9
384,34.2,31.9
385,34.3,32
386,34.3,32
387,34.1,31.9
388,34.2,31.9
389,34.2,31.9
390,34.2,32
391,34.1,31.9
392,34.2,32
393,34.2,31.9
394,34.2,31.9
395,34.2,32
396,34.2,31.9
397,34.2,31.9
398,34.1,31.9
399,34.1,31.9
400,34.1,31.9
401,34.1,31.9
402,34.2,31.9
403,34.3,31.9
404,34.2,31.9
405,34.1,31.8
406,34.2,31.9
407,34.3,31.9
408,34.2,31.9
409,34.4,31.9
410,34.2,31.9
411,34.3,31.9
412,34.2,31.9
413,34.1,31.9
414,34.2,31.9
415,34.1,31.9
416,34.2,31.9
417,34.1,31.9
418,34.2,31.9
419,34.2,31.9
420,34.2,31.9
421,34.2,31.9
422,34,31.9
423,34.1,31.9
424,34.1,31.9
425,34.2,31.8
426,34.2,31.9
427,34.3,31.9
428,34.3,31.9
429,34.3,31.9
430,34.4,31.9
431,34.2,31.9
432,34.2,31.9
433,34.3,31.9
434,34.3,31.9
435,34,31.8
436,34.1,31.9
437,34.3,31.9
438,34.2,31.9
439,34,31.9
440,34.1,31.9
441,34.1,32
442,34.2,31.9
443,34,31.9
444,34.1,31.9
445,34.3,31.9
446,34.2,31.9
447,34.2,31.9
448,34.1,31.8
449,34.2,31.8
450,34.2,31.9
451,34.2,31.9
452,34.3,31.9
453,34.2,31.9
454,34.3,31.9
455,34.2,31.9
456,34.2,31.9
457,34,31.9
458,34.1,31.9
459,34.1,31.9
460,34.2,31.8
461,34.2,31.9
462,34.2,31.9
463,34.2,31.9
464,34.2,31.9
465,34.1,31.9
466,34,31.9
467,34.1,31.9
468,34.2,31.9
469,34.3,31.9
470,34.1,31.8
471,34.2,31.9
472,34.3,31.8
473,34.2,31.9
474,34.4,31.9
475,34.3,31.8
476,34.2,31.8
477,34.2,31.8
478,34.2,31.9
479,34.3,31.9
480,34.2,31.9
481,34.1,31.9
482,34.2,31.9
483,34.2,31.9
484,34.2,31.8
485,34.1,31.9
486,34.1,31.9
487,34,31.9
488,34,31.9
489,34.1,32
490,34.1,31.9
491,34.2,31.9
492,34.2,31.8
493,34.3,31.9
494,34.2,31.8
495,34.3,31.9
496,34.3,31.9
497,34.2,31.9
498,34.2,31.8
499,34.1,31.9
500,34.1,31.9
501,34.2,31.9
502,34.2,31.9
503,34.1,31.9
504,34.2,31.9
505,34,31.9
506,33.9,31.9
507,34.1,31.9
508,34.2,31.8
509,34.2,31.9
510,34.2,31.9
511,34.2,31.9
512,34.2,31.9
513,34.2,31.8
514,34.2,31.9
515,34.3,31.8
516,34.1,31.9
517,34,31.9
518,34.1,31.9
519,34.2,31.9
520,34.1,31.9
521,34.1,31.8
522,34.1,31.8
523,34.2,31.9
524,34.2,31.9
525,34.3,31.9
526,34.2,31.9
527,34.2,31.9
528,34.2,31.9
529,34.1,31.9
530,34,31.9
531,34.2,31.9
532,34.1,31.9
533,34.1,31.8
534,34.1,31.9
535,34.1,31.9
536,34,31.8
537,34.1,31.9
538,34.3,31.9
539,34.2,31.8
540,34.3,31.9
541,34.2,31.9
542,34.2,31.8
543,34.2,31.9
544,34,31.8
545,34.2,31.9
546,34.2,31.9
547,34.2,31.9
548,34.2,31.9
549,34.1,31.9
550,34.1,31.9
551,34.1,31.9
552,34.1,31.9
553,34,31.9
554,34,31.8
555,33.9,31.9
556,34.1,31.9
557,34.3,31.8
558,34.3,31.8
559,34.2,31.9
560,34.2,31.9
561,34.3,31.9
562,34.4,31.9
563,34.2,31.9
564,34.2,31.9
565,34.2,31.9
566,34.2,31.9
567,34.3,31.8
568,34.3,31.9
569,34.1,31.9
570,34.1,31.9
571,34.1,31.9
572,34.1,31.9
573,34,31.9
574,34,31.9
575,34.1,31.9
576,34.1,31.8
577,34.1,31.9
578,34.1,31.9
579,34.2,31.9
580,34.2,31.9
581,34.4,31.9
582,34.3,31.9
583,34.1,31.9
584,34.2,31.9
585,34.2,31.8
586,34.2,31.9
587,34.3,31.9
588,34.2,31.9
589,34.1,31.8
590,34.2,31.9
591,34.3,31.9
592,34.2,31.9
593,34.4,31.9
594,34.2,31.9
595,34.2,31.9
596,34.2,31.9
597,34.2,31.9
598,34.1,31.9
599,34.1,31.9
600,34.1,31.8
601,34.2,31.9
602,34.1,31.9
603,34.2,31.9
604,34.1,31.9
605,34.2,31.9
606,34.2,31.9
607,34.1,31.9
608,34.2,31.9
609,34.2,31.8
610,34.1,31.8
611,34.2,31.8
612,34.3,31.8
613,34.2,31.9
614,34.1,31.9
615,34.3,31.9
616,34.2,31.9
617,34.2,31.9
618,34.2,32
619,34.2,31.8
620,34.2,31.9
621,34.1,31.9
622,34.2,31.9
623,34.2,31.9
624,34.3,31.9
625,34.1,31.9
626,34.1,31.9
627,34.2,31.9
628,34.2,31.9
629,34.2,31.9
630,34.2,31.9
631,34.1,31.9
632,34,31.9
633,34.1,31.9
634,34.1,31.9
635,34,31.9
636,34.2,31.9
637,34.3,31.9
638,34.3,31.9
639,34.3,31.9
640,34.3,31.8
641,34.2,31.8
642,34.3,31.9
643,34.4,31.9
644,34.4,31.9
645,34.2,31.9
646,34.2,31.8
647,34.2,31.9
648,34.1,31.9
649,34.3,31.9
650,34.2,31.9
651,34.2,31.9
652,34,31.9
653,34.1,31.9
654,34.1,31.9
655,34.2,31.9
656,34.2,31.9
657,34.3,31.8
658,34.3,31.7
659,34.2,31.8
660,34.3,31.9
661,34.4,31.9
662,34.3,31.8
663,34.2,31.9
