t,pow,rpm
1,2.12,2.38e+03
2,2.09,2.38e+03
3,2.09,2.38e+03
4,2.09,2.38e+03
5,2.08,2.39e+03
6,2.09,2.39e+03
7,2.09,2.39e+03
8,2.09,2.39e+03
9,2.09,2.4e+03
10,2.09,2.4e+03
11,2.09,2.4e+03
12,2.09,2.4e+03
13,2.09,2.41e+03
14,2.1,2.41e+03
15,2.09,2.41e+03
16,2.09,2.41e+03
17,2.1,2.41e+03
18,2.1,2.41e+03
19,2.1,2.41e+03
20,2.1,2.41e+03
21,2.1,2.42e+03
22,2.1,2.42e+03
23,2.1,2.41e+03
24,2.1,2.42e+03
25,2.1,2.42e+03
26,2.1,2.42e+03
27,2.1,2.42e+03
28,2.1,2.42e+03
29,2.1,2.42e+03
30,2.09,2.43e+03
31,2.1,2.43e+03
32,2.09,2.43e+03
33,2.1,2.43e+03
34,2.1,2.42e+03
35,2.1,2.42e+03
36,2.09,2.43e+03
37,2.1,2.42e+03
38,2.1,2.42e+03
39,2.1,2.42e+03
40,2.1,2.43e+03
41,2.1,2.43e+03
42,2.1,2.42e+03
43,2.1,2.41e+03
44,2.1,2.42e+03
45,2.1,2.43e+03
46,2.1,2.43e+03
47,2.1,2.43e+03
48,2.1,2.43e+03
49,2.09,2.43e+03
50,2.1,2.42e+03
51,2.1,2.42e+03
52,2.1,2.42e+03
53,2.1,2.42e+03
54,2.1,2.42e+03
55,2.1,2.42e+03
56,2.1,2.42e+03
57,2.1,2.42e+03
58,2.1,2.42e+03
59,2.1,2.42e+03
60,2.1,2.43e+03
61,2.1,2.44e+03
62,2.1,2.43e+03
63,2.1,2.43e+03
64,2.1,2.43e+03
65,2.1,2.43e+03
66,2.1,2.44e+03
67,2.1,2.43e+03
68,2.1,2.42e+03
69,2.1,2.42e+03
70,2.1,2.42e+03
71,2.1,2.42e+03
72,2.1,2.42e+03
73,2.1,2.42e+03
74,2.1,2.42e+03
75,2.1,2.42e+03
76,2.09,2.42e+03
77,2.1,2.43e+03
78,2.1,2.44e+03
79,2.1,2.43e+03
80,2.1,2.43e+03
81,2.1,2.43e+03
82,2.1,2.43e+03
83,2.1,2.42e+03
84,2.1,2.43e+03
85,2.1,2.43e+03
86,2.1,2.42e+03
87,2.1,2.42e+03
88,2.1,2.42e+03
89,2.1,2.42e+03
90,2.1,2.42e+03
91,2.1,2.43e+03
92,2.1,2.42e+03
93,2.1,2.42e+03
94,2.1,2.42e+03
95,2.1,2.42e+03
96,2.1,2.42e+03
97,2.1,2.42e+03
98,2.1,2.42e+03
99,2.1,2.42e+03
100,2.1,2.42e+03
101,2.1,2.42e+03
102,2.1,2.42e+03
103,2.1,2.42e+03
104,2.1,2.42e+03
105,2.1,2.43e+03
106,2.1,2.44e+03
107,2.1,2.44e+03
108,2.1,2.45e+03
109,2.1,2.44e+03
110,2.1,2.43e+03
111,2.1,2.43e+03
112,2.1,2.42e+03
113,2.1,2.42e+03
114,2.1,2.42e+03
115,2.09,2.42e+03
116,2.1,2.42e+03
117,2.1,2.42e+03
118,2.1,2.42e+03
119,2.1,2.42e+03
120,2.1,2.41e+03
121,2.1,2.42e+03
122,2.1,2.42e+03
123,2.1,2.42e+03
124,2.1,2.42e+03
125,2.1,2.42e+03
126,2.1,2.42e+03
127,2.1,2.43e+03
128,2.1,2.42e+03
129,2.1,2.42e+03
130,2.1,2.43e+03
131,2.1,2.42e+03
132,2.1,2.41e+03
133,2.1,2.43e+03
134,2.1,2.43e+03
135,2.1,2.43e+03
136,2.1,2.43e+03
137,2.1,2.42e+03
138,2.1,2.43e+03
139,2.1,2.42e+03
140,2.1,2.43e+03
141,2.1,2.42e+03
142,2.1,2.42e+03
143,2.1,2.42e+03
144,2.09,2.42e+03
145,2.1,2.42e+03
146,2.1,2.42e+03
147,2.1,2.42e+03
148,2.1,2.42e+03
149,2.1,2.42e+03
150,2.1,2.42e+03
151,2.1,2.42e+03
152,2.1,2.42e+03
153,2.1,2.43e+03
154,2.09,2.43e+03
155,2.1,2.44e+03
156,2.1,2.43e+03
157,2.1,2.43e+03
158,2.1,2.42e+03
159,2.1,2.42e+03
160,2.1,2.43e+03
161,2.1,2.43e+03
162,2.1,2.42e+03
163,2.1,2.42e+03
164,2.1,2.42e+03
165,2.1,2.43e+03
166,2.1,2.42e+03
167,2.1,2.42e+03
168,2.1,2.43e+03
169,2.1,2.42e+03
170,2.1,2.42e+03
171,2.1,2.43e+03
172,2.09,2.44e+03
173,2.1,2.43e+03
174,2.1,2.43e+03
175,2.1,2.44e+03
176,2.1,2.43e+03
177,2.1,2.42e+03
178,2.1,2.42e+03
179,2.1,2.42e+03
180,2.1,2.42e+03
181,2.11,2.42e+03
182,2.09,2.43e+03
183,2.1,2.42e+03
184,2.1,2.42e+03
185,2.1,2.42e+03
186,2.1,2.42e+03
187,2.1,2.44e+03
188,2.1,2.45e+03
189,2.1,2.45e+03
190,2.09,2.45e+03
191,2.1,2.44e+03
192,2.09,2.44e+03
193,2.1,2.44e+03
194,2.1,2.43e+03
195,2.1,2.42e+03
196,2.1,2.42e+03
197,2.1,2.42e+03
198,2.1,2.42e+03
199,2.1,2.43e+03
200,2.1,2.42e+03
201,2.1,2.42e+03
202,2.1,2.42e+03
203,2.1,2.42e+03
204,2.1,2.43e+03
205,2.1,2.44e+03
206,2.1,2.44e+03
207,2.09,2.45e+03
208,2.1,2.45e+03
209,2.1,2.45e+03
210,2.1,2.45e+03
211,2.1,2.44e+03
212,2.1,2.43e+03
213,2.09,2.43e+03
214,2.1,2.42e+03
215,2.1,2.42e+03
216,2.09,2.42e+03
217,2.1,2.42e+03
218,2.1,2.42e+03
219,2.1,2.42e+03
220,2.1,2.43e+03
221,2.1,2.43e+03
222,2.1,2.43e+03
223,2.1,2.42e+03
224,2.09,2.42e+03
225,2.09,2.42e+03
226,2.1,2.42e+03
227,2.1,2.43e+03
228,2.09,2.44e+03
229,2.1,2.44e+03
230,2.1,2.45e+03
231,2.1,2.46e+03
232,2.09,2.46e+03
233,2.1,2.44e+03
234,2.1,2.43e+03
235,2.1,2.41e+03
236,2.1,2.42e+03
237,2.1,2.42e+03
238,2.1,2.42e+03
239,2.1,2.42e+03
240,2.1,2.42e+03
241,2.1,2.42e+03
242,2.1,2.42e+03
243,2.1,2.42e+03
244,2.09,2.42e+03
245,2.11,2.43e+03
246,2.1,2.46e+03
247,2.1,2.48e+03
248,2.1,2.47e+03
249,2.1,2.47e+03
250,2.1,2.47e+03
251,2.1,2.45e+03
252,2.1,2.44e+03
253,2.1,2.46e+03
254,2.1,2.47e+03
255,2.1,2.47e+03
256,2.1,2.47e+03
257,2.1,2.44e+03
258,2.1,2.42e+03
259,2.1,2.42e+03
260,2.09,2.42e+03
261,2.09,2.41e+03
262,2.1,2.41e+03
263,2.1,2.42e+03
264,2.1,2.42e+03
265,2.1,2.42e+03
266,2.1,2.42e+03
267,2.1,2.41e+03
268,2.1,2.42e+03
269,2.1,2.42e+03
270,2.1,2.43e+03
271,2.1,2.44e+03
272,2.1,2.44e+03
273,2.1,2.44e+03
274,2.09,2.43e+03
275,2.1,2.42e+03
276,2.1,2.42e+03
277,2.11,2.42e+03
278,2.1,2.43e+03
279,2.1,2.44e+03
280,2.1,2.44e+03
281,2.1,2.44e+03
282,2.1,2.44e+03
283,2.09,2.44e+03
284,2.1,2.44e+03
285,2.1,2.44e+03
286,2.1,2.44e+03
287,2.1,2.43e+03
288,2.1,2.43e+03
289,2.1,2.44e+03
290,2.1,2.43e+03
291,2.1,2.43e+03
292,2.1,2.43e+03
293,2.1,2.45e+03
294,2.1,2.46e+03
295,2.1,2.45e+03
296,2.1,2.46e+03
297,2.1,2.47e+03
298,2.09,2.47e+03
299,2.1,2.45e+03
300,2.1,2.44e+03
301,2.1,2.45e+03
302,2.1,2.46e+03
303,2.1,2.46e+03
304,2.1,2.45e+03
305,2.1,2.43e+03
306,2.1,2.43e+03
307,2.1,2.43e+03
308,2.1,2.43e+03
309,2.1,2.43e+03
310,2.1,2.44e+03
311,2.1,2.46e+03
312,2.1,2.46e+03
313,2.1,2.47e+03
314,2.1,2.47e+03
315,2.1,2.47e+03
316,2.1,2.46e+03
317,2.1,2.46e+03
318,2.1,2.46e+03
319,2.1,2.45e+03
320,2.1,2.44e+03
321,2.1,2.44e+03
322,2.1,2.44e+03
323,2.1,2.45e+03
324,2.1,2.45e+03
325,2.1,2.45e+03
326,2.1,2.45e+03
327,2.1,2.43e+03
328,2.11,2.43e+03
329,2.1,2.44e+03
330,2.11,2.45e+03
331,2.1,2.45e+03
332,2.09,2.47e+03
333,2.1,2.47e+03
334,2.1,2.47e+03
335,2.1,2.47e+03
336,2.1,2.45e+03
337,2.1,2.43e+03
338,2.1,2.45e+03
339,2.1,2.44e+03
340,2.09,2.44e+03
341,2.1,2.44e+03
342,2.1,2.43e+03
343,2.1,2.43e+03
344,2.09,2.43e+03
345,2.1,2.43e+03
346,2.1,2.43e+03
347,2.09,2.44e+03
348,2.1,2.46e+03
349,2.1,2.46e+03
350,2.1,2.46e+03
351,2.1,2.47e+03
352,2.1,2.47e+03
353,2.1,2.45e+03
354,2.1,2.45e+03
355,2.1,2.45e+03
356,2.1,2.43e+03
357,2.1,2.43e+03
358,2.1,2.44e+03
359,2.1,2.45e+03
360,2.1,2.46e+03
361,2.04,2.47e+03
362,2.05,2.46e+03
363,2.05,2.46e+03
364,2.04,2.44e+03
365,2.03,2.43e+03
366,2.04,2.44e+03
