t,pow,rpm
1,2.06,2.36e+03
2,2.04,2.36e+03
3,2.05,2.36e+03
4,2.05,2.36e+03
5,2.05,2.37e+03
6,2.06,2.37e+03
7,2.06,2.37e+03
8,2.06,2.4e+03
9,2.06,2.41e+03
10,2.06,2.41e+03
11,2.06,2.41e+03
12,2.06,2.41e+03
13,2.06,2.41e+03
14,2.06,2.41e+03
15,2.06,2.42e+03
16,2.06,2.42e+03
17,2.06,2.42e+03
18,2.05,2.42e+03
19,2.05,2.41e+03
20,2.06,2.41e+03
21,2.05,2.42e+03
22,2.05,2.42e+03
23,2.06,2.42e+03
24,2.06,2.42e+03
25,2.06,2.43e+03
26,2.06,2.42e+03
27,2.06,2.42e+03
28,2.06,2.42e+03
29,2.06,2.42e+03
30,2.06,2.42e+03
31,2.06,2.42e+03
32,2.05,2.42e+03
33,2.07,2.42e+03
34,2.06,2.43e+03
35,2.06,2.44e+03
36,2.05,2.42e+03
37,2.06,2.44e+03
38,2.06,2.45e+03
39,2.05,2.45e+03
40,2.06,2.44e+03
41,2.06,2.44e+03
42,2.06,2.44e+03
43,2.06,2.44e+03
44,2.06,2.45e+03
45,2.06,2.46e+03
46,2.06,2.46e+03
47,2.06,2.45e+03
48,2.06,2.45e+03
49,2.05,2.45e+03
50,2.06,2.45e+03
51,2.06,2.45e+03
52,2.06,2.46e+03
53,2.06,2.46e+03
54,2.06,2.48e+03
55,2.06,2.48e+03
56,2.06,2.47e+03
57,2.06,2.47e+03
58,2.06,2.47e+03
59,2.06,2.48e+03
60,2.06,2.48e+03
61,2.06,2.47e+03
62,2.06,2.48e+03
63,2.06,2.47e+03
64,2.07,2.47e+03
65,2.06,2.48e+03
66,2.05,2.47e+03
67,2.06,2.48e+03
68,2.06,2.47e+03
69,2.06,2.46e+03
70,2.06,2.46e+03
71,2.05,2.48e+03
72,2.06,2.48e+03
73,2.06,2.47e+03
74,2.06,2.48e+03
75,2.06,2.48e+03
76,2.05,2.47e+03
77,2.06,2.47e+03
78,2.06,2.47e+03
79,2.06,2.47e+03
80,2.06,2.47e+03
81,2.06,2.47e+03
82,2.06,2.47e+03
83,2.06,2.47e+03
84,2.06,2.47e+03
85,2.05,2.47e+03
86,2.06,2.47e+03
87,2.06,2.48e+03
88,2.06,2.47e+03
89,2.06,2.47e+03
90,2.06,2.47e+03
91,2.06,2.47e+03
92,2.06,2.48e+03
93,2.05,2.48e+03
94,2.06,2.47e+03
95,2.06,2.48e+03
96,2.06,2.48e+03
97,2.06,2.47e+03
98,2.06,2.47e+03
99,2.06,2.47e+03
100,2.06,2.47e+03
101,2.06,2.47e+03
102,2.06,2.48e+03
103,2.07,2.48e+03
104,2.06,2.48e+03
105,2.06,2.48e+03
106,2.06,2.48e+03
107,2.06,2.48e+03
108,2.06,2.48e+03
109,2.06,2.49e+03
110,2.06,2.47e+03
111,2.06,2.49e+03
112,2.06,2.48e+03
113,2.06,2.48e+03
114,2.06,2.48e+03
115,2.05,2.48e+03
116,2.06,2.48e+03
117,2.05,2.48e+03
118,2.06,2.48e+03
119,2.06,2.48e+03
120,2.06,2.48e+03
121,2.06,2.48e+03
122,2.06,2.48e+03
123,2.06,2.47e+03
124,2.06,2.47e+03
125,2.06,2.48e+03
126,2.06,2.48e+03
127,2.06,2.49e+03
128,2.06,2.48e+03
129,2.06,2.48e+03
130,2.06,2.48e+03
131,2.06,2.48e+03
132,2.06,2.48e+03
133,2.06,2.48e+03
134,2.06,2.48e+03
135,2.06,2.49e+03
136,2.06,2.47e+03
137,2.06,2.48e+03
138,2.06,2.49e+03
139,2.06,2.48e+03
140,2.06,2.47e+03
141,2.06,2.47e+03
142,2.06,2.48e+03
143,2.06,2.48e+03
144,2.06,2.47e+03
145,2.06,2.47e+03
146,2.06,2.47e+03
147,2.06,2.48e+03
148,2.06,2.48e+03
149,2.06,2.48e+03
150,2.06,2.48e+03
151,2.07,2.48e+03
152,2.05,2.48e+03
153,2.06,2.47e+03
154,2.06,2.48e+03
155,2.06,2.49e+03
156,2.06,2.47e+03
157,2.06,2.48e+03
158,2.06,2.48e+03
159,2.06,2.48e+03
160,2.06,2.48e+03
161,2.06,2.47e+03
162,2.06,2.47e+03
163,2.06,2.48e+03
164,2.06,2.47e+03
165,2.06,2.48e+03
166,2.05,2.48e+03
167,2.06,2.48e+03
168,2.06,2.48e+03
169,2.06,2.47e+03
170,2.06,2.48e+03
171,2.06,2.49e+03
172,2.06,2.49e+03
173,2.06,2.48e+03
174,2.06,2.47e+03
175,2.06,2.48e+03
176,2.06,2.47e+03
177,2.06,2.48e+03
178,2.06,2.47e+03
179,2.06,2.48e+03
180,2.06,2.48e+03
181,2.06,2.48e+03
182,2.06,2.48e+03
183,2.06,2.48e+03
184,2.06,2.48e+03
185,2.07,2.48e+03
186,2.06,2.48e+03
187,2.06,2.48e+03
188,2.06,2.48e+03
189,2.06,2.48e+03
190,2.05,2.47e+03
191,2.06,2.47e+03
192,2.06,2.49e+03
193,2.06,2.48e+03
194,2.06,2.47e+03
195,2.06,2.48e+03
196,2.06,2.48e+03
197,2.06,2.48e+03
198,2.06,2.47e+03
199,2.06,2.48e+03
200,2.06,2.48e+03
201,2.07,2.47e+03
202,2.06,2.47e+03
203,2.06,2.47e+03
204,2.06,2.47e+03
205,2.06,2.48e+03
206,2.05,2.47e+03
207,2.06,2.48e+03
208,2.06,2.48e+03
209,2.06,2.48e+03
210,2.06,2.47e+03
211,2.06,2.47e+03
212,2.06,2.47e+03
213,2.06,2.47e+03
214,2.06,2.47e+03
215,2.06,2.47e+03
216,2.06,2.47e+03
217,2.06,2.47e+03
218,2.06,2.48e+03
219,2.07,2.47e+03
220,2.06,2.47e+03
221,2.06,2.47e+03
222,2.05,2.47e+03
223,2.06,2.47e+03
224,2.06,2.48e+03
225,2.05,2.47e+03
226,2.06,2.48e+03
227,2.06,2.49e+03
228,2.06,2.48e+03
229,2.06,2.48e+03
230,2.06,2.48e+03
231,2.05,2.48e+03
232,2.06,2.48e+03
233,2.06,2.48e+03
234,2.06,2.47e+03
235,2.06,2.48e+03
236,2.06,2.47e+03
237,2.06,2.47e+03
238,2.06,2.47e+03
239,2.06,2.48e+03
240,2.06,2.48e+03
241,2.06,2.48e+03
242,2.06,2.48e+03
243,2.06,2.47e+03
244,2.06,2.48e+03
245,2.06,2.48e+03
246,2.06,2.47e+03
247,2.06,2.5e+03
248,2.06,2.5e+03
249,2.07,2.49e+03
250,2.06,2.48e+03
251,2.06,2.48e+03
252,2.06,2.49e+03
253,2.06,2.49e+03
254,2.06,2.49e+03
255,2.06,2.47e+03
256,2.07,2.49e+03
257,2.06,2.47e+03
258,2.05,2.48e+03
259,2.06,2.47e+03
260,2.06,2.48e+03
261,2.06,2.47e+03
