t,sim,exp
288,36.7,33.5
289,36.6,33.4
290,35.2,33.5
291,34.9,33.5
292,33.8,33.5
293,33.3,33.5
294,32.9,33.6
295,32.8,33.6
296,32,33.6
297,31.5,33.6
298,31.3,33.6
299,31.5,33.6
300,31.6,33.7
301,31.4,33.6
302,31.2,33.7
303,31.5,33.6
304,31.3,33.6
305,31.1,33.7
306,31.1,33.7
307,31.3,33.6
308,31.2,33.7
309,31.2,33.6
310,31.4,33.6
311,31.6,33.7
312,31.3,33.7
313,31.3,33.6
314,31.3,33.7
315,31.4,33.6
316,31.4,33.6
317,31.3,33.6
318,31.1,33.6
319,31.1,33.6
320,31.3,33.7
321,31.4,33.6
322,31.3,33.7
323,31.2,33.7
324,31.1,33.6
325,31.1,33.6
326,31,33.6
327,31.2,33.6
328,31.3,33.6
329,31.2,33.6
330,31.4,33.6
331,31.6,33.6
332,31.6,33.6
333,31.4,33.6
334,31.8,33.6
335,31.8,33.6
336,31.5,33.6
337,31.4,33.6
338,31.3,33.6
339,31.3,33.6
340,31.1,33.6
341,31.3,33.6
342,31.2,33.6
343,31.2,33.6
344,31.2,33.6
345,31.3,33.6
346,31.3,33.6
347,31.3,33.6
348,31.2,33.6
349,31.4,33.6
350,31.3,33.6
351,31.3,33.6
352,31.4,33.6
353,31.8,33.6
354,31.2,33.6
355,31.2,33.6
356,31.4,33.6
357,31.3,33.6
358,31.2,33.6
359,31.5,33.6
360,31.5,33.6
361,31.4,33.6
362,30.6,33.6
363,30.6,33.6
364,30.8,33.6
365,31,33.6
366,30.8,33.5
367,30.9,33.4
368,30.8,33.4
369,30.7,33.4
370,30.7,33.4
371,30.7,33.3
372,30.8,33.2
373,30.7,33.2
374,30.7,33.2
375,30.7,33.1
376,30.7,33.1
377,30.7,33.1
378,30.8,33.1
379,30.9,33.1
380,30.8,33.1
381,31,33
382,30.8,33
383,30.6,33
384,30.8,33
385,30.7,33
386,30.9,33
387,30.9,33
388,30.8,33
389,30.7,33
