t,pow,rpm
246,3.62,7.32e+03
247,3.63,7.33e+03
248,3.63,7.33e+03
249,3.62,7.33e+03
250,3.62,7.33e+03
251,3.63,7.33e+03
252,3.63,7.33e+03
253,3.62,7.34e+03
254,3.61,7.34e+03
255,3.62,7.33e+03
256,3.62,7.33e+03
257,3.62,7.32e+03
258,3.61,7.31e+03
259,3.62,7.32e+03
260,3.61,7.31e+03
261,3.62,7.31e+03
262,3.62,7.3e+03
263,3.62,7.3e+03
264,3.62,7.3e+03
265,3.62,7.3e+03
266,3.63,7.32e+03
267,3.62,7.32e+03
268,3.62,7.32e+03
269,3.64,7.32e+03
270,3.62,7.33e+03
271,3.63,7.33e+03
272,3.62,7.33e+03
273,3.63,7.32e+03
274,3.62,7.33e+03
275,3.63,7.32e+03
276,3.62,7.32e+03
277,3.62,7.33e+03
278,3.62,7.33e+03
279,3.62,7.32e+03
280,3.62,7.32e+03
281,3.62,7.33e+03
282,3.62,7.33e+03
283,3.62,7.32e+03
284,3.62,7.32e+03
285,3.62,7.33e+03
286,3.62,7.32e+03
287,3.62,7.33e+03
288,3.62,7.33e+03
289,3.63,7.32e+03
290,3.63,7.33e+03
291,3.62,7.33e+03
292,3.63,7.33e+03
293,3.63,7.34e+03
294,3.62,7.34e+03
295,3.62,7.34e+03
296,3.62,7.34e+03
297,3.63,7.34e+03
298,3.62,7.34e+03
299,3.62,7.34e+03
300,3.62,7.33e+03
301,3.63,7.34e+03
302,3.63,7.33e+03
303,3.62,7.33e+03
304,3.62,7.33e+03
305,3.62,7.32e+03
306,3.62,7.32e+03
307,3.62,7.32e+03
308,3.62,7.32e+03
309,3.62,7.32e+03
310,3.63,7.33e+03
311,3.63,7.34e+03
312,3.62,7.34e+03
313,3.62,7.33e+03
314,3.62,7.34e+03
315,3.62,7.34e+03
316,3.62,7.34e+03
317,3.62,7.33e+03
318,3.62,7.33e+03
319,3.62,7.33e+03
320,3.62,7.34e+03
321,3.62,7.33e+03
322,3.62,7.33e+03
323,3.62,7.33e+03
324,3.62,7.33e+03
325,3.63,7.32e+03
326,3.62,7.32e+03
327,3.62,7.33e+03
328,3.62,7.33e+03
329,3.62,7.34e+03
330,3.62,7.34e+03
331,3.62,7.34e+03
332,3.63,7.34e+03
333,3.62,7.34e+03
334,3.62,7.33e+03
335,3.62,7.34e+03
336,3.62,7.34e+03
337,3.62,7.34e+03
338,3.62,7.34e+03
339,3.62,7.34e+03
340,3.62,7.33e+03
341,3.62,7.32e+03
342,3.63,7.32e+03
343,3.62,7.32e+03
344,3.62,7.32e+03
345,3.62,7.33e+03
346,3.62,7.33e+03
347,3.61,7.33e+03
348,3.62,7.33e+03
349,3.63,7.33e+03
350,3.62,7.34e+03
351,3.63,7.34e+03
352,3.63,7.34e+03
353,3.63,7.34e+03
354,3.63,7.34e+03
355,3.63,7.34e+03
356,3.63,7.33e+03
357,3.63,7.33e+03
358,3.63,7.34e+03
359,3.63,7.34e+03
360,3.62,7.34e+03
361,3.62,7.34e+03
362,3.62,7.33e+03
363,3.62,7.33e+03
364,3.62,7.34e+03
365,3.62,7.34e+03
366,3.62,7.34e+03
367,3.62,7.33e+03
368,3.62,7.33e+03
369,3.62,7.33e+03
370,3.62,7.34e+03
371,3.62,7.33e+03
372,3.62,7.34e+03
373,3.62,7.33e+03
374,3.62,7.33e+03
375,3.62,7.33e+03
376,3.62,7.33e+03
377,3.62,7.33e+03
378,3.62,7.33e+03
379,3.62,7.34e+03
380,3.62,7.33e+03
381,3.63,7.34e+03
382,3.63,7.34e+03
383,3.62,7.33e+03
384,3.62,7.33e+03
385,3.62,7.33e+03
386,3.62,7.33e+03
387,3.64,7.34e+03
388,3.63,7.34e+03
389,3.62,7.34e+03
390,3.61,7.34e+03
391,3.62,7.34e+03
392,3.62,7.33e+03
393,3.62,7.33e+03
394,3.62,7.33e+03
395,3.62,7.32e+03
396,3.62,7.32e+03
397,3.62,7.32e+03
398,3.62,7.33e+03
399,3.62,7.32e+03
400,3.62,7.32e+03
401,3.63,7.32e+03
402,3.62,7.32e+03
403,3.62,7.33e+03
404,3.63,7.34e+03
405,3.63,7.33e+03
406,3.62,7.33e+03
407,3.62,7.33e+03
408,3.62,7.33e+03
409,3.63,7.34e+03
410,3.62,7.34e+03
411,3.62,7.33e+03
412,3.62,7.34e+03
413,3.63,7.33e+03
414,3.61,7.33e+03
415,3.62,7.33e+03
416,3.63,7.33e+03
417,3.62,7.33e+03
418,3.64,7.33e+03
419,3.62,7.33e+03
420,3.64,7.32e+03
421,3.62,7.32e+03
422,3.62,7.32e+03
423,3.63,7.32e+03
424,3.62,7.32e+03
425,3.62,7.33e+03
426,3.63,7.34e+03
427,3.63,7.34e+03
428,3.62,7.34e+03
429,3.64,7.33e+03
430,3.63,7.34e+03
431,3.62,7.34e+03
432,3.63,7.34e+03
433,3.62,7.34e+03
434,3.62,7.33e+03
435,3.62,7.33e+03
436,3.62,7.32e+03
437,3.63,7.32e+03
438,3.62,7.33e+03
439,3.63,7.32e+03
440,3.62,7.32e+03
441,3.62,7.32e+03
442,3.62,7.32e+03
443,3.62,7.32e+03
444,3.62,7.32e+03
445,3.63,7.33e+03
446,3.63,7.34e+03
447,3.62,7.33e+03
448,3.63,7.33e+03
449,3.62,7.33e+03
450,3.63,7.33e+03
451,3.62,7.33e+03
452,3.63,7.34e+03
453,3.63,7.33e+03
454,3.63,7.33e+03
455,3.63,7.33e+03
456,3.62,7.32e+03
457,3.62,7.33e+03
458,3.62,7.32e+03
459,3.62,7.33e+03
460,3.62,7.33e+03
461,3.62,7.33e+03
462,3.61,7.33e+03
463,3.61,7.32e+03
464,3.63,7.32e+03
465,3.62,7.33e+03
466,3.63,7.33e+03
467,3.63,7.33e+03
468,3.63,7.33e+03
469,3.62,7.33e+03
470,3.63,7.34e+03
471,3.63,7.34e+03
472,3.63,7.34e+03
473,3.63,7.34e+03
474,3.63,7.34e+03
475,3.62,7.34e+03
476,3.63,7.34e+03
477,3.62,7.34e+03
478,3.62,7.33e+03
479,3.62,7.34e+03
480,3.62,7.33e+03
481,3.61,7.32e+03
482,3.62,7.33e+03
483,3.62,7.32e+03
484,3.61,7.32e+03
485,3.62,7.32e+03
486,3.62,7.32e+03
487,3.62,7.32e+03
488,3.62,7.31e+03
489,3.64,7.32e+03
490,3.62,7.33e+03
491,3.62,7.33e+03
492,3.63,7.33e+03
493,3.63,7.33e+03
494,3.64,7.33e+03
495,3.63,7.33e+03
496,3.62,7.33e+03
497,3.62,7.34e+03
498,3.62,7.34e+03
499,3.62,7.33e+03
500,3.62,7.33e+03
501,3.62,7.32e+03
502,3.62,7.32e+03
503,3.62,7.32e+03
504,3.63,7.32e+03
505,3.62,7.32e+03
506,3.62,7.31e+03
507,3.62,7.32e+03
508,3.62,7.33e+03
509,3.62,7.33e+03
510,3.62,7.33e+03
511,3.62,7.34e+03
512,3.62,7.34e+03
513,3.62,7.34e+03
514,3.62,7.34e+03
515,3.62,7.33e+03
516,3.62,7.33e+03
517,3.62,7.33e+03
518,3.62,7.32e+03
519,3.62,7.33e+03
520,3.62,7.33e+03
521,3.63,7.34e+03
522,3.63,7.34e+03
523,3.62,7.33e+03
524,3.63,7.33e+03
525,3.63,7.34e+03
526,3.63,7.33e+03
527,3.62,7.33e+03
528,3.62,7.32e+03
529,3.62,7.32e+03
530,3.63,7.32e+03
531,3.62,7.32e+03
532,3.62,7.32e+03
533,3.62,7.32e+03
534,3.62,7.32e+03
535,3.62,7.32e+03
536,3.62,7.31e+03
537,3.62,7.32e+03
538,3.61,7.34e+03
539,3.63,7.33e+03
540,3.63,7.33e+03
541,3.62,7.34e+03
542,3.62,7.33e+03
543,3.63,7.34e+03
544,3.62,7.34e+03
545,3.63,7.33e+03
546,3.62,7.33e+03
547,3.62,7.32e+03
548,3.62,7.32e+03
549,3.62,7.33e+03
550,3.63,7.33e+03
551,3.63,7.32e+03
552,3.62,7.32e+03
553,3.62,7.32e+03
554,3.62,7.32e+03
555,3.62,7.32e+03
556,3.62,7.32e+03
557,3.62,7.33e+03
558,3.63,7.34e+03
559,3.63,7.34e+03
560,3.62,7.33e+03
561,3.62,7.33e+03
562,3.62,7.33e+03
563,3.62,7.34e+03
564,3.62,7.33e+03
565,3.62,7.34e+03
566,3.63,7.33e+03
567,3.63,7.33e+03
568,3.61,7.33e+03
569,3.62,7.33e+03
570,3.62,7.32e+03
571,3.63,7.32e+03
572,3.62,7.32e+03
573,3.62,7.32e+03
574,3.62,7.32e+03
575,3.62,7.31e+03
576,3.62,7.31e+03
577,3.63,7.32e+03
578,3.62,7.33e+03
579,3.63,7.33e+03
580,3.63,7.33e+03
581,3.62,7.34e+03
582,3.62,7.34e+03
583,3.62,7.33e+03
584,3.63,7.33e+03
585,3.62,7.33e+03
586,3.62,7.32e+03
587,3.63,7.32e+03
588,3.63,7.33e+03
589,3.62,7.34e+03
590,3.63,7.34e+03
591,3.62,7.34e+03
592,3.62,7.33e+03
593,3.62,7.34e+03
594,3.62,7.34e+03
595,3.62,7.34e+03
596,3.62,7.33e+03
597,3.61,7.33e+03
598,3.62,7.33e+03
599,3.62,7.33e+03
600,3.61,7.33e+03
601,3.61,7.32e+03
602,3.62,7.32e+03
603,3.62,7.32e+03
604,3.61,7.31e+03
605,3.61,7.31e+03
606,3.61,7.32e+03
607,3.63,7.33e+03
608,3.61,7.33e+03
609,3.61,7.34e+03
610,3.62,7.33e+03
611,3.62,7.33e+03
612,3.61,7.34e+03
613,3.62,7.33e+03
614,3.61,7.33e+03
615,3.61,7.33e+03
616,3.62,7.33e+03
617,3.62,7.33e+03
618,3.62,7.34e+03
619,3.61,7.34e+03
620,3.62,7.33e+03
621,3.62,7.33e+03
622,3.62,7.34e+03
623,3.62,7.33e+03
624,3.63,7.34e+03
625,3.64,7.33e+03
626,3.63,7.32e+03
627,3.63,7.32e+03
628,3.63,7.33e+03
629,3.63,7.32e+03
630,3.63,7.32e+03
631,3.62,7.31e+03
632,3.62,7.32e+03
633,3.62,7.32e+03
634,3.63,7.32e+03
635,3.61,7.32e+03
636,3.62,7.32e+03
637,3.62,7.33e+03
638,3.61,7.34e+03
639,3.63,7.33e+03
640,3.62,7.33e+03
641,3.62,7.33e+03
642,3.62,7.33e+03
643,3.62,7.34e+03
644,3.63,7.33e+03
645,3.62,7.33e+03
646,3.62,7.32e+03
647,3.61,7.32e+03
648,3.62,7.32e+03
649,3.62,7.32e+03
650,3.62,7.31e+03
651,3.62,7.31e+03
652,3.62,7.31e+03
653,3.62,7.32e+03
654,3.62,7.32e+03
655,3.62,7.32e+03
656,3.63,7.33e+03
657,3.62,7.33e+03
658,3.62,7.34e+03
659,3.63,7.33e+03
660,3.62,7.33e+03
661,3.62,7.33e+03
662,3.62,7.33e+03
663,3.63,7.32e+03
664,3.62,7.33e+03
665,3.62,7.34e+03
666,3.63,7.33e+03
667,3.62,7.34e+03
668,3.62,7.33e+03
669,3.62,7.33e+03
670,3.62,7.33e+03
671,3.62,7.32e+03
672,3.63,7.32e+03
673,3.62,7.32e+03
674,3.63,7.32e+03
675,3.62,7.32e+03
676,3.62,7.32e+03
677,3.62,7.31e+03
678,3.62,7.32e+03
679,3.62,7.32e+03
680,3.62,7.32e+03
681,3.62,7.33e+03
682,3.63,7.33e+03
683,3.63,7.33e+03
684,3.62,7.34e+03
685,3.63,7.34e+03
686,3.63,7.34e+03
687,3.62,7.33e+03
688,3.62,7.33e+03
689,3.62,7.33e+03
690,3.62,7.33e+03
691,3.63,7.33e+03
692,3.62,7.34e+03
693,3.63,7.33e+03
694,3.62,7.33e+03
695,3.62,7.34e+03
696,3.62,7.33e+03
697,3.62,7.33e+03
698,3.62,7.33e+03
699,3.62,7.32e+03
700,3.62,7.32e+03
701,3.62,7.31e+03
702,3.62,7.32e+03
703,3.62,7.31e+03
704,3.63,7.31e+03
705,3.63,7.32e+03
706,3.62,7.32e+03
707,3.63,7.32e+03
708,3.62,7.34e+03
709,3.63,7.34e+03
710,3.62,7.33e+03
711,3.62,7.33e+03
712,3.62,7.33e+03
713,3.62,7.33e+03
714,3.63,7.32e+03
715,3.62,7.32e+03
716,3.62,7.33e+03
717,3.62,7.32e+03
718,3.62,7.32e+03
719,3.63,7.32e+03
720,3.62,7.32e+03
721,3.62,7.32e+03
722,3.62,7.32e+03
723,3.62,7.32e+03
724,3.63,7.32e+03
725,3.63,7.32e+03
726,3.62,7.32e+03
727,3.63,7.33e+03
728,3.63,7.33e+03
729,3.62,7.33e+03
730,3.63,7.33e+03
731,3.63,7.32e+03
732,3.62,7.33e+03
733,3.62,7.32e+03
734,3.61,7.32e+03
735,3.62,7.31e+03
736,3.62,7.31e+03
737,3.62,7.31e+03
738,3.62,7.31e+03
