t,sim,exp
320,1.15,1.04
321,1.14,1.04
322,1.14,1.04
323,1.15,1.03
324,1.15,1.03
325,1.15,1.04
326,1.15,1.03
327,1.13,1.04
328,1.15,1.04
329,1.14,1.04
330,1.15,1.04
331,1.13,1.04
332,1.14,1.04
333,1.14,1.04
334,1.14,1.04
335,1.14,1.04
336,1.15,1.04
337,1.14,1.04
338,1.14,1.04
339,1.14,1.04
340,1.15,1.04
341,1.13,1.04
342,1.13,1.04
343,1.15,1.04
344,1.14,1.04
345,1.13,1.04
346,1.14,1.04
347,1.12,1.04
348,1.14,1.04
349,1.15,1.04
350,1.14,1.04
351,1.15,1.04
352,1.13,1.04
353,1.15,1.04
354,1.15,1.04
355,1.14,1.04
356,1.14,1.04
357,1.15,1.04
358,1.14,1.04
359,1.14,1.04
360,1.15,1.04
361,1.13,0.974
362,1.13,1.01
363,1.12,1.01
364,1.14,1.01
365,1.14,1.01
366,1.13,1.01
367,1.13,1
368,1.13,1.01
369,1.15,1
370,1.13,1.01
371,1.14,1.01
372,1.14,1.01
373,1.13,1.01
374,1.12,1.01
375,1.14,1.01
376,1.14,1.01
377,1.14,1
378,1.13,1.01
379,1.14,1.01
380,1.14,1.01
381,1.14,1.01
382,1.14,1.01
383,1.14,1.01
384,1.13,1.01
385,1.14,1.01
386,1.14,1.01
387,1.14,1.01
388,1.12,1
389,1.13,1.01
390,1.13,1.01
391,1.14,1.01
392,1.14,1.01
393,1.13,1.01
394,1.14,1.01
395,1.13,1.01
396,1.14,1.01
397,1.14,1.01
398,1.13,1
399,1.13,1
400,1.13,1.01
401,1.13,1.01
402,1.13,1.01
403,1.14,1.01
404,1.14,1.01
405,1.14,1.01
406,1.13,1.01
407,1.14,1.01
408,1.13,1.01
409,1.14,1.01
410,1.13,1.01
411,1.13,1
412,1.14,1.01
413,1.13,1.01
414,1.14,1.01
415,1.14,1.01
416,1.14,1.01
417,1.13,1.01
418,1.14,1
419,1.13,1.01
420,1.14,1
421,1.14,1.01
422,1.13,1
423,1.13,1
424,1.14,1.01
425,1.14,1.01
426,1.13,1.01
427,1.14,1.01
428,1.14,1
429,1.13,1.01
430,1.13,1.01
431,1.14,1.01
432,1.14,1.01
433,1.13,1.01
434,1.13,1.01
435,1.14,1.01
436,1.15,1.01
437,1.14,1.01
438,1.14,1.01
439,1.13,1.01
440,1.13,1
441,1.13,1.01
442,1.14,1.01
443,1.14,1
444,1.14,1.01
445,1.14,1.01
446,1.14,1.01
447,1.14,1.01
448,1.13,1.01
449,1.14,1.01
450,1.13,1.01
451,1.14,1.01
452,1.14,1.01
453,1.13,1.01
454,1.14,1
455,1.13,1.01
456,1.13,1.01
457,1.14,1.01
458,1.14,1.01
459,1.14,1
460,1.14,1.01
461,1.13,1.01
462,1.13,1.01
463,1.14,1.01
464,1.14,1.01
465,1.14,1.01
466,1.13,1.01
467,1.14,1.01
468,1.14,1.01
469,1.13,1.01
470,1.13,1.01
471,1.14,1.01
472,1.13,1.01
473,1.13,1.01
474,1.14,1.01
475,1.14,1.01
476,1.14,1.01
477,1.13,1.01
478,1.14,1.01
479,1.14,1.01
480,1.14,1.01
481,1.13,1.01
482,1.14,1.01
483,1.13,1.01
484,1.15,1
485,1.15,1.01
486,1.14,1.01
487,1.15,1.01
488,1.14,1
489,1.15,1.01
490,1.14,1.01
491,1.14,1.01
492,1.13,1.01
493,1.13,1.01
494,1.14,1.01
495,1.13,1.01
496,1.13,1.01
497,1.14,1.01
498,1.14,1.01
499,1.13,1.01
500,1.13,1.01
501,1.14,1.01
502,1.13,1.01
503,1.14,1.01
504,1.14,1
505,1.13,1.01
506,1.13,1.01
507,1.14,1.01
508,1.14,1.01
509,1.14,1.01
510,1.14,1
511,1.13,1.01
512,1.14,1.01
513,1.13,1.01
514,1.14,1.01
515,1.15,1.01
516,1.14,1.01
517,1.13,1.01
518,1.13,1.01
519,1.14,1.01
520,1.13,1
521,1.13,1.01
522,1.13,1.01
523,1.13,1.01
524,1.14,1.01
525,1.14,1.01
526,1.14,1.01
527,1.14,1
528,1.13,1
529,1.13,1.01
530,1.14,1.01
531,1.14,1.01
532,1.15,1.01
533,1.14,1.01
534,1.13,1.01
535,1.14,1.01
536,1.14,1.01
537,1.14,1.01
538,1.13,1.01
539,1.14,1.01
540,1.14,1.01
541,1.14,1.01
542,1.13,1.01
543,1.14,1.01
544,1.14,1.01
545,1.14,1.01
546,1.14,1.01
547,1.14,1.01
548,1.14,1.01
549,1.14,1.01
550,1.13,1.01
551,1.14,1.01
552,1.14,1
553,1.15,1.01
554,1.13,1.01
555,1.12,1.01
556,1.13,1.01
557,1.13,1.01
558,1.13,1.01
559,1.13,1.01
560,1.14,1.01
561,1.14,1.01
562,1.13,1.01
563,1.13,1.01
564,1.14,1.01
565,1.13,1.01
