time,CRAC01_T_in,CRAC01_T_out,CRAC02_T_in,CRAC02_T_out,CRAC03_T_in,CRAC03_T_out,CRAC04_T_in,CRAC04_T_out,P02R01_T_in_b,P02R01_T_in_m,P02R01_T_in_t,P02R01_T_out_b,P02R01_T_out_m,P02R01_T_out_t,P02R02_T_in_b,P02R02_T_in_m,P02R02_T_in_t,P02R02_T_out_b,P02R02_T_out_m,P02R02_T_out_t,P02R03_T_in_b,P02R03_T_in_m,P02R03_T_in_t,P02R03_T_out_b,P02R03_T_out_m,P02R03_T_out_t,P02R04_T_in_b,P02R04_T_in_m,P02R04_T_in_t,P02R04_T_out_b,P02R04_T_out_m,P02R04_T_out_t,P02R05_T_in_b,P02R05_T_in_m,P02R05_T_in_t,P02R05_T_out_b,P02R05_T_out_m,P02R05_T_out_t,P02R06_T_in_b,P02R06_T_in_m,P02R06_T_in_t,P02R06_T_out_b,P02R06_T_out_m,P02R06_T_out_t,P02R07_T_in_b,P02R07_T_in_m,P02R07_T_in_t,P02R07_T_out_b,P02R07_T_out_m,P02R07_T_out_t,P02R08_T_in_b,P02R08_T_in_m,P02R08_T_in_t,P02R08_T_out_b,P02R08_T_out_m,P02R08_T_out_t,P02R09_T_in_b,P02R09_T_in_m,P02R09_T_in_t,P02R09_T_out_b,P02R09_T_out_m,P02R09_T_out_t,P02R10_T_in_b,P02R10_T_in_m,P02R10_T_in_t,P02R10_T_out_b,P02R10_T_out_m,P02R10_T_out_t
1516695000,36.9319,20.722,35.1257,21.2129,35.9266,20.2696,36.4229,20.0173,20.8012,23.0514,34.5276,37.8914,38.4131,49.3791,21.6825,20.7361,27.9289,43.6569,42.911,47.9553,22.1596,21.2847,26.9089,45.1244,43.3894,47.6193,21.9735,21.3795,23.8391,36.4187,34.6268,36.5513,21.9682,22.9297,29.1431,32.9443,32.3033,37.6388,22.1099,22.1243,30.6544,33.9609,33.7243,40.5337,21.6587,20.3073,29.5421,32.5363,30.6055,37.9393,22.3495,20.7141,27.5513,34.7727,34.3123,37.6452,23.6639,20.5091,26.9168,35.8844,34.9586,37.401,23.2383,21.1372,29.3592,34.6223,35.6967,37.7504
1516695060,37.0632,20.8271,35.2863,21.2189,35.9761,20.3861,36.6133,20.0378,20.9236,23.1589,34.3136,38.0295,38.5152,49.2978,21.7871,20.84,27.6739,43.7412,43.0673,47.7464,22.205,21.349,27.07,45.1663,43.4638,47.7062,21.9872,21.3892,23.9611,36.4807,34.6668,36.7147,21.9976,23.1026,29.0469,32.9958,32.4446,37.6561,22.1854,22.2182,30.9725,34.0144,33.8012,40.6925,21.7704,20.4394,29.6077,32.6413,30.7588,37.8968,22.5972,20.8913,28.0528,34.9804,34.1735,37.6863,23.5282,20.6449,27.1379,35.8668,35.1017,37.6886,23.4951,21.3908,29.441,34.9452,35.9837,38.0839
1516695120,37.0545,20.8291,35.3803,21.2167,35.9459,20.388,36.5356,20.0313,20.9263,23.1386,33.8448,38.0254,38.5376,48.8733,21.8228,20.8441,27.2079,43.6792,43.0159,47.4785,22.1157,21.3415,27.0843,45.1075,43.4479,47.6815,22.0021,21.3914,23.9289,36.5162,34.6671,36.669,22.0376,23.3076,29.1564,33.0836,32.6251,37.7606,22.1718,22.1341,31.056,34.0321,33.7489,40.9403,21.7978,20.5185,29.6534,32.6919,30.8054,38.1544,22.4509,20.866,27.7984,34.842,34.4595,37.8219,23.7784,20.5875,26.8272,35.959,35.0447,37.4307,23.3373,21.1868,28.9161,34.9087,36.0099,37.9613
1516695180,37.2011,20.8338,35.3646,21.2203,36.0968,20.3874,36.6642,20.0643,20.9328,23.1714,34.0609,38.0489,38.5431,49.1453,21.8263,20.8587,28.2399,43.8742,43.0685,48.2651,22.1688,21.3579,27.3117,45.1761,43.4775,47.9983,21.9932,21.3891,24.2669,36.4924,34.6601,36.9908,22.0341,22.9488,29.7222,33.0207,32.34,38.3287,22.1887,22.4005,31.1525,34.0152,33.9375,41.0238,21.806,20.5944,29.9873,32.6815,30.8904,38.3879,22.4111,20.9311,28.437,34.889,34.5281,38.1201,23.7865,20.7419,27.7147,35.9597,34.986,37.6802,23.4668,21.4189,29.6254,35.0291,35.8606,37.99
1516695240,37.1701,20.8329,35.2562,21.3155,36.0659,20.3966,36.5843,20.1267,20.913,23.1917,34.2687,37.9943,38.5615,49.3584,21.8365,20.8512,27.662,43.7484,43.0399,47.7093,22.2737,21.422,27.0465,45.1952,43.5238,47.7826,22.0782,21.4937,23.9851,36.58,34.7863,36.78,22.0954,22.9316,29.6129,33.1069,32.3627,38.1762,22.212,22.5203,31.3317,34.0668,34.0595,41.1449,21.7985,20.5476,29.5789,32.6564,30.8984,38.1277,22.5791,20.9246,28.2307,35.0315,34.5165,38.0113,23.593,20.6593,27.0714,35.8742,35.0168,37.546,23.4075,21.3153,29.1637,34.8494,35.7769,38.0356
1516695300,37.1107,20.8407,35.3782,21.3192,36.1489,20.3951,36.6368,20.0837,20.937,23.2104,34.8135,38.103,38.6088,49.6161,21.8275,20.8505,27.6883,43.7417,43.0648,47.8562,22.2451,21.4199,27.3146,45.2287,43.5179,47.8912,22.0883,21.4982,23.8995,36.6044,34.7855,36.7121,22.1055,23.1097,29.4821,33.1354,32.5164,38.0729,22.2013,22.4003,31.5886,34.0399,33.9548,41.3959,21.7988,20.648,30.4656,32.6945,30.9612,38.7893,22.6282,20.9363,28.012,35.0796,34.3585,37.8451,23.2498,20.6032,27.0841,35.9077,35.1666,37.6407,23.5372,21.2867,29.4504,34.8706,36.0041,38.2554
1516695360,37.0182,20.9035,35.3043,21.3169,36.0695,20.4514,36.5664,20.057,20.9666,23.2039,33.7766,38.0075,38.5604,48.8563,21.9014,20.9093,27.4286,43.6885,43.1172,47.5422,22.2136,21.4457,26.8337,45.1842,43.536,47.4989,22.0857,21.4967,24.1539,36.5463,34.7433,36.8581,22.0762,22.9187,29.7555,33.0847,32.3542,38.3267,22.2424,22.1959,31.3189,34.066,33.7669,41.1274,21.8715,20.4655,29.5509,32.725,30.7648,37.9412,22.5587,20.8453,27.7957,34.9931,34.3688,37.8448,23.5978,20.5398,27.3789,35.9025,35.0406,37.5708,23.4459,21.2052,29.6157,34.8848,35.9374,38.1031
1516695420,36.9741,20.8923,35.2626,21.4174,35.9553,20.4467,36.4773,20.0748,21.0077,23.0847,33.6712,38.0891,38.4431,48.8736,21.9113,20.9123,26.8565,43.7835,43.085,47.1095,22.3807,21.4806,26.8314,45.2682,43.5704,47.459,22.1807,21.6023,23.8292,36.6537,34.849,36.5895,22.1787,23.1451,29.5746,33.1932,32.5478,38.1401,22.2192,22.1426,31.2065,34.046,33.7177,40.9752,21.8575,20.4672,29.4131,32.6992,30.7303,37.795,22.5346,20.9048,27.7693,34.98,34.7007,37.6807,23.6116,20.6326,26.8956,35.9894,35.071,37.4815,23.3487,21.1876,28.3209,34.9761,35.9064,37.876
1516695480,36.9795,20.8974,35.3706,21.4221,36.1314,20.4859,36.3972,20.2205,20.9925,23.1188,33.8867,38.0208,38.4648,49.0397,21.9334,20.9124,27.0447,43.7381,43.0985,47.308,22.3665,21.5061,26.8314,45.2892,43.6097,47.5261,22.183,21.6054,23.9123,36.6686,34.87,36.6854,22.1863,23.245,29.2839,33.2038,32.597,37.9315,22.2861,22.4576,31.2415,34.1327,34.0127,40.9962,21.8862,20.5832,29.8519,32.741,30.8838,38.1466,22.6307,21.0175,27.7286,35.0492,34.4821,37.9144,23.618,20.7138,27.0643,35.9065,34.9886,37.4906,23.3962,21.2676,29.2056,34.7189,35.6965,37.8391
1516695540,36.8433,20.9913,35.156,21.4191,36.1025,20.4468,36.4122,20.1396,21.104,23.1916,34.5031,38.2271,38.5531,49.4105,22.1071,20.9963,26.2376,43.957,43.1299,46.6984,22.306,21.5065,26.5679,45.2647,43.6072,47.1951,22.1699,21.6053,23.7794,36.6249,34.869,36.5555,22.1479,22.826,29.425,33.1247,32.2649,37.9119,22.2268,22.2492,31.1433,34.0544,33.8149,40.9334,21.8597,20.4792,29.2895,32.7118,30.7641,37.6864,22.7082,20.8901,27.7769,35.0047,34.5941,37.8319,23.3092,20.6413,26.8161,35.8564,34.9785,37.3761,23.2132,21.3237,28.9185,34.9378,35.73,37.8129
