t,sim,exp
335,1.93,1.99
336,1.92,1.98
337,1.91,2
338,1.93,1.99
339,1.91,1.99
340,1.92,2
341,1.92,2
342,1.93,2.01
343,1.93,2
344,1.92,1.98
345,1.9,2.01
346,1.94,1.99
347,1.91,2
348,1.92,2
349,1.93,1.99
350,1.92,2.01
351,1.93,1.99
352,1.92,2
353,1.93,1.99
354,1.92,1.99
355,1.91,2.01
356,1.93,2.01
357,1.94,2.01
358,1.94,1.99
359,1.92,1.99
360,1.92,1.99
361,1.91,1.99
362,1.92,1.98
363,1.91,2
364,1.93,2
365,1.93,1.99
366,1.91,1.99
367,1.92,1.99
368,1.91,2.01
369,1.93,2.01
370,1.93,1.99
371,1.92,1.99
372,1.92,2
373,1.92,2
374,1.93,2
375,1.93,2
376,1.93,2.01
377,1.93,1.99
378,1.91,2
379,1.92,2.02
380,1.94,1.99
381,1.92,2
382,1.92,2
383,1.93,2
384,1.92,2.01
385,1.93,2.01
386,1.93,2
387,1.92,1.98
388,1.9,1.98
389,1.91,1.99
390,1.91,2
391,1.93,2
392,1.93,2
393,1.93,2
394,1.93,2.01
395,1.93,1.99
396,1.91,2
397,1.92,2
398,1.92,2
399,1.93,2.01
400,1.93,1.99
401,1.91,2.01
402,1.93,2
403,1.93,2.01
404,1.94,2.02
405,1.94,1.99
406,1.92,1.99
407,1.92,1.99
408,1.92,2
409,1.93,1.99
410,1.92,2
411,1.92,2
412,1.93,1.99
413,1.92,2.01
414,1.93,2.01
415,1.94,2.01
416,1.93,1.98
417,1.91,1.99
418,1.92,1.99
419,1.92,1.99
420,1.91,2.01
421,1.93,2
422,1.93,1.99
423,1.92,2.02
424,1.95,2
425,1.92,1.99
426,1.92,2.01
427,1.93,1.99
428,1.92,2.01
429,1.93,1.99
430,1.92,2
431,1.92,2
432,1.92,1.99
433,1.91,1.99
434,1.92,2.01
435,1.93,2.01
436,1.94,2
437,1.93,2
438,1.93,2
439,1.93,2.01
440,1.93,1.99
441,1.92,2
442,1.93,2.01
443,1.93,2
444,1.93,2.01
445,1.94,2
446,1.92,2.01
447,1.94,2
448,1.93,2
449,1.93,1.99
450,1.92,2
451,1.92,1.99
452,1.92,1.99
453,1.92,2
454,1.92,2
455,1.93,1.99
456,1.92,2
457,1.93,2
458,1.93,2.01
459,1.94,2.02
460,1.94,2
461,1.93,1.99
462,1.92,2
463,1.93,2
464,1.93,1.99
465,1.92,2.01
466,1.94,2
467,1.92,2.01
468,1.94,1.99
469,1.92,1.98
470,1.91,1.99
471,1.92,2
472,1.92,2
473,1.92,1.99
474,1.92,1.99
475,1.92,1.99
476,1.92,1.99
477,1.92,1.98
478,1.91,1.99
479,1.92,2.01
480,1.93,1.99
481,1.92,2.01
482,1.93,2
483,1.92,2.01
484,1.94,2.03
485,1.95,2.01
486,1.93,2.03
487,1.95,1.99
488,1.92,2.02
489,1.95,2.02
490,1.94,2.01
491,1.94,1.99
492,1.92,2
493,1.93,2
494,1.93,2
495,1.92,1.99
496,1.92,2
497,1.93,2
498,1.93,2
499,1.92,1.99
500,1.91,2
501,1.93,1.99
502,1.91,2
503,1.93,2.01
504,1.94,1.99
505,1.92,2
506,1.92,2.01
507,1.94,2
508,1.93,1.99
509,1.92,2.01
510,1.93,2
511,1.92,2
512,1.93,1.97
513,1.9,2
514,1.92,2.01
515,1.93,2.01
516,1.93,1.98
517,1.91,1.99
518,1.91,2
519,1.93,1.99
520,1.92,2
521,1.92,1.99
522,1.92,1.99
523,1.91,2.02
524,1.94,2.01
525,1.93,1.99
526,1.91,1.99
