t,sim,exp
320,0.886,0.853
321,0.882,0.859
322,0.889,0.848
323,0.875,0.875
324,0.9,0.881
325,0.908,0.871
326,0.898,0.868
327,0.895,0.856
328,0.885,0.866
329,0.896,0.87
330,0.898,0.868
331,0.897,0.882
332,0.908,0.886
333,0.912,0.889
334,0.917,0.87
335,0.898,0.871
336,0.898,0.866
337,0.898,0.88
338,0.91,0.871
339,0.901,0.882
340,0.908,0.883
341,0.908,0.873
342,0.897,0.874
343,0.902,0.863
344,0.892,0.871
345,0.897,0.883
346,0.908,0.88
347,0.91,0.872
348,0.899,0.866
349,0.896,0.869
350,0.896,0.877
351,0.906,0.875
352,0.905,0.875
353,0.905,0.865
354,0.892,0.873
355,0.901,0.871
356,0.902,0.862
357,0.894,0.864
358,0.894,0.871
359,0.9,0.871
360,0.902,0.883
361,0.912,0.883
362,0.912,0.876
363,0.908,0.872
364,0.9,0.867
365,0.899,0.866
366,0.897,0.856
367,0.885,0.863
368,0.893,0.863
369,0.891,0.871
370,0.897,0.868
371,0.895,0.855
372,0.883,0.867
373,0.898,0.86
374,0.887,0.86
375,0.887,0.853
376,0.881,0.854
377,0.883,0.858
378,0.888,0.864
379,0.891,0.867
380,0.895,0.865
381,0.895,0.866
382,0.894,0.872
383,0.899,0.885
384,0.913,0.875
385,0.903,0.86
386,0.889,0.864
387,0.891,0.878
388,0.902,0.877
389,0.906,0.879
390,0.906,0.883
391,0.911,0.879
392,0.909,0.856
393,0.886,0.858
394,0.884,0.873
395,0.899,0.857
396,0.882,0.858
397,0.889,0.86
398,0.886,0.868
399,0.897,0.858
400,0.888,0.859
401,0.887,0.851
402,0.882,0.859
403,0.888,0.878
404,0.901,0.879
405,0.907,0.884
406,0.912,0.877
407,0.904,0.86
408,0.89,0.86
409,0.891,0.866
410,0.896,0.867
411,0.898,0.867
412,0.897,0.875
413,0.904,0.868
414,0.896,0.873
415,0.901,0.87
416,0.897,0.867
417,0.896,0.856
418,0.888,0.848
419,0.875,0.856
420,0.883,0.853
421,0.881,0.863
422,0.893,0.866
423,0.895,0.868
424,0.897,0.863
425,0.894,0.862
426,0.89,0.864
427,0.893,0.863
428,0.891,0.855
