t,sim,exp
1,0.205,0.356
2,0.334,0.356
3,0.343,0.357
4,0.344,0.357
5,0.344,0.356
6,0.343,0.357
7,0.344,0.358
8,0.345,0.358
9,0.344,0.358
10,0.346,0.359
11,0.345,0.359
12,0.346,0.359
13,0.346,0.359
14,0.349,0.36
15,0.345,0.36
16,0.346,0.36
17,0.347,0.36
18,0.348,0.36
19,0.346,0.361
20,0.347,0.361
21,0.346,0.361
22,0.347,0.361
23,0.349,0.361
24,0.347,0.361
25,0.346,0.36
26,0.346,0.36
27,0.345,0.36
28,0.348,0.36
29,0.347,0.361
30,0.348,0.361
31,0.348,0.361
32,0.347,0.361
33,0.347,0.361
34,0.348,0.361
35,0.347,0.361
36,0.347,0.361
37,0.348,0.362
38,0.346,0.362
39,0.349,0.362
40,0.347,0.362
41,0.346,0.362
42,0.346,0.362
43,0.344,0.361
44,0.346,0.361
45,0.345,0.361
46,0.344,0.361
47,0.343,0.361
48,0.343,0.361
49,0.341,0.361
50,0.341,0.361
51,0.343,0.36
52,0.341,0.36
53,0.34,0.36
54,0.341,0.36
55,0.341,0.361
56,0.342,0.361
57,0.342,0.361
58,0.343,0.361
59,0.341,0.362
60,0.345,0.363
61,0.343,0.362
62,0.344,0.362
63,0.342,0.362
64,0.342,0.362
65,0.342,0.362
66,0.342,0.362
67,0.341,0.361
68,0.342,0.361
69,0.343,0.361
70,0.34,0.361
71,0.343,0.361
72,0.341,0.361
73,0.342,0.361
74,0.342,0.361
75,0.341,0.361
76,0.341,0.362
77,0.342,0.362
78,0.343,0.362
79,0.341,0.362
80,0.343,0.362
81,0.343,0.362
82,0.344,0.362
83,0.342,0.362
84,0.342,0.362
85,0.342,0.361
86,0.341,0.361
87,0.341,0.361
88,0.343,0.36
89,0.343,0.36
90,0.34,0.36
91,0.342,0.36
92,0.342,0.36
93,0.34,0.361
94,0.342,0.361
95,0.341,0.361
96,0.341,0.361
97,0.342,0.361
98,0.341,0.362
99,0.343,0.362
100,0.342,0.362
101,0.341,0.362
102,0.342,0.362
103,0.342,0.361
104,0.341,0.361
105,0.341,0.361
106,0.341,0.362
107,0.342,0.362
108,0.341,0.362
109,0.342,0.362
110,0.342,0.362
111,0.344,0.362
112,0.343,0.362
113,0.342,0.362
114,0.341,0.361
115,0.341,0.361
116,0.342,0.361
117,0.341,0.361
118,0.342,0.36
119,0.341,0.36
120,0.342,0.36
121,0.341,0.361
122,0.341,0.361
123,0.343,0.362
124,0.343,0.362
125,0.342,0.362
126,0.342,0.362
127,0.342,0.362
128,0.342,0.362
129,0.341,0.361
130,0.342,0.361
131,0.342,0.361
132,0.342,0.362
133,0.342,0.362
134,0.342,0.362
135,0.344,0.362
136,0.343,0.362
137,0.343,0.362
138,0.342,0.362
139,0.344,0.361
140,0.343,0.362
141,0.342,0.361
142,0.342,0.361
143,0.341,0.361
144,0.344,0.361
145,0.342,0.36
146,0.341,0.361
147,0.342,0.361
148,0.345,0.361
149,0.342,0.361
150,0.342,0.361
151,0.343,0.362
152,0.342,0.362
153,0.341,0.362
154,0.343,0.362
155,0.342,0.362
156,0.342,0.362
157,0.342,0.362
158,0.342,0.362
159,0.343,0.362
160,0.343,0.362
161,0.345,0.361
162,0.343,0.361
163,0.341,0.361
164,0.342,0.361
165,0.342,0.361
166,0.342,0.361
167,0.342,0.361
168,0.342,0.361
169,0.341,0.362
170,0.342,0.362
171,0.343,0.362
172,0.343,0.362
173,0.343,0.362
174,0.343,0.362
175,0.343,0.362
176,0.343,0.362
177,0.342,0.361
178,0.341,0.361
179,0.344,0.361
180,0.342,0.361
181,0.341,0.361
182,0.342,0.36
183,0.34,0.361
184,0.341,0.361
185,0.341,0.361
186,0.343,0.362
187,0.341,0.362
188,0.341,0.362
189,0.342,0.362
190,0.344,0.362
191,0.342,0.362
192,0.345,0.362
193,0.346,0.362
194,0.344,0.362
195,0.342,0.362
196,0.34,0.361
197,0.342,0.361
198,0.342,0.36
199,0.34,0.36
200,0.341,0.361
201,0.343,0.36
202,0.34,0.361
203,0.341,0.361
204,0.34,0.361
205,0.342,0.362
206,0.342,0.362
207,0.343,0.362
208,0.345,0.362
209,0.342,0.362
210,0.343,0.362
211,0.343,0.362
212,0.343,0.362
213,0.342,0.361
214,0.342,0.362
215,0.345,0.361
216,0.344,0.361
217,0.343,0.361
218,0.343,0.361
219,0.343,0.361
220,0.342,0.361
221,0.341,0.361
222,0.341,0.36
223,0.341,0.361
224,0.341,0.361
225,0.342,0.361
226,0.343,0.362
227,0.341,0.362
228,0.343,0.362
229,0.343,0.362
230,0.341,0.362
231,0.344,0.362
232,0.343,0.362
233,0.343,0.362
234,0.343,0.361
235,0.343,0.361
236,0.344,0.362
237,0.344,0.362
238,0.342,0.361
239,0.343,0.361
240,0.342,0.361
241,0.341,0.361
242,0.341,0.361
243,0.341,0.361
244,0.342,0.361
245,0.341,0.361
246,0.34,0.362
247,0.344,0.362
248,0.342,0.362
249,0.343,0.362
250,0.343,0.362
251,0.341,0.362
252,0.343,0.362
253,0.342,0.362
254,0.343,0.362
255,0.343,0.362
256,0.344,0.362
257,0.342,0.362
258,0.342,0.361
259,0.342,0.361
260,0.342,0.361
261,0.341,0.361
262,0.342,0.361
263,0.341,0.361
264,0.341,0.361
265,0.34,0.361
266,0.341,0.361
267,0.341,0.362
268,0.344,0.362
269,0.344,0.362
270,0.344,0.362
271,0.343,0.362
272,0.342,0.362
273,0.341,0.362
274,0.342,0.362
275,0.342,0.362
276,0.34,0.362
277,0.343,0.362
278,0.344,0.362
279,0.342,0.362
280,0.342,0.362
281,0.342,0.362
282,0.342,0.362
283,0.343,0.362
284,0.342,0.362
285,0.345,0.362
286,0.344,0.362
287,0.342,0.362
288,0.342,0.362
289,0.343,0.362
290,0.342,0.362
291,0.343,0.362
292,0.342,0.362
293,0.341,0.362
294,0.34,0.363
295,0.341,0.363
296,0.338,0.362
297,0.337,0.363
298,0.339,0.363
299,0.337,0.362
300,0.339,0.362
301,0.339,0.362
302,0.339,0.362
303,0.339,0.362
304,0.337,0.362
305,0.338,0.362
306,0.338,0.362
307,0.337,0.362
308,0.337,0.362
309,0.336,0.362
310,0.337,0.362
311,0.34,0.362
312,0.337,0.363
313,0.338,0.362
314,0.338,0.363
315,0.339,0.363
316,0.339,0.362
317,0.338,0.362
318,0.338,0.362
319,0.337,0.362
320,0.337,0.362
321,0.339,0.362
322,0.338,0.362
323,0.337,0.362
324,0.339,0.362
325,0.338,0.362
326,0.337,0.362
327,0.338,0.362
328,0.338,0.362
329,0.337,0.363
330,0.339,0.363
331,0.338,0.363
332,0.338,0.363
333,0.34,0.362
334,0.338,0.362
335,0.338,0.362
336,0.338,0.363
337,0.338,0.363
338,0.337,0.363
339,0.337,0.363
340,0.338,0.362
341,0.337,0.362
342,0.337,0.362
343,0.338,0.362
344,0.338,0.362
345,0.338,0.362
346,0.337,0.362
347,0.338,0.362
348,0.337,0.362
349,0.338,0.362
350,0.337,0.363
351,0.337,0.363
352,0.337,0.362
353,0.337,0.362
354,0.338,0.363
355,0.337,0.362
356,0.339,0.362
357,0.338,0.362
358,0.337,0.363
359,0.338,0.363
360,0.338,0.363
361,0.337,0.363
362,0.34,0.362
363,0.339,0.362
364,0.338,0.363
365,0.34,0.362
366,0.34,0.362
367,0.34,0.362
368,0.339,0.362
369,0.338,0.362
370,0.339,0.363
371,0.34,0.362
372,0.34,0.363
373,0.339,0.362
374,0.339,0.362
375,0.339,0.362
376,0.339,0.362
377,0.34,0.362
378,0.34,0.362
379,0.339,0.362
380,0.34,0.362
381,0.339,0.362
382,0.339,0.363
383,0.34,0.362
384,0.339,0.362
385,0.34,0.362
386,0.339,0.362
387,0.34,0.362
388,0.34,0.363
389,0.338,0.363
390,0.338,0.362
391,0.339,0.362
392,0.34,0.362
393,0.339,0.362
394,0.338,0.362
395,0.339,0.362
396,0.34,0.362
397,0.338,0.362
398,0.338,0.362
399,0.339,0.362
400,0.339,0.362
401,0.338,0.362
402,0.337,0.362
403,0.338,0.362
404,0.339,0.362
405,0.339,0.362
406,0.339,0.362
407,0.34,0.362
408,0.339,0.362
409,0.339,0.362
410,0.34,0.363
411,0.34,0.362
412,0.339,0.362
413,0.339,0.362
414,0.339,0.362
415,0.339,0.362
416,0.339,0.362
417,0.34,0.362
418,0.339,0.362
419,0.339,0.362
420,0.339,0.362
421,0.338,0.361
422,0.339,0.362
423,0.339,0.361
424,0.339,0.362
425,0.338,0.362
426,0.339,0.363
427,0.339,0.363
428,0.339,0.363
429,0.339,0.362
430,0.339,0.363
431,0.339,0.363
432,0.341,0.363
433,0.339,0.362
434,0.339,0.362
435,0.338,0.362
436,0.339,0.362
437,0.339,0.362
438,0.339,0.362
439,0.339,0.362
440,0.339,0.362
441,0.339,0.362
442,0.339,0.361
443,0.34,0.361
444,0.338,0.362
445,0.338,0.362
446,0.339,0.362
447,0.338,0.362
448,0.339,0.362
449,0.339,0.362
450,0.34,0.362
451,0.341,0.362
452,0.339,0.362
453,0.339,0.362
454,0.34,0.362
455,0.338,0.362
456,0.338,0.362
457,0.339,0.362
458,0.339,0.362
459,0.338,0.362
460,0.339,0.362
461,0.34,0.362
462,0.338,0.362
463,0.339,0.362
464,0.337,0.362
465,0.338,0.362
466,0.338,0.362
467,0.338,0.362
468,0.339,0.362
469,0.339,0.362
470,0.34,0.362
471,0.339,0.363
472,0.34,0.363
473,0.34,0.362
474,0.338,0.363
475,0.34,0.363
476,0.338,0.363
477,0.339,0.362
478,0.339,0.362
479,0.339,0.362
480,0.34,0.362
481,0.34,0.362
482,0.337,0.362
483,0.338,0.361
484,0.338,0.361
485,0.337,0.361
486,0.338,0.362
487,0.339,0.361
488,0.338,0.361
489,0.337,0.361
490,0.339,0.362
491,0.339,0.362
492,0.34,0.362
493,0.339,0.362
494,0.339,0.362
495,0.339,0.362
496,0.34,0.362
497,0.34,0.363
498,0.339,0.363
499,0.34,0.362
500,0.339,0.362
501,0.34,0.362
502,0.339,0.362
503,0.338,0.362
504,0.34,0.362
505,0.338,0.362
506,0.338,0.361
507,0.338,0.361
508,0.337,0.362
509,0.337,0.362
510,0.34,0.362
511,0.339,0.362
512,0.338,0.362
513,0.338,0.362
514,0.339,0.362
515,0.34,0.362
516,0.338,0.362
517,0.338,0.362
518,0.339,0.362
519,0.339,0.362
520,0.338,0.362
521,0.339,0.362
522,0.34,0.362
523,0.34,0.362
524,0.338,0.362
525,0.339,0.363
526,0.339,0.362
527,0.338,0.362
528,0.339,0.362
529,0.338,0.362
530,0.338,0.362
531,0.338,0.362
532,0.338,0.362
533,0.339,0.361
534,0.337,0.362
535,0.339,0.362
536,0.338,0.361
537,0.338,0.362
538,0.338,0.362
539,0.339,0.362
540,0.339,0.362
541,0.339,0.363
542,0.339,0.362
543,0.339,0.363
544,0.339,0.362
545,0.339,0.362
546,0.338,0.362
547,0.339,0.362
548,0.339,0.362
549,0.34,0.362
550,0.34,0.362
551,0.339,0.361
552,0.337,0.361
553,0.339,0.362
554,0.338,0.362
555,0.338,0.362
556,0.338,0.362
557,0.339,0.362
558,0.339,0.362
559,0.337,0.362
560,0.34,0.362
561,0.34,0.362
562,0.34,0.362
563,0.339,0.363
564,0.339,0.362
565,0.339,0.362
566,0.338,0.362
567,0.339,0.362
568,0.339,0.362
569,0.338,0.362
570,0.337,0.362
571,0.339,0.362
572,0.337,0.362
573,0.339,0.361
574,0.338,0.361
575,0.339,0.361
576,0.338,0.361
577,0.337,0.362
578,0.337,0.362
579,0.339,0.362
580,0.339,0.362
581,0.339,0.363
582,0.34,0.363
583,0.339,0.362
584,0.339,0.362
585,0.339,0.362
586,0.339,0.362
587,0.339,0.362
588,0.339,0.362
589,0.339,0.362
590,0.339,0.362
591,0.338,0.362
592,0.339,0.362
593,0.338,0.362
594,0.338,0.362
595,0.339,0.362
596,0.338,0.362
597,0.34,0.362
598,0.339,0.362
599,0.339,0.362
600,0.338,0.362
601,0.339,0.362
602,0.339,0.362
603,0.339,0.362
604,0.338,0.361
605,0.338,0.361
606,0.337,0.361
607,0.339,0.362
608,0.34,0.362
609,0.34,0.363
610,0.34,0.362
611,0.34,0.362
612,0.339,0.362
613,0.34,0.362
614,0.34,0.362
615,0.339,0.362
616,0.34,0.362
617,0.34,0.362
618,0.338,0.362
619,0.34,0.362
620,0.34,0.362
621,0.34,0.362
622,0.341,0.362
623,0.341,0.362
624,0.339,0.362
625,0.339,0.362
626,0.339,0.362
627,0.338,0.362
628,0.338,0.362
629,0.338,0.362
630,0.338,0.361
631,0.339,0.361
632,0.338,0.362
633,0.339,0.361
634,0.338,0.362
635,0.338,0.362
636,0.339,0.362
637,0.338,0.362
638,0.34,0.362
639,0.339,0.362
640,0.34,0.362
641,0.34,0.362
642,0.34,0.362
643,0.337,0.362
644,0.338,0.362
645,0.339,0.362
646,0.339,0.362
647,0.338,0.362
648,0.338,0.362
649,0.338,0.361
650,0.339,0.361
651,0.338,0.361
652,0.338,0.361
653,0.337,0.361
654,0.337,0.362
655,0.337,0.362
656,0.339,0.362
657,0.338,0.362
658,0.339,0.362
659,0.339,0.362
660,0.338,0.362
661,0.338,0.362
662,0.338,0.362
663,0.339,0.362
664,0.339,0.362
665,0.339,0.362
666,0.339,0.362
667,0.339,0.362
668,0.338,0.362
669,0.338,0.362
670,0.337,0.362
671,0.339,0.362
672,0.34,0.362
673,0.339,0.362
674,0.338,0.362
675,0.34,0.361
676,0.339,0.362
677,0.339,0.361
678,0.339,0.361
679,0.338,0.362
680,0.339,0.362
681,0.339,0.362
682,0.339,0.362
683,0.339,0.362
684,0.34,0.362
685,0.339,0.363
686,0.34,0.362
687,0.339,0.362
688,0.339,0.362
689,0.339,0.362
690,0.339,0.362
691,0.34,0.362
692,0.339,0.362
693,0.339,0.362
694,0.339,0.362
695,0.339,0.362
696,0.34,0.362
697,0.34,0.362
698,0.338,0.362
699,0.337,0.362
700,0.339,0.361
701,0.339,0.361
702,0.339,0.362
703,0.337,0.361
704,0.337,0.361
705,0.338,0.361
706,0.339,0.362
707,0.338,0.362
708,0.34,0.362
709,0.339,0.363
710,0.34,0.362
711,0.339,0.362
712,0.339,0.362
713,0.338,0.362
714,0.338,0.362
715,0.338,0.362
716,0.337,0.362
717,0.338,0.362
718,0.338,0.362
719,0.337,0.362
720,0.338,0.362
721,0.339,0.362
722,0.34,0.362
