t,sim,exp
320,0.172,0.15
321,0.168,0.15
322,0.175,0.15
323,0.193,0.15
324,0.164,0.15
325,0.169,0.151
326,0.17,0.15
327,0.174,0.15
328,0.171,0.15
329,0.189,0.151
330,0.161,0.151
331,0.189,0.151
332,0.185,0.151
333,0.163,0.151
334,0.165,0.152
335,0.174,0.151
336,0.165,0.151
337,0.165,0.151
338,0.157,0.151
339,0.165,0.15
340,0.183,0.151
341,0.175,0.151
342,0.176,0.15
343,0.192,0.15
344,0.168,0.15
345,0.172,0.149
346,0.167,0.15
347,0.148,0.151
348,0.185,0.151
349,0.2,0.151
350,0.173,0.151
351,0.162,0.151
352,0.179,0.151
353,0.179,0.151
354,0.16,0.151
355,0.178,0.15
356,0.153,0.15
357,0.167,0.151
358,0.182,0.15
359,0.184,0.151
360,0.21,0.151
361,0.168,0.151
362,0.154,0.151
363,0.156,0.151
364,0.155,0.151
365,0.161,0.15
366,0.163,0.15
367,0.159,0.151
368,0.154,0.151
369,0.16,0.15
370,0.158,0.151
371,0.154,0.151
372,0.154,0.151
373,0.157,0.151
374,0.158,0.149
375,0.156,0.15
376,0.154,0.15
377,0.161,0.149
378,0.153,0.151
379,0.166,0.151
380,0.155,0.151
381,0.16,0.151
382,0.156,0.151
383,0.161,0.151
384,0.154,0.151
385,0.164,0.151
386,0.158,0.15
387,0.151,0.151
388,0.156,0.151
389,0.157,0.151
390,0.16,0.151
391,0.155,0.151
392,0.156,0.15
393,0.155,0.15
394,0.156,0.15
395,0.159,0.149
396,0.154,0.15
397,0.153,0.149
398,0.147,0.149
399,0.151,0.149
400,0.158,0.149
401,0.157,0.149
402,0.155,0.15
403,0.152,0.151
404,0.157,0.15
405,0.157,0.151
406,0.16,0.15
407,0.159,0.151
408,0.152,0.151
409,0.161,0.151
410,0.164,0.151
411,0.155,0.151
412,0.158,0.151
413,0.154,0.151
414,0.156,0.15
415,0.155,0.15
416,0.156,0.151
417,0.153,0.15
418,0.158,0.15
419,0.158,0.15
420,0.143,0.149
421,0.16,0.149
422,0.158,0.149
423,0.153,0.149
424,0.167,0.149
425,0.159,0.151
426,0.165,0.151
427,0.154,0.151
428,0.159,0.151
429,0.161,0.151
430,0.156,0.151
431,0.156,0.151
432,0.154,0.151
433,0.159,0.151
434,0.149,0.151
435,0.155,0.151
436,0.148,0.15
437,0.156,0.149
438,0.155,0.15
439,0.15,0.151
440,0.164,0.15
441,0.157,0.149
442,0.155,0.149
443,0.167,0.15
444,0.16,0.15
445,0.165,0.15
446,0.15,0.15
447,0.156,0.151
448,0.155,0.151
449,0.155,0.151
450,0.156,0.151
451,0.156,0.151
452,0.157,0.15
453,0.148,0.151
454,0.154,0.15
455,0.16,0.15
456,0.15,0.149
457,0.158,0.15
458,0.158,0.15
459,0.156,0.149
460,0.146,0.15
461,0.167,0.15
462,0.168,0.149
463,0.152,0.15
464,0.16,0.15
465,0.159,0.15
466,0.16,0.15
467,0.158,0.151
468,0.157,0.15
469,0.155,0.151
470,0.155,0.151
471,0.16,0.151
472,0.162,0.151
473,0.159,0.151
474,0.157,0.151
475,0.159,0.151
476,0.157,0.151
477,0.16,0.151
478,0.16,0.15
479,0.157,0.15
480,0.157,0.15
481,0.158,0.15
482,0.152,0.151
483,0.161,0.149
484,0.166,0.15
485,0.158,0.15
486,0.153,0.149
487,0.154,0.149
488,0.154,0.15
489,0.153,0.15
490,0.157,0.15
491,0.16,0.151
492,0.16,0.151
493,0.159,0.151
494,0.159,0.151
495,0.159,0.151
496,0.157,0.151
497,0.158,0.151
498,0.161,0.151
499,0.158,0.15
500,0.159,0.149
501,0.161,0.15
502,0.157,0.151
503,0.141,0.149
504,0.155,0.149
505,0.153,0.149
506,0.154,0.149
507,0.156,0.149
508,0.151,0.15
509,0.16,0.151
510,0.157,0.151
511,0.152,0.151
512,0.155,0.151
513,0.161,0.151
514,0.162,0.151
515,0.157,0.151
516,0.152,0.149
517,0.16,0.15
518,0.158,0.15
519,0.16,0.15
520,0.156,0.151
521,0.162,0.151
522,0.157,0.151
523,0.156,0.151
524,0.159,0.151
525,0.156,0.15
526,0.156,0.151
527,0.154,0.15
528,0.154,0.15
529,0.148,0.15
530,0.157,0.149
531,0.155,0.149
532,0.157,0.149
533,0.155,0.149
534,0.155,0.149
535,0.16,0.15
536,0.158,0.149
537,0.153,0.15
538,0.157,0.15
539,0.16,0.151
540,0.153,0.151
541,0.157,0.151
542,0.156,0.151
543,0.154,0.151
544,0.156,0.151
545,0.156,0.151
546,0.163,0.15
547,0.158,0.15
548,0.153,0.15
549,0.156,0.15
550,0.156,0.15
551,0.154,0.15
552,0.156,0.15
553,0.158,0.151
554,0.153,0.15
555,0.16,0.149
556,0.157,0.149
557,0.155,0.151
558,0.158,0.151
559,0.155,0.151
560,0.161,0.151
561,0.155,0.151
562,0.154,0.151
563,0.156,0.151
564,0.158,0.151
565,0.168,0.151
566,0.158,0.15
567,0.156,0.15
568,0.151,0.151
569,0.16,0.15
570,0.169,0.149
571,0.155,0.15
572,0.161,0.149
573,0.158,0.149
574,0.156,0.149
575,0.149,0.149
576,0.152,0.149
577,0.154,0.15
578,0.16,0.15
579,0.162,0.15
580,0.154,0.151
581,0.157,0.151
582,0.156,0.151
583,0.156,0.151
584,0.153,0.15
585,0.151,0.15
586,0.157,0.149
587,0.152,0.15
588,0.154,0.15
589,0.159,0.151
590,0.155,0.15
591,0.155,0.151
592,0.159,0.151
593,0.156,0.151
594,0.157,0.151
595,0.161,0.151
596,0.16,0.15
597,0.16,0.15
598,0.15,0.149
599,0.154,0.15
600,0.155,0.149
601,0.149,0.149
602,0.155,0.149
603,0.158,0.149
604,0.168,0.149
605,0.151,0.149
606,0.156,0.149
607,0.157,0.15
608,0.153,0.151
609,0.158,0.151
610,0.158,0.151
611,0.158,0.151
612,0.159,0.151
613,0.154,0.151
614,0.16,0.15
615,0.159,0.151
616,0.161,0.15
617,0.155,0.15
618,0.161,0.151
619,0.157,0.15
620,0.157,0.15
621,0.157,0.15
622,0.153,0.15
623,0.151,0.15
624,0.143,0.15
625,0.161,0.15
626,0.152,0.149
627,0.156,0.149
628,0.157,0.149
629,0.16,0.15
630,0.159,0.149
631,0.16,0.15
632,0.154,0.149
633,0.15,0.15
634,0.155,0.149
635,0.158,0.149
636,0.158,0.15
637,0.157,0.151
638,0.158,0.151
639,0.154,0.151
640,0.16,0.151
641,0.156,0.151
642,0.158,0.151
643,0.162,0.151
644,0.153,0.15
645,0.159,0.15
646,0.16,0.149
647,0.157,0.149
648,0.156,0.149
649,0.152,0.149
650,0.157,0.149
651,0.161,0.149
652,0.159,0.148
653,0.155,0.149
654,0.156,0.15
655,0.145,0.15
656,0.151,0.15
657,0.154,0.151
658,0.162,0.151
659,0.155,0.15
660,0.161,0.151
661,0.164,0.15
662,0.16,0.15
