t,sim,exp
286,25.6,30.5
287,25.4,30.6
288,24.7,30.6
289,24.7,30.5
290,24.8,30.4
291,24.7,30.4
292,25.5,30.3
293,25.3,30.3
294,25.8,30.3
295,25.6,30.4
296,25.7,30.4
297,25.7,30.4
298,25.9,30.4
299,25.2,30.4
300,25.6,30.5
301,26,30.5
302,25.8,30.4
303,27.4,30.5
304,25.4,30.5
305,26,30.5
306,25.9,30.5
307,26.1,30.5
308,25.5,30.6
309,25.3,30.5
310,25.8,30.5
311,25.9,30.5
312,25.8,30.5
313,26.3,30.4
314,26.1,30.5
315,25.3,30.4
316,26.1,30.4
317,25.5,30.4
318,25.9,30.4
319,25.5,30.4
320,25.8,30.5
321,26,30.5
322,25.6,30.4
323,25.8,30.5
324,26.3,30.5
325,25.6,30.6
326,26,30.6
327,25.6,30.7
328,24.9,30.6
329,25.7,30.6
330,25.8,30.5
331,25.5,30.4
332,25.4,30.4
333,25.5,30.4
334,25.3,30.5
335,26.7,30.5
336,26.6,30.5
337,26.1,30.5
338,25.5,30.6
339,26.3,30.5
340,26,30.5
341,25.6,30.5
342,26,30.6
343,25.6,30.6
344,25.5,30.5
345,24.8,30.5
346,25.2,30.4
347,25.6,30.4
348,26.5,30.3
349,25.3,30.3
350,25.9,30.2
351,25.3,30.3
352,25.6,30.4
353,25.6,30.4
354,25.8,30.4
355,25.1,30.4
356,25.3,30.4
357,25.8,30.5
358,24.9,30.5
359,24.6,30.5
360,25.7,30.4
361,25.5,30.4
362,25.3,30.4
363,25.8,30.4
364,25.7,30.3
365,25.4,30.3
366,24.9,30.4
367,25.2,30.3
368,26.2,30.3
369,25.3,30.3
370,25.9,30.4
371,24.7,30.3
372,25.5,30.3
373,24.7,30.3
374,25.1,30.3
375,25.5,30.2
376,25.8,30.2
377,25.3,30.2
378,25.6,30.2
379,25,30.2
380,25.1,30.2
381,24.9,30.2
382,25.3,30.2
383,25.4,30.2
384,24.9,30.2
385,25.5,30.2
386,26.1,30.2
387,25,30.2
388,25.4,30.2
389,25.4,30.2
390,25.5,30.2
391,25.5,30.2
392,25.2,30.2
393,25.4,30.3
394,26.1,30.3
395,25.4,30.3
396,25.4,30.2
397,25.4,30.2
398,25.3,30.3
399,25.1,30.4
400,25.6,30.3
401,25.2,30.3
402,25.6,30.2
403,25.3,30.2
404,25.5,30.2
405,25.3,30.2
406,25.5,30.2
407,24.9,30.2
408,25.4,30.2
409,25.7,30.2
410,26,30.2
411,25.5,30.2
412,25.8,30.2
413,25.2,30.2
414,25.2,30.2
415,25.2,30.1
416,25.3,30.1
417,25.8,30.1
418,25.2,30.1
419,24.5,30.2
