t,sim,exp
1,17.9,26.8
2,22.7,26.8
3,28.1,26.8
4,29.2,26.8
5,29.5,26.8
6,29.3,26.8
7,29.7,26.9
8,30.2,27
9,30,27.1
10,29.1,27.1
11,29.1,27.2
12,29.3,27.2
13,29.4,27.2
14,29.9,27.2
15,29.1,27.3
16,29.6,27.3
17,28.8,27.3
18,29.8,27.4
19,29.5,27.4
20,29.2,27.4
21,29.5,27.4
22,29.3,27.4
23,29.4,27.4
24,29.1,27.4
25,29.4,27.4
26,29.2,27.5
27,29.6,27.4
28,29.3,27.4
29,29.5,27.4
30,28.7,27.4
31,29.1,27.4
32,28.4,27.5
33,29.1,27.4
34,29.6,27.5
35,28.8,27.5
36,29.1,27.5
37,29,27.5
38,28.8,27.4
39,29,27.4
40,29.6,27.4
41,29.4,27.4
42,28.8,27.4
43,30,27.4
44,29.8,27.5
45,29.5,27.5
46,29.3,27.6
47,28.5,27.6
48,28.6,27.5
49,28.5,27.5
50,29.7,27.4
51,29.7,27.5
52,29,27.5
53,29.3,27.6
54,28.9,27.7
55,28.9,27.7
56,29,27.6
57,29.1,27.6
58,29.1,27.7
59,29.1,27.7
60,28.7,27.7
61,29.1,27.6
62,28.7,27.6
63,28.8,27.5
64,28.9,27.5
65,28.4,27.5
66,28.9,27.6
67,28.5,27.6
68,28.4,27.6
69,28.7,27.6
70,28.2,27.6
71,28.7,27.7
72,28.9,27.7
73,28.5,27.8
74,28.8,27.8
75,28.8,27.8
76,28.8,27.8
77,29.1,27.7
78,28.7,27.8
79,27.9,27.7
80,28.1,27.6
81,28.2,27.6
82,28.3,27.5
83,29.1,27.6
84,29.1,27.6
85,29.1,27.6
86,28.5,27.6
87,28.9,27.6
88,28,27.7
89,28.4,27.7
90,28.6,27.7
91,29.5,27.8
92,28.5,27.8
93,28.8,27.8
94,29.4,27.8
95,28.9,27.8
96,28.4,27.8
97,28.7,27.8
98,29.2,27.8
99,28.4,27.8
100,28.6,27.8
101,28.7,27.7
102,29.3,27.7
103,29.2,27.8
104,28.6,27.8
105,28.9,27.8
106,28.6,27.8
107,29.1,27.8
108,29.1,27.8
109,29.3,27.7
110,29.5,27.6
111,28.8,27.6
112,29,27.6
113,29.7,27.6
114,29.2,27.6
115,29.4,27.6
116,29.1,27.7
117,29.4,27.7
118,29.6,27.7
119,29.1,27.7
120,28.9,27.8
121,29.3,27.8
122,29.4,27.7
123,29.3,27.7
124,29.8,27.7
125,29.3,27.8
126,29.5,27.8
127,29.9,27.7
128,29.8,27.8
129,29.3,27.8
130,29.6,27.7
131,28.9,27.7
132,28.9,27.7
133,29.2,27.8
134,29,27.7
135,29.1,27.7
136,29.1,27.7
137,29.6,27.7
138,28.9,27.7
139,29.5,27.7
140,29.6,27.7
141,29.1,27.7
142,29.8,27.7
143,29.2,27.7
144,29,27.8
145,29.1,27.8
146,29.5,27.7
147,29.8,27.7
148,29.3,27.8
149,29.5,27.7
150,29.5,27.7
151,28.8,27.7
152,28.9,27.7
153,29.5,27.7
154,29.9,27.7
155,29.5,27.7
156,29.2,27.7
157,29.1,27.7
158,29.7,27.7
159,29.6,27.7
160,28.5,27.7
161,28.8,27.7
162,29.2,27.7
163,29.4,27.7
164,29.6,27.7
165,29.7,27.7
166,29.9,27.8
167,29.6,27.8
168,29.3,27.7
169,29.8,27.7
170,29.6,27.8
171,29.4,27.7
172,29.2,27.7
173,29.2,27.7
174,29.7,27.7
175,29.4,27.7
176,29.4,27.8
177,29.3,27.7
178,29.5,27.8
179,29.4,27.7
180,29.4,27.8
181,29,27.8
182,29.8,27.7
183,29.6,27.8
184,29.6,27.8
185,29,27.8
186,29.4,27.8
187,29.7,27.8
188,29.2,27.8
189,29.4,27.8
190,29.1,27.7
191,29.4,27.8
192,29,27.7
193,29.4,27.6
194,29.3,27.6
195,29.1,27.7
196,29.4,27.8
197,29.1,27.8
198,29.2,27.8
199,29.5,27.7
200,29.7,27.8
201,29.3,27.8
202,29.5,27.8
203,29.6,27.8
204,29.2,27.8
205,28.8,27.8
206,29.7,27.8
207,29.9,27.8
208,29.6,27.8
209,29.1,27.7
210,29.4,27.8
211,29.6,27.7
212,29.9,27.7
213,30.2,27.7
214,30,27.8
215,29.9,27.8
216,29.2,27.8
217,28.8,27.8
218,29.4,27.8
219,29.4,27.7
220,29.6,27.7
221,29.7,27.7
222,29.9,27.7
223,29.6,27.7
224,29.2,27.7
225,29.5,27.7
226,29.2,27.7
227,29.5,27.7
228,29.5,27.7
229,29.1,27.7
230,30,27.8
231,29,27.7
232,29.8,27.8
233,29.6,27.8
234,29.2,27.7
235,29.2,27.8
236,29.5,27.7
237,29.5,27.7
238,29.4,27.7
239,29.6,27.7
240,29.3,27.8
241,29.1,27.8
242,29.5,27.8
243,29.4,27.9
244,29.8,27.8
245,29.7,27.8
246,29.6,27.8
247,29.1,27.8
248,28.9,27.8
249,28.5,27.7
250,29.1,27.7
251,29.1,27.7
252,28.8,27.6
253,29.2,27.6
254,28.8,27.7
255,29,27.6
256,28.7,27.7
257,29.1,27.6
258,29.5,27.6
259,29.1,27.6
260,29.5,27.7
261,28.8,27.7
262,29.9,27.8
263,28.9,27.8
264,29,27.8
265,28.8,27.8
266,29.1,27.7
267,28.8,27.7
268,29,27.7
269,29,27.8
270,29,27.7
271,29,27.7
272,29.5,27.7
273,29.4,27.7
274,28.5,27.7
275,28.7,27.7
276,29.4,27.6
277,29.2,27.7
278,28.4,27.6
279,28.9,27.6
280,29.1,27.5
281,29.1,27.7
282,28.5,27.7
283,28.6,27.7
284,27.7,27.6
285,27.9,27.5
286,28.7,27.5
287,29.1,27.4
288,28,27.5
289,28.1,27.4
290,28.3,27.5
291,28.2,27.4
292,28.7,27.5
293,29.1,27.5
294,29.3,27.6
295,29.2,27.5
296,29.2,27.5
297,28.8,27.4
298,29.3,27.4
299,29.3,27.4
300,29.3,27.4
301,29.7,27.4
302,29.8,27.5
303,29.2,27.6
304,29.1,27.6
305,28.7,27.6
306,29.4,27.7
307,29,27.7
308,28.5,27.7
309,28.9,27.6
310,28.8,27.5
311,28.9,27.5
312,29.1,27.4
313,29.4,27.5
314,29.2,27.5
315,29.2,27.5
316,29.4,27.5
317,29.1,27.5
318,29.1,27.5
319,29.3,27.4
320,29.2,27.4
