t,sim,exp
1,17.9,26.3
2,24.6,26.4
3,29.3,26.5
4,30.3,26.6
5,30.3,26.8
6,30,26.9
7,30.6,26.9
8,31.5,27
9,31,27.1
10,30.1,27.1
11,29.9,27.1
12,30.3,27.1
13,31,27.1
14,30.6,27.2
15,30.3,27.3
16,30.5,27.3
17,29.8,27.4
18,30.7,27.5
19,30.8,27.5
20,30.9,27.5
21,30.6,27.6
22,30.6,27.6
23,30.5,27.6
24,30.3,27.6
25,30.4,27.7
26,30.6,27.7
27,31,27.7
28,30.6,27.8
29,30.8,27.8
30,30.1,27.8
31,30.3,27.8
32,29.7,27.8
33,30.2,27.9
34,30.8,27.9
35,30.2,27.9
36,30,27.9
37,30.5,27.9
38,30.6,27.9
39,30.1,27.9
40,30.9,27.9
41,30.1,27.9
42,30.3,27.9
43,31,27.9
44,30.7,28
45,30.4,28
46,30.1,28
47,29.8,28
48,30,28
49,29.9,28
50,31.1,28
51,30.5,28.1
52,30,28.1
53,30.6,28.2
54,29.7,28.2
55,30.6,28.2
56,30.2,28.2
57,30.5,28.2
58,30.6,28.2
59,30.2,28.2
60,30.3,28.2
61,31,28.1
62,30,28.1
63,30,28.1
64,30.4,28
65,30,28
66,30.1,28.1
67,30.4,28.1
68,30.6,28.2
69,30.3,28.2
70,30.2,28.1
71,29.7,28.2
72,30.2,28.2
73,30.6,28.3
74,30,28.3
75,30.3,28.2
76,30.7,28.3
77,29.9,28.2
78,30.5,28.2
79,30,28.2
80,30.3,28.2
81,29.8,28.2
82,30.3,28.1
83,30.6,28.1
84,30.5,28.2
85,30,28.2
86,30.1,28.2
87,30.1,28.2
88,30.3,28.2
89,30.1,28.3
90,30.3,28.3
91,30.7,28.4
92,30.7,28.4
93,30.5,28.4
94,31.2,28.4
95,30.7,28.4
96,30,28.4
97,29.9,28.4
98,30.2,28.4
99,30.4,28.4
100,30.4,28.4
101,30.4,28.4
102,31.1,28.4
103,30.9,28.4
104,30.8,28.4
105,30.3,28.4
106,30.4,28.4
107,30.3,28.4
108,31.4,28.4
109,31.1,28.3
110,31.2,28.3
111,30.2,28.3
112,30.1,28.3
113,30.9,28.3
114,30.6,28.3
115,30.5,28.4
116,30.2,28.4
117,30.4,28.4
118,30.4,28.4
119,30.7,28.4
120,30.8,28.4
121,30.4,28.4
122,31.1,28.5
123,30.5,28.5
124,30.8,28.5
125,31.1,28.5
126,30.4,28.5
127,31.4,28.5
128,31.2,28.5
129,29.9,28.5
130,30.6,28.4
131,29.7,28.5
132,30.3,28.5
133,30.3,28.4
134,30.2,28.4
135,29.8,28.4
136,30.9,28.5
137,31.1,28.4
138,30.1,28.4
139,30.7,28.4
140,31,28.4
141,30.3,28.4
142,31,28.5
143,30.5,28.5
144,30,28.5
145,30.1,28.5
146,31,28.4
147,30.6,28.5
148,30.9,28.4
149,30.1,28.5
150,30.5,28.5
151,29.8,28.4
152,30.4,28.4
153,31.1,28.5
154,31,28.4
155,30.5,28.5
156,30.7,28.4
157,30.2,28.5
158,31.7,28.4
159,30.6,28.5
160,30.5,28.5
161,30.3,28.5
162,30.6,28.5
163,30.9,28.4
164,30.6,28.4
165,30.7,28.5
166,30.8,28.5
167,31.3,28.5
168,30.9,28.4
169,30.9,28.4
170,30.6,28.4
171,31,28.4
172,30.1,28.4
173,30.7,28.4
174,30.8,28.4
175,30.4,28.4
176,30.5,28.4
177,30.4,28.5
178,30.5,28.5
179,30.5,28.5
180,30.2,28.5
181,29.9,28.4
182,30.9,28.5
183,30.4,28.5
184,30.8,28.6
185,30.1,28.6
186,30.3,28.5
187,30.8,28.5
188,30.4,28.5
189,30.3,28.5
190,30.3,28.5
191,31.2,28.5
192,30,28.5
193,30.7,28.4
194,30.3,28.4
195,30.9,28.5
196,30.7,28.5
197,30.3,28.5
198,30.3,28.5
199,30.9,28.5
200,30.9,28.5
201,31,28.6
202,30.6,28.5
203,30.4,28.5
204,30.5,28.5
205,30.3,28.5
206,30.3,28.6
207,31.2,28.5
208,30.5,28.6
209,30.4,28.5
210,30.9,28.5
211,31,28.5
212,31.6,28.4
213,30.8,28.4
214,31,28.5
215,30.8,28.6
216,31,28.6
217,30,28.5
218,30.8,28.5
219,30.4,28.5
220,30.6,28.5
221,30.7,28.5
222,31.3,28.5
223,30.7,28.5
224,30.6,28.5
225,30.3,28.5
226,30.2,28.5
227,30.5,28.5
228,30.6,28.5
229,30.3,28.5
230,31.5,28.5
231,30,28.6
232,30.4,28.5
233,30.6,28.6
234,30.9,28.5
235,30.3,28.5
236,30.3,28.5
237,30.8,28.5
238,30.6,28.5
239,30.6,28.4
240,31.1,28.5
241,30.5,28.5
242,30.6,28.5
243,30.5,28.5
244,31,28.5
245,30.9,28.5
246,30.8,28.5
247,30.6,28.4
248,30.6,28.4
249,30.1,28.5
250,30.9,28.4
251,30.5,28.4
252,30.5,28.4
253,30.1,28.4
254,30.5,28.5
255,30.2,28.4
256,30.2,28.4
257,30.7,28.4
258,31.2,28.4
259,30.1,28.4
260,30.4,28.4
261,30,28.4
262,31.1,28.5
263,30.1,28.5
264,30.3,28.4
265,30.5,28.4
266,30,28.4
267,30.1,28.5
268,30.7,28.4
269,30.5,28.4
270,30.3,28.5
271,30.5,28.5
272,30.6,28.4
273,30.8,28.4
274,30.4,28.4
275,30.5,28.4
276,30.7,28.6
277,30.3,28.7
278,29.9,28.6
279,30.6,28.5
280,30.9,28.4
281,30.7,28.5
282,30.1,28.6
283,30,28.6
284,29.5,28.6
285,30.2,28.7
286,30.6,28.7
287,30.8,28.6
288,29.9,28.6
289,30,28.6
290,30.4,28.5
291,30.3,28.5
292,30.6,28.5
293,30.6,28.5
294,30.4,28.5
295,30.8,28.4
296,30.8,28.4
297,30.6,28.4
298,31.4,28.3
299,31,28.3
300,31.1,28.4
301,31.2,28.4
302,30.7,28.4
303,30.3,28.4
304,30.7,28.5
305,30,28.5
306,31,28.5
307,30.4,28.4
308,30.5,28.5
309,30.3,28.5
310,30.3,28.4
311,30.8,28.4
312,31,28.4
313,31,28.4
314,30.4,28.4
315,30.9,28.4
316,31,28.3
317,31,28.3
318,30.4,28.3
319,30.7,28.3
320,30.6,28.4
321,31.2,28.4
322,30.8,28.4
323,30.7,28.4
324,30.8,28.5
325,30.3,28.5
326,30.5,28.4
327,30.6,28.5
328,30.9,28.4
329,30.6,28.4
330,30.9,28.4
331,30.4,28.4
332,31,28.4
333,31.2,28.3
334,31.2,28.3
335,30.8,28.3
336,30.8,28.3
337,30.7,28.3
338,30.1,28.3
339,30.1,28.3
340,30.1,28.3
341,30.5,28.3
342,31.3,28.3
343,30.9,28.4
344,29.9,28.4
345,30.8,28.4
346,30.4,28.4
347,30.7,28.4
348,30.5,28.4
349,30.9,28.3
350,30.3,28.3
351,30.5,28.4
352,31.2,28.4
353,30.9,28.4
354,30.4,28.4
355,30.5,28.4
356,30.3,28.4
357,30.3,28.4
358,30.6,28.4
359,30.6,28.4
360,30.5,28.4
361,30.5,28.4
362,30.2,28.4
363,30.4,28.4
364,29.5,28.3
365,30.1,28.3
366,29.9,28.3
367,30,28.3
368,30.3,28.4
369,30.8,28.3
370,30.6,28.4
371,29.9,28.3
372,30.5,28.3
373,30.1,28.4
374,30.7,28.4
375,30.5,28.4
376,30.8,28.3
377,29.8,28.4
378,29.7,28.4
379,30.3,28.3
380,30.4,28.4
381,30.5,28.3
382,31,28.3
383,30.2,28.3
384,30.3,28.3
385,31.1,28.2
386,30.1,28.2
387,30.1,28.3
388,30.6,28.3
389,30.8,28.2
390,30.8,28.2
391,30.1,28.2
392,30.5,28.2
393,29.9,28.2
394,30.4,28.3
395,30.1,28.3
396,31.2,28.2
397,29.8,28.3
398,30.2,28.3
399,30.5,28.3
400,30.3,28.2
401,30.3,28.3
402,30.4,28.3
403,29.9,28.3
404,30.8,28.3
405,30.3,28.3
406,31,28.3
407,30.9,28.3
408,30.4,28.2
409,29.7,28.2
410,30,28.2
411,29.9,28.2
412,30,28.2
413,30,28.2
414,30.2,28.2
415,30.3,28.2
416,30.8,28.2
417,29.9,28.2
418,30,28.2
419,30.4,28.2
420,30.6,28.3
421,29.8,28.3
422,30.1,28.3
423,30.4,28.3
424,30.1,28.3
425,29.9,28.3
426,29.9,28.3
427,29.9,28.3
428,30.3,28.2
429,30.7,28.2
430,30.5,28.2
431,29.8,28.2
432,30.5,28.2
433,30,28.2
434,30.5,28.2
435,29.9,28.2
436,30.3,28.2
437,30.3,28.2
438,30,28.2
