"Time";"temperature_front_bottom";"temperature_front_middle";"temperature_front_top";"temperature_rear_bottom";"temperature_rear_middle";"temperature_rear_top"
"2019-10-01T08:12:35+02:00";null;18.39;null;null;null;null
"2019-10-01T08:12:35+02:00";19.88;null;24.25;null;null;null
"2019-10-01T08:12:40+02:00";null;null;null;23.69;23.33;null
"2019-10-01T08:12:40+02:00";null;null;null;null;null;28.19
"2019-10-01T08:13:05+02:00";19.81;18.39;null;null;null;null
"2019-10-01T08:13:05+02:00";null;null;24.25;null;null;null
"2019-10-01T08:13:10+02:00";null;null;null;null;null;28.19
"2019-10-01T08:13:11+02:00";null;null;null;23.75;23.36;null
"2019-10-01T08:13:35+02:00";19.81;null;24.19;null;null;null
"2019-10-01T08:13:35+02:00";null;18.39;null;null;null;null
"2019-10-01T08:13:40+02:00";null;null;null;null;23.36;28.19
"2019-10-01T08:13:40+02:00";null;null;null;23.81;null;null
"2019-10-01T08:14:05+02:00";19.81;18.41;24.19;null;null;null
"2019-10-01T08:14:10+02:00";null;null;null;23.75;null;28.19
"2019-10-01T08:14:11+02:00";null;null;null;null;23.37;null
"2019-10-01T08:14:35+02:00";19.75;null;24.19;null;null;null
"2019-10-01T08:14:35+02:00";null;18.37;null;null;null;null
"2019-10-01T08:14:40+02:00";null;null;null;null;23.38;28.19
"2019-10-01T08:14:40+02:00";null;null;null;23.75;null;null
"2019-10-01T08:15:05+02:00";19.88;18.39;null;null;null;null
"2019-10-01T08:15:05+02:00";null;null;24.19;null;null;null
"2019-10-01T08:15:10+02:00";null;null;null;null;23.4;28.19
"2019-10-01T08:15:11+02:00";null;null;null;23.81;null;null
"2019-10-01T08:15:35+02:00";19.88;null;24.25;null;null;null
"2019-10-01T08:15:35+02:00";null;18.41;null;null;null;null
"2019-10-01T08:15:40+02:00";null;null;null;23.81;null;28.13
"2019-10-01T08:15:40+02:00";null;null;null;null;23.41;null
"2019-10-01T08:16:05+02:00";null;18.39;null;null;null;null
"2019-10-01T08:16:05+02:00";19.81;null;24.25;null;null;null
"2019-10-01T08:16:10+02:00";null;null;null;23.81;null;28.19
"2019-10-01T08:16:11+02:00";null;null;null;null;23.38;null
"2019-10-01T08:16:35+02:00";19.81;18.37;24.19;null;null;null
"2019-10-01T08:16:40+02:00";null;null;null;null;23.37;28.13
"2019-10-01T08:16:40+02:00";null;null;null;23.69;null;null
"2019-10-01T08:17:05+02:00";null;null;24.19;null;null;null
"2019-10-01T08:17:05+02:00";19.81;18.41;null;null;null;null
"2019-10-01T08:17:10+02:00";null;null;null;null;null;28.19
"2019-10-01T08:17:11+02:00";null;null;null;23.75;23.34;null
"2019-10-01T08:17:35+02:00";19.81;18.37;null;null;null;null
"2019-10-01T08:17:35+02:00";null;null;24.19;null;null;null
"2019-10-01T08:17:40+02:00";null;null;null;23.75;23.33;null
"2019-10-01T08:17:40+02:00";null;null;null;null;null;28.19
"2019-10-01T08:18:05+02:00";19.81;18.39;null;null;null;null
"2019-10-01T08:18:05+02:00";null;null;24.19;null;null;null
"2019-10-01T08:18:10+02:00";null;null;null;23.75;23.3;28.19
"2019-10-01T08:18:35+02:00";19.75;null;null;null;null;null
"2019-10-01T08:18:35+02:00";null;18.39;24.19;null;null;null
"2019-10-01T08:18:40+02:00";null;null;null;23.75;23.32;null
"2019-10-01T08:18:40+02:00";null;null;null;null;null;28.19
"2019-10-01T08:19:05+02:00";null;18.39;24.19;null;null;null
"2019-10-01T08:19:05+02:00";19.81;null;null;null;null;null
"2019-10-01T08:19:11+02:00";null;null;null;23.69;null;28.13
"2019-10-01T08:19:11+02:00";null;null;null;null;23.3;null
"2019-10-01T08:19:35+02:00";19.75;null;24.19;null;null;null
"2019-10-01T08:19:35+02:00";null;18.37;null;null;null;null
"2019-10-01T08:19:40+02:00";null;null;null;null;23.32;28.13
"2019-10-01T08:19:40+02:00";null;null;null;23.75;null;null
"2019-10-01T08:20:05+02:00";null;18.39;24.19;null;null;null
"2019-10-01T08:20:05+02:00";19.81;null;null;null;null;null
"2019-10-01T08:20:11+02:00";null;null;null;null;23.3;28.13
"2019-10-01T08:20:11+02:00";null;null;null;23.75;null;null
"2019-10-01T08:20:35+02:00";19.75;18.41;null;null;null;null
"2019-10-01T08:20:35+02:00";null;null;24.19;null;null;null
"2019-10-01T08:20:40+02:00";null;null;null;23.69;23.3;null
"2019-10-01T08:20:40+02:00";null;null;null;null;null;28.13
"2019-10-01T08:21:05+02:00";19.75;18.39;null;null;null;null
"2019-10-01T08:21:05+02:00";null;null;24.19;null;null;null
"2019-10-01T08:21:10+02:00";null;null;null;null;null;28.13
"2019-10-01T08:21:11+02:00";null;null;null;23.75;23.3;null
"2019-10-01T08:21:35+02:00";null;null;24.25;null;null;null
"2019-10-01T08:21:35+02:00";19.81;18.42;null;null;null;null
"2019-10-01T08:21:40+02:00";null;null;null;23.75;null;null
"2019-10-01T08:21:40+02:00";null;null;null;null;23.33;28.13
"2019-10-01T08:22:05+02:00";null;18.41;24.19;null;null;null
"2019-10-01T08:22:05+02:00";19.75;null;null;null;null;null
"2019-10-01T08:22:10+02:00";null;null;null;23.75;null;null
"2019-10-01T08:22:11+02:00";null;null;null;null;23.34;28.19
"2019-10-01T08:22:35+02:00";null;18.41;null;null;null;null
"2019-10-01T08:22:35+02:00";19.75;null;24.19;null;null;null
"2019-10-01T08:22:40+02:00";null;null;null;null;null;28.13
