time,realpower_l1,realpower_l2,realpower_l3,front_temperature_temp_bottom,front_temperature_temp_middle,front_temperature_temp_top,rear_temperature_temp_bottom,rear_temperature_temp_middle,rear_temperature_temp_top
23-Jan-2018 10:04:00,3880,3904,4040,22.31,22.775,25.72,34.345,41.265,38.03
23-Jan-2018 10:05:00,3888,3904,4048,22.315,22.77,25.69,34.31,41.255,37.97
23-Jan-2018 10:06:00,3872,3904,4032,22.28,22.75,25.75,34.25,41.28,37.97
23-Jan-2018 10:07:00,3872,3904,4048,22.16,22.71,25.72,34.31,41.275,38.03
23-Jan-2018 10:08:00,3872,3904,4040,22.22,22.71,25.69,34.31,41.285,38.06
23-Jan-2018 10:09:00,3872,3904,4040,22.22,22.685,25.69,34.28,41.26,38.06
23-Jan-2018 10:10:00,3872,3904,4032,22.345,22.71,25.72,34.25,41.265,38.06
23-Jan-2018 10:11:00,3872,3904,4032,22.38,22.71,25.75,34.31,41.27,38.03
23-Jan-2018 10:12:00,3872,3904,4040,22.345,22.71,25.75,34.28,41.285,38.095
23-Jan-2018 10:13:00,3880,3904,4048,22.44,22.74,25.78,34.31,41.315,38.06
23-Jan-2018 10:14:00,3880,3904,4032,22.44,22.77,25.81,34.31,41.3,38.06
23-Jan-2018 10:15:00,3880,3920,4048,22.41,22.815,25.78,34.345,41.3,37.97
23-Jan-2018 10:16:00,3880,3904,4032,22.44,22.815,25.78,34.38,41.3,38
23-Jan-2018 10:17:00,3880,3904,4048,22.53,22.84,25.78,34.44,41.305,37.94
23-Jan-2018 10:18:00,3880,3904,4032,22.535,22.875,25.75,34.44,41.33,37.94
23-Jan-2018 10:19:00,3888,3904,4032,22.5,22.88,25.75,34.5,41.365,38
23-Jan-2018 10:20:00,3872,3904,4048,22.47,22.865,25.78,34.5,41.35,38
23-Jan-2018 10:21:00,3872,3904,4032,22.44,22.845,25.75,34.5,41.34,38.16
23-Jan-2018 10:22:00,3888,3904,4042.66666666667,22.47,22.855,25.75,34.47,41.315,38.16
23-Jan-2018 10:23:00,3872,3904,4040,22.44,22.87,25.75,34.47,41.315,38.125
23-Jan-2018 10:24:00,3880,3904,4040,22.44,22.875,25.75,34.47,41.3,38.095
23-Jan-2018 10:25:00,3880,3904,4032,22.44,22.855,25.72,34.44,41.29,38.06
23-Jan-2018 10:26:00,3880,3912,4048,22.44,22.85,25.75,34.47,41.285,37.94
23-Jan-2018 10:27:00,3880,3912,4032,22.47,22.81,25.72,34.44,41.27,37.91
23-Jan-2018 10:28:00,3880,3912,4048,22.44,22.775,25.75,34.44,41.28,37.845
23-Jan-2018 10:29:00,3880,3912,4032,22.38,22.78,25.72,34.38,41.255,37.78
23-Jan-2018 10:30:00,3880,3912,4048,22.41,22.79,25.75,34.38,41.265,37.72
23-Jan-2018 10:31:00,3880,3912,4040,22.5,22.815,25.78,34.38,41.255,37.69
23-Jan-2018 10:32:00,3880,3912,4032,22.47,22.83,25.75,34.38,41.255,37.72
23-Jan-2018 10:33:00,3880,3912,4040,22.44,22.83,25.75,34.44,41.28,37.78
23-Jan-2018 10:34:00,3880,3912,4048,22.53,22.845,25.75,34.41,41.285,37.78
23-Jan-2018 10:35:00,3888,3912,4048,22.595,22.88,25.75,34.44,41.29,37.845
23-Jan-2018 10:36:00,3872,3912,4032,22.63,22.895,25.81,34.44,41.31,37.78
23-Jan-2018 10:37:00,3872,3912,4048,22.595,22.92,25.81,34.47,41.3,37.81
23-Jan-2018 10:38:00,3888,3920,4040,22.56,22.93,25.81,34.44,41.3,37.845
23-Jan-2018 10:39:00,3872,3904,4032,22.5,22.905,25.81,34.5,41.295,37.88
23-Jan-2018 10:40:00,3882.66666666667,3904,4042.66666666667,22.5,22.89,25.81,34.47,41.315,37.91
23-Jan-2018 10:41:00,3872,3920,4032,22.56,22.88,25.845,34.47,41.315,37.94
23-Jan-2018 10:42:00,3880,3904,4032,22.53,22.87,25.81,34.47,41.305,37.97
23-Jan-2018 10:43:00,3888,3920,4048,22.565,22.85,25.81,34.5,41.3,37.91
23-Jan-2018 10:44:00,3877.33333333333,3904,4032,22.565,22.885,25.845,34.53,41.32,37.97
23-Jan-2018 10:45:00,3877.33333333333,3912,4048,22.66,22.89,25.81,34.53,41.325,38.06
23-Jan-2018 10:46:00,3888,3920,4040,22.66,22.91,25.78,34.56,41.33,38.095
23-Jan-2018 10:47:00,3872,3904,4040,22.625,22.965,25.845,34.53,41.32,38.13
23-Jan-2018 10:48:00,3872,3920,4032,22.56,22.96,25.845,34.5,41.34,38.03
23-Jan-2018 10:49:00,3872,3912,4048,22.47,22.965,25.88,34.53,41.37,38
23-Jan-2018 10:50:00,3880,3904,4048,22.5,22.99,25.94,34.5,41.365,38
23-Jan-2018 10:51:00,3880,3920,4048,22.47,22.97,25.97,34.53,41.355,37.97
23-Jan-2018 10:52:00,3880,3904,4048,22.47,22.96,25.97,34.53,41.36,38.06
23-Jan-2018 10:53:00,3888,3920,4040,22.565,22.96,26.03,34.53,41.39,38.16
23-Jan-2018 10:54:00,3872,3904,4032,22.595,22.965,26.03,34.47,41.36,38.06
23-Jan-2018 10:55:00,3872,3904,4040,22.5,22.95,26,34.5,41.36,38.06
23-Jan-2018 10:56:00,3872,3904,4040,22.38,22.915,26.03,34.47,41.325,37.97
23-Jan-2018 10:57:00,3872,3904,4048,22.41,22.89,26,34.41,41.34,37.91
23-Jan-2018 10:58:00,3872,3920,4040,22.38,22.87,25.97,34.44,41.33,37.845
23-Jan-2018 10:59:00,3872,3904,4032,22.47,22.89,26,34.44,41.33,37.88
23-Jan-2018 11:00:00,3880,3904,4048,22.41,22.89,26.06,34.44,41.355,37.91
23-Jan-2018 11:01:00,3880,3912,4040,22.44,22.93,26.03,34.5,41.37,37.97
23-Jan-2018 11:02:00,3880,3912,4032,22.5,22.94,26.06,34.47,41.355,37.97
23-Jan-2018 11:03:00,3880,3912,4048,22.565,22.985,26.06,34.5,41.39,38
23-Jan-2018 11:04:00,3880,3920,4048,22.63,22.99,26.13,34.53,41.39,38.065
23-Jan-2018 11:05:00,3888,3904,4048,22.595,22.995,26.06,34.5,41.41,38.06
23-Jan-2018 11:06:00,3880,3912,4032,22.5,22.995,26.095,34.53,41.395,38.06
23-Jan-2018 11:07:00,3880,3912,4048,22.53,22.995,26.13,34.56,41.39,38.13
23-Jan-2018 11:08:00,3872,3912,4040,22.44,22.96,26.06,34.56,41.4,38.13
23-Jan-2018 11:09:00,3880,3920,4032,22.44,22.96,26.06,34.56,41.4,38.13
23-Jan-2018 11:10:00,3880,3904,4048,22.44,22.96,26.06,34.56,41.4,38.13
23-Jan-2018 11:11:00,3880,3904,4040,22.56,22.9666666666667,26.02,34.56,41.395,38.06
23-Jan-2018 11:12:00,3880,3904,4032,22.595,22.985,26,34.56,41.425,38.06
23-Jan-2018 11:13:00,3880,3912,4048,22.565,23,25.94,34.565,41.41,38.16
23-Jan-2018 11:14:00,3888,3912,4040,22.5,23.01,25.97,34.53,41.41,38.16
23-Jan-2018 11:15:00,3888,3912,4040,22.44,23.02,25.94,34.63,41.42,38.13
23-Jan-2018 11:16:00,3888,3912,4032,22.44,23.02,25.94,34.63,41.42,38.13
23-Jan-2018 11:17:00,3880,3920,4048,22.44,22.98,25.94,34.63,41.42,38.13
23-Jan-2018 11:18:00,3880,3904,4048,22.52,22.985,25.92,34.63,41.405,38.16
23-Jan-2018 11:19:00,3880,3920,4032,22.5,22.99,25.91,34.69,41.4,38.19
23-Jan-2018 11:20:00,3877.33333333333,3912,4042.66666666667,22.5,22.96,25.81,34.595,41.42,38.13
23-Jan-2018 11:21:00,3877.33333333333,3904,4032,22.5,22.94,25.88,34.56,41.395,38.13
23-Jan-2018 11:22:00,3877.33333333333,3904,4040,22.44,22.91,25.88,34.56,41.36,38.03
23-Jan-2018 11:23:00,3877.33333333333,3912,4048,22.375,22.92,25.88,34.56,41.375,37.97
23-Jan-2018 11:24:00,3877.33333333333,3912,4032,22.38,22.895,25.88,34.53,41.37,37.97
23-Jan-2018 11:25:00,3880,3920,4042.66666666667,22.44,22.88,25.88,34.5,41.38,37.94
23-Jan-2018 11:26:00,3880,3904,4042.66666666667,22.44,22.88,25.88,34.5,41.38,37.94
23-Jan-2018 11:27:00,3888,3920,4040,22.44,22.88,25.88,34.5,41.38,37.94
23-Jan-2018 11:28:00,3872,3904,4032,22.5,22.93,25.92,34.56,41.385,37.94
23-Jan-2018 11:29:00,3882.66666666667,3914.66666666667,4042.66666666667,22.53,22.97,25.81,34.595,41.375,38
23-Jan-2018 11:30:00,3880,3912,4032,22.5,22.975,25.845,34.63,41.425,38.06
23-Jan-2018 11:31:00,3880,3904,4048,22.595,23,25.78,34.625,41.45,38.16
23-Jan-2018 11:32:00,3880,3912,4032,22.595,23.025,25.81,34.56,41.43,38.13
23-Jan-2018 11:33:00,3880,3920,4048,22.595,23.04,25.845,34.595,41.43,38.16
23-Jan-2018 11:34:00,3872,3912,4037.33333333333,22.44,23.02,25.88,34.595,41.43,38.16
23-Jan-2018 11:35:00,3888,3904,4040,22.44,23.02,25.88,34.595,41.43,38.16
23-Jan-2018 11:36:00,3872,3920,4048,22.44,23.02,25.88,34.63,41.43,38.13
23-Jan-2018 11:37:00,3872,3904,4040,22.53,23.005,25.81,34.63,41.435,38.16
23-Jan-2018 11:38:00,3880,3912,4040,22.5,22.985,25.81,34.66,41.435,38.095
23-Jan-2018 11:39:00,3888,3920,4040,22.47,22.94,25.78,34.595,41.425,38.06
23-Jan-2018 11:40:00,3872,3904,4040,22.44,22.92,25.845,34.56,41.42,38.06
23-Jan-2018 11:41:00,3872,3904,4032,22.47,22.91,25.88,34.565,41.4,38.03
23-Jan-2018 11:42:00,3872,3904,4032,22.44,22.875,25.845,34.53,41.385,38
23-Jan-2018 11:43:00,3880,3912,4032,22.47,22.885,25.88,34.56,41.385,37.97
23-Jan-2018 11:44:00,3880,3912,4040,22.47,22.885,25.88,34.56,41.385,37.97
23-Jan-2018 11:45:00,3888,3920,4048,22.47,22.885,25.88,34.56,41.385,37.97
23-Jan-2018 11:46:00,3888,3904,4040,22.5,22.92,25.94,34.595,41.36,37.94
23-Jan-2018 11:47:00,3877.33333333333,3904,4032,22.53,22.945,25.91,34.56,41.4,37.97
23-Jan-2018 11:48:00,3888,3904,4032,22.595,22.985,25.88,34.63,41.405,38
23-Jan-2018 11:49:00,3888,3920,4048,22.63,23.02,25.88,34.66,41.42,38.06
23-Jan-2018 11:50:00,3888,3920,4040,22.66,23.035,25.88,34.69,41.44,38.13
23-Jan-2018 11:51:00,3880,3912,4032,22.565,23.025,25.88,34.63,41.44,38.19
23-Jan-2018 11:52:00,3872,3912,4040,22.56,23.03,25.88,34.69,41.43,38.19
23-Jan-2018 11:53:00,3888,3904,4048,22.56,23.03,25.88,34.69,41.43,38.19
23-Jan-2018 11:54:00,3872,3912,4048,22.56,23.03,25.88,34.69,41.43,38.19
23-Jan-2018 11:55:00,3888,3920,4040,22.5,22.99,25.88,34.66,41.44,38.13
23-Jan-2018 11:56:00,3880,3912,4040,22.53,22.955,25.81,34.595,41.425,38.13
23-Jan-2018 11:57:00,3872,3904,4032,22.53,22.955,25.845,34.66,41.44,38.125
23-Jan-2018 11:58:00,3880,3912,4048,22.47,22.93,25.845,34.56,41.4,38.06
23-Jan-2018 11:59:00,3880,3912,4032,22.38,22.915,25.91,34.595,41.4,38
23-Jan-2018 12:00:00,3888,3912,4048,22.38,22.91,25.875,34.53,41.38,38
23-Jan-2018 12:01:00,3877.33333333333,3920,4040,22.38,22.91,25.875,34.53,41.38,38
23-Jan-2018 12:02:00,3877.33333333333,3904,4032,22.38,22.91,25.875,34.53,41.38,38
23-Jan-2018 12:03:00,3880,3920,4048,22.5,22.92,26,34.5,41.39,38
23-Jan-2018 12:04:00,3880,3904,4032,22.5,22.9,25.97,34.56,41.395,38
23-Jan-2018 12:05:00,3880,3912,4032,22.595,22.97,25.97,34.56,41.385,38
23-Jan-2018 12:06:00,3880,3920,4048,22.53,22.99,25.94,34.595,41.405,38.03
23-Jan-2018 12:07:00,3888,3920,4048,22.53,22.99,25.94,34.595,41.405,38.03
23-Jan-2018 12:08:00,3880,3920,4048,22.53,22.99,25.94,34.595,41.405,38.03
23-Jan-2018 12:09:00,3880,3904,4040,22.63,23.03,25.94,34.63,41.46,38.31
23-Jan-2018 12:10:00,3880,3914.66666666667,4040,22.63,23.05,25.94,34.66,41.455,38.25
23-Jan-2018 12:11:00,3872,3912,4032,22.595,23.04,25.94,34.63,41.46,38.25
23-Jan-2018 12:12:00,3880,3904,4040,22.44,23.03,25.94,34.63,41.465,38.25
23-Jan-2018 12:13:00,3880,3920,4040,22.5,23,25.94,34.63,41.45,38.25
23-Jan-2018 12:14:00,3880,3920,4040,22.75,22.99,25.94,34.63,41.45,38.25
23-Jan-2018 12:15:00,3880,3904,4040,23,22.965,25.845,34.63,41.42,38.19
23-Jan-2018 12:16:00,3880,3912,4040,23,22.98,25.815,34.69,41.405,38.19
23-Jan-2018 12:17:00,3880,3912,4040,22.75,23.01,25.75,34.63,41.385,38.13
23-Jan-2018 12:18:00,3888,3920,4048,22.595,22.97,25.78,34.595,41.375,38.13
23-Jan-2018 12:19:00,3872,3904,4032,22.5,22.93,25.81,34.63,41.38,38.25
23-Jan-2018 12:20:00,3888,3920,4032,22.5,22.93,25.81,34.63,41.38,38.25
23-Jan-2018 12:21:00,3872,3912,4032,22.5,22.93,25.81,34.63,41.38,38.25
23-Jan-2018 12:22:00,3872,3912,4040,22.63,22.8733333333333,25.78,34.595,41.365,38.1066666666667
23-Jan-2018 12:23:00,3888,3912,4040,22.63,22.885,25.78,34.66,41.38,38.095
23-Jan-2018 12:24:00,3872,3904,4048,22.625,22.925,25.78,34.66,41.395,38.13
23-Jan-2018 12:25:00,3888,3920,4040,22.625,22.925,25.78,34.66,41.395,38.13
23-Jan-2018 12:26:00,3872,3904,4032,22.625,22.925,25.78,34.66,41.395,38.13
23-Jan-2018 12:27:00,3888,3920,4048,23.25,23.05,25.75,34.75,41.46,38.19
23-Jan-2018 12:28:00,3872,3909.33333333333,4040,23.31,23.105,25.75,34.78,41.45,38.19
23-Jan-2018 12:29:00,3888,3920,4040,23.345,23.075,25.78,34.81,41.455,38.22
23-Jan-2018 12:30:00,3872,3912,4032,23.31,23.04,25.94,34.845,41.44,38.25
23-Jan-2018 12:31:00,3880,3904,4048,23.19,23.05,25.94,34.845,41.44,38.25
23-Jan-2018 12:32:00,3880,3914.66666666667,4032,23.19,23.05,25.94,34.845,41.44,38.25
23-Jan-2018 12:33:00,3888,3912,4048,22.81,22.98,25.81,34.75,41.4,38.19
23-Jan-2018 12:34:00,3872,3912,4032,22.75,22.97,25.78,34.75,41.42,38.19
23-Jan-2018 12:35:00,3880,3912,4040,22.595,22.95,25.78,34.72,41.4,38.22
23-Jan-2018 12:36:00,3880,3904,4048,22.56,22.91,25.78,34.69,41.395,38.25
23-Jan-2018 12:37:00,3880,3912,4037.33333333333,22.56,22.91,25.78,34.69,41.395,38.25
23-Jan-2018 12:38:00,3880,3912,4048,22.56,22.91,25.78,34.69,41.395,38.25
23-Jan-2018 12:39:00,3888,3912,4040,22.47,22.83,25.75,34.63,41.33,38.06
23-Jan-2018 12:40:00,3872,3912,4032,22.41,22.825,25.69,34.63,41.35,38.03
23-Jan-2018 12:41:00,3880,3920,4040,22.5,22.85,25.66,34.595,41.335,38
23-Jan-2018 12:42:00,3888,3904,4048,22.565,22.85,25.66,34.63,41.355,37.94
23-Jan-2018 12:43:00,3872,3920,4032,22.565,22.85,25.66,34.63,41.355,37.94
23-Jan-2018 12:44:00,3880,3912,4032,22.565,22.85,25.66,34.63,41.355,37.94
23-Jan-2018 12:45:00,3880,3904,4032,22.81,22.93,25.63,34.63,41.38,37.97
23-Jan-2018 12:46:00,3888,3920,4042.66666666667,22.94,22.965,25.66,34.69,41.375,38.095
