"Time";"pressure"
"2019-10-02T09:09:42+02:00";-0.6333
"2019-10-02T09:09:47+02:00";-0.6333
"2019-10-02T09:09:52+02:00";-0.6333
"2019-10-02T09:09:57+02:00";-0.6333
"2019-10-02T09:10:02+02:00";-0.6333
"2019-10-02T09:10:07+02:00";-0.6333
"2019-10-02T09:10:12+02:00";-0.5758
"2019-10-02T09:10:17+02:00";-0.5758
"2019-10-02T09:10:22+02:00";-0.6333
"2019-10-02T09:10:27+02:00";-0.6333
"2019-10-02T09:10:32+02:00";-0.6333
"2019-10-02T09:10:37+02:00";-0.6333
"2019-10-02T09:10:42+02:00";-0.6333
"2019-10-02T09:10:47+02:00";-0.6333
"2019-10-02T09:10:52+02:00";-0.5758
"2019-10-02T09:10:57+02:00";-0.6333
"2019-10-02T09:11:02+02:00";-0.6333
"2019-10-02T09:11:07+02:00";-0.6333
"2019-10-02T09:11:12+02:00";-0.5758
"2019-10-02T09:11:17+02:00";-0.5758
"2019-10-02T09:11:22+02:00";-0.6909
"2019-10-02T09:11:27+02:00";-0.5758
"2019-10-02T09:11:32+02:00";-0.5758
"2019-10-02T09:11:37+02:00";-0.5758
"2019-10-02T09:11:42+02:00";-0.5758
"2019-10-02T09:11:47+02:00";-0.6909
"2019-10-02T09:11:52+02:00";-0.6333
"2019-10-02T09:11:57+02:00";-0.5182
"2019-10-02T09:12:02+02:00";-0.6909
"2019-10-02T09:12:07+02:00";-0.6909
"2019-10-02T09:12:12+02:00";-0.6333
"2019-10-02T09:12:17+02:00";-0.6333
"2019-10-02T09:12:22+02:00";-0.7485
"2019-10-02T09:12:27+02:00";-0.6333
"2019-10-02T09:12:32+02:00";-0.6909
"2019-10-02T09:12:37+02:00";-0.6909
"2019-10-02T09:12:42+02:00";-0.6909
"2019-10-02T09:12:47+02:00";-0.5758
"2019-10-02T09:12:52+02:00";-0.5182
"2019-10-02T09:12:57+02:00";-0.5758
"2019-10-02T09:13:02+02:00";-0.5758
"2019-10-02T09:13:07+02:00";-0.5758
"2019-10-02T09:13:12+02:00";-0.6909
"2019-10-02T09:13:17+02:00";-0.6909
